19:55:43.674 [INFO] (trainer.py:174) Episode = 44, T_Steps = 6987, E_Steps = 188, R =  1.9790, succ =  0.4500, FPS = 14.32
19:55:57.444 [INFO] (trainer.py:174) Episode = 45, T_Steps = 7185, E_Steps = 198, R =  1.9870, succ =  0.5000, FPS = 14.38
19:56:11.867 [INFO] (trainer.py:174) Episode = 46, T_Steps = 7393, E_Steps = 208, R =  0.0380, succ =  0.4500, FPS = 14.42
19:56:25.924 [INFO] (trainer.py:174) Episode = 47, T_Steps = 7595, E_Steps = 202, R =  1.9204, succ =  0.5000, FPS = 14.37
19:56:28.823 [INFO] (trainer.py:174) Episode = 48, T_Steps = 7627, E_Steps = 32, R = -0.8634, succ =  0.5000, FPS = 11.04
19:56:42.108 [INFO] (trainer.py:174) Episode = 49, T_Steps = 7818, E_Steps = 191, R =  1.9608, succ =  0.5500, FPS = 14.38
19:56:45.205 [INFO] (trainer.py:174) Episode = 50, T_Steps = 7853, E_Steps = 35, R = -0.8560, succ =  0.5500, FPS = 11.30
19:56:58.911 [INFO] (trainer.py:174) Episode = 51, T_Steps = 8049, E_Steps = 196, R =  1.9063, succ =  0.6000, FPS = 14.30
19:57:12.255 [INFO] (trainer.py:174) Episode = 52, T_Steps = 8240, E_Steps = 191, R =  1.9332, succ =  0.6500, FPS = 14.32
19:57:25.442 [INFO] (trainer.py:174) Episode = 53, T_Steps = 8428, E_Steps = 188, R =  1.9149, succ =  0.6500, FPS = 14.26
19:57:38.182 [INFO] (trainer.py:174) Episode = 54, T_Steps = 8611, E_Steps = 183, R =  1.9480, succ =  0.6500, FPS = 14.37
19:57:51.384 [INFO] (trainer.py:174) Episode = 55, T_Steps = 8797, E_Steps = 186, R =  1.9349, succ =  0.7000, FPS = 14.09
19:58:04.359 [INFO] (trainer.py:174) Episode = 56, T_Steps = 8982, E_Steps = 185, R =  1.9551, succ =  0.7500, FPS = 14.26
19:58:17.824 [INFO] (trainer.py:174) Episode = 57, T_Steps = 9173, E_Steps = 191, R =  1.9684, succ =  0.7500, FPS = 14.19
19:58:30.853 [INFO] (trainer.py:174) Episode = 58, T_Steps = 9358, E_Steps = 185, R =  1.9356, succ =  0.8000, FPS = 14.20
19:58:45.816 [INFO] (trainer.py:174) Episode = 59, T_Steps = 9574, E_Steps = 216, R = -0.0331, succ =  0.7500, FPS = 14.44
19:58:58.014 [INFO] (trainer.py:174) Episode = 60, T_Steps = 9747, E_Steps = 173, R =  1.9687, succ =  0.7500, FPS = 14.18
19:59:01.313 [INFO] (trainer.py:174) Episode = 61, T_Steps = 9784, E_Steps = 37, R = -0.8394, succ =  0.7000, FPS = 11.22
19:59:13.378 [INFO] (trainer.py:174) Episode = 62, T_Steps = 9956, E_Steps = 172, R =  1.9780, succ =  0.7000, FPS = 14.26
19:59:26.190 [INFO] (trainer.py:174) Episode = 63, T_Steps = 10139, E_Steps = 183, R =  1.9584, succ =  0.7500, FPS = 14.28
19:59:29.596 [INFO] (trainer.py:174) Episode = 64, T_Steps = 10177, E_Steps = 38, R = -0.8383, succ =  0.7000, FPS = 11.16
19:59:39.646 [INFO] (trainer.py:174) Episode = 65, T_Steps = 10317, E_Steps = 140, R = -0.2934, succ =  0.6500, FPS = 13.93
19:59:47.972 [INFO] (trainer.py:174) Episode = 66, T_Steps = 10430, E_Steps = 113, R = -0.5010, succ =  0.6500, FPS = 13.58
19:59:58.514 [INFO] (trainer.py:174) Episode = 67, T_Steps = 10577, E_Steps = 147, R = -0.3352, succ =  0.6000, FPS = 13.95
20:00:12.367 [INFO] (trainer.py:174) Episode = 68, T_Steps = 10771, E_Steps = 194, R =  1.9365, succ =  0.6500, FPS = 14.01
20:00:26.361 [INFO] (trainer.py:174) Episode = 69, T_Steps = 10972, E_Steps = 201, R =  1.9279, succ =  0.6500, FPS = 14.36
20:00:29.345 [INFO] (trainer.py:174) Episode = 70, T_Steps = 11005, E_Steps = 33, R = -0.8547, succ =  0.6500, FPS = 11.07
20:00:46.000 [INFO] (trainer.py:174) Episode = 71, T_Steps = 11246, E_Steps = 241, R = -0.0682, succ =  0.6000, FPS = 14.47
20:00:59.613 [INFO] (trainer.py:174) Episode = 72, T_Steps = 11441, E_Steps = 195, R =  1.9815, succ =  0.6000, FPS = 14.33
20:01:13.374 [INFO] (trainer.py:174) Episode = 73, T_Steps = 11638, E_Steps = 197, R =  1.9540, succ =  0.6000, FPS = 14.32
20:01:30.000 [INFO] (trainer.py:174) Episode = 74, T_Steps = 11880, E_Steps = 242, R = -0.0423, succ =  0.5500, FPS = 14.56
20:01:42.928 [INFO] (trainer.py:174) Episode = 75, T_Steps = 12065, E_Steps = 185, R =  1.9436, succ =  0.5500, FPS = 14.31
20:01:56.791 [INFO] (trainer.py:174) Episode = 76, T_Steps = 12263, E_Steps = 198, R =  1.9501, succ =  0.5500, FPS = 14.28
20:02:10.201 [INFO] (trainer.py:174) Episode = 77, T_Steps = 12455, E_Steps = 192, R =  1.9313, succ =  0.5500, FPS = 14.32
20:02:19.655 [INFO] (trainer.py:174) Episode = 78, T_Steps = 12586, E_Steps = 131, R = -0.4017, succ =  0.5000, FPS = 13.86
20:02:27.839 [INFO] (trainer.py:174) Episode = 79, T_Steps = 12698, E_Steps = 112, R = -0.5674, succ =  0.5000, FPS = 13.69
20:02:39.252 [INFO] (trainer.py:174) Episode = 80, T_Steps = 12859, E_Steps = 161, R = -0.2289, succ =  0.4500, FPS = 14.11
20:02:53.529 [INFO] (trainer.py:174) Episode = 81, T_Steps = 13065, E_Steps = 206, R =  0.0385, succ =  0.4500, FPS = 14.43
20:03:08.453 [INFO] (trainer.py:174) Episode = 82, T_Steps = 13278, E_Steps = 213, R = -0.0166, succ =  0.4000, FPS = 14.27
20:03:22.902 [INFO] (trainer.py:174) Episode = 83, T_Steps = 13485, E_Steps = 207, R =  0.0109, succ =  0.3500, FPS = 14.33
20:03:34.204 [INFO] (trainer.py:174) Episode = 84, T_Steps = 13643, E_Steps = 158, R = -0.3193, succ =  0.3500, FPS = 13.98
20:03:47.296 [INFO] (trainer.py:174) Episode = 85, T_Steps = 13830, E_Steps = 187, R =  1.9334, succ =  0.4000, FPS = 14.29
20:04:02.726 [INFO] (trainer.py:174) Episode = 86, T_Steps = 14052, E_Steps = 222, R =  1.9671, succ =  0.4500, FPS = 14.39
20:04:14.676 [INFO] (trainer.py:174) Episode = 87, T_Steps = 14222, E_Steps = 170, R =  1.9191, succ =  0.5000, FPS = 14.23
