episode,step,episodic_reward,success_rate,episodic_length
0,5,-1,0.0,5
0,10,-1,0.0,10
0,15,-1,0.0,15
0,20,-1,0.0,20
0,25,-1,0.0,25
0,30,-1,0.0,30
0,35,-1,0.0,35
0,40,-1,0.0,40
0,45,-1,0.0,45
0,50,-1,0.0,50
0,55,-1,0.0,55
0,60,-1,0.0,60
1,65,"tf.Tensor(-0.70706844, shape=(), dtype=float32)",0.0,5
1,70,"tf.Tensor(-0.70706844, shape=(), dtype=float32)",0.0,10
1,75,"tf.Tensor(-0.70706844, shape=(), dtype=float32)",0.0,15
1,80,"tf.Tensor(-0.70706844, shape=(), dtype=float32)",0.0,20
1,85,"tf.Tensor(-0.70706844, shape=(), dtype=float32)",0.0,25
1,90,"tf.Tensor(-0.70706844, shape=(), dtype=float32)",0.0,30
1,95,"tf.Tensor(-0.70706844, shape=(), dtype=float32)",0.0,35
1,100,"tf.Tensor(-0.70706844, shape=(), dtype=float32)",0.0,40
1,105,"tf.Tensor(-0.70706844, shape=(), dtype=float32)",0.0,45
1,110,"tf.Tensor(-0.70706844, shape=(), dtype=float32)",0.0,50
1,115,"tf.Tensor(-0.70706844, shape=(), dtype=float32)",0.0,55
1,120,"tf.Tensor(-0.70706844, shape=(), dtype=float32)",0.0,60
1,125,"tf.Tensor(-0.70706844, shape=(), dtype=float32)",0.0,65
1,130,"tf.Tensor(-0.70706844, shape=(), dtype=float32)",0.0,70
1,135,"tf.Tensor(-0.70706844, shape=(), dtype=float32)",0.0,75
1,140,"tf.Tensor(-0.70706844, shape=(), dtype=float32)",0.0,80
1,145,"tf.Tensor(-0.70706844, shape=(), dtype=float32)",0.0,85
1,150,"tf.Tensor(-0.70706844, shape=(), dtype=float32)",0.0,90
1,155,"tf.Tensor(-0.70706844, shape=(), dtype=float32)",0.0,95
1,160,"tf.Tensor(-0.70706844, shape=(), dtype=float32)",0.0,100
1,165,"tf.Tensor(-0.70706844, shape=(), dtype=float32)",0.0,105
1,170,"tf.Tensor(-0.70706844, shape=(), dtype=float32)",0.0,110
1,175,"tf.Tensor(-0.70706844, shape=(), dtype=float32)",0.0,115
