20:01:30.391 [INFO] (trainer.py:175) Episode = 1, T_Steps = 60, E_Steps = 60, R = -0.7071, succ =  0.0000, FPS = 10.43
20:01:34.340 [INFO] (trainer.py:175) Episode = 2, T_Steps = 237, E_Steps = 177, R = -0.1079, succ =  0.0000, FPS = 44.84
20:01:36.009 [INFO] (trainer.py:175) Episode = 3, T_Steps = 308, E_Steps = 71, R = -0.6658, succ =  0.0000, FPS = 42.58
20:01:39.761 [INFO] (trainer.py:175) Episode = 4, T_Steps = 467, E_Steps = 159, R = -0.1101, succ =  0.0000, FPS = 42.39
20:01:43.602 [INFO] (trainer.py:175) Episode = 5, T_Steps = 629, E_Steps = 162, R = -0.0979, succ =  0.0000, FPS = 42.20
20:01:47.698 [INFO] (trainer.py:175) Episode = 6, T_Steps = 797, E_Steps = 168, R = -0.1176, succ =  0.0000, FPS = 41.02
20:01:52.224 [INFO] (trainer.py:175) Episode = 7, T_Steps = 979, E_Steps = 182, R = -0.1471, succ =  0.0000, FPS = 40.23
20:01:56.018 [INFO] (trainer.py:175) Episode = 8, T_Steps = 1145, E_Steps = 166, R = -0.1353, succ =  0.0000, FPS = 43.77
20:02:00.214 [INFO] (trainer.py:175) Episode = 9, T_Steps = 1329, E_Steps = 184, R = -0.1953, succ =  0.0000, FPS = 43.86
20:02:01.689 [INFO] (trainer.py:175) Episode = 10, T_Steps = 1393, E_Steps = 64, R = -0.6629, succ =  0.0000, FPS = 43.42
20:02:05.816 [INFO] (trainer.py:175) Episode = 11, T_Steps = 1573, E_Steps = 180, R = -0.1456, succ =  0.0000, FPS = 43.63
20:02:09.228 [INFO] (trainer.py:175) Episode = 12, T_Steps = 1732, E_Steps = 159, R = -0.2034, succ =  0.0000, FPS = 46.62
20:02:12.794 [INFO] (trainer.py:175) Episode = 13, T_Steps = 1896, E_Steps = 164, R = -0.0825, succ =  0.0000, FPS = 46.01
20:02:16.697 [INFO] (trainer.py:175) Episode = 14, T_Steps = 2073, E_Steps = 177, R = -0.1687, succ =  0.0000, FPS = 45.37
20:02:21.147 [INFO] (trainer.py:175) Episode = 15, T_Steps = 2264, E_Steps = 191, R = -0.1756, succ =  0.0000, FPS = 42.93
20:02:25.287 [INFO] (trainer.py:175) Episode = 16, T_Steps = 2447, E_Steps = 183, R = -0.1506, succ =  0.0000, FPS = 44.23
20:02:27.075 [INFO] (trainer.py:175) Episode = 17, T_Steps = 2526, E_Steps = 79, R = -0.6840, succ =  0.0000, FPS = 44.20
20:02:31.871 [INFO] (trainer.py:175) Episode = 18, T_Steps = 2725, E_Steps = 199, R = -0.1527, succ =  0.0000, FPS = 41.51
20:02:35.917 [INFO] (trainer.py:175) Episode = 19, T_Steps = 2896, E_Steps = 171, R = -0.1091, succ =  0.0000, FPS = 42.28
20:02:39.843 [INFO] (trainer.py:175) Episode = 20, T_Steps = 3065, E_Steps = 169, R = -0.0972, succ =  0.0000, FPS = 43.06
20:02:44.180 [INFO] (trainer.py:175) Episode = 21, T_Steps = 3250, E_Steps = 185, R = -0.1708, succ =  0.0000, FPS = 42.67
20:02:48.272 [INFO] (trainer.py:175) Episode = 22, T_Steps = 3421, E_Steps = 171, R = -0.1605, succ =  0.0000, FPS = 41.81
20:02:49.725 [INFO] (trainer.py:175) Episode = 23, T_Steps = 3482, E_Steps = 61, R = -0.6690, succ =  0.0000, FPS = 42.02
20:02:53.800 [INFO] (trainer.py:175) Episode = 24, T_Steps = 3658, E_Steps = 176, R = -0.1839, succ =  0.0000, FPS = 43.20
20:02:55.440 [INFO] (trainer.py:175) Episode = 25, T_Steps = 3729, E_Steps = 71, R = -0.6890, succ =  0.0000, FPS = 43.34
20:02:57.458 [INFO] (trainer.py:175) Episode = 26, T_Steps = 3814, E_Steps = 85, R = -0.6396, succ =  0.0000, FPS = 42.14
20:02:58.922 [INFO] (trainer.py:175) Episode = 27, T_Steps = 3876, E_Steps = 62, R = -0.6698, succ =  0.0000, FPS = 42.39
20:03:00.434 [INFO] (trainer.py:175) Episode = 28, T_Steps = 3937, E_Steps = 61, R = -0.6660, succ =  0.0000, FPS = 40.39
20:03:04.111 [INFO] (trainer.py:175) Episode = 29, T_Steps = 4097, E_Steps = 160, R = -0.1229, succ =  0.0000, FPS = 43.52
20:03:08.735 [INFO] (trainer.py:175) Episode = 30, T_Steps = 4284, E_Steps = 187, R = -0.1559, succ =  0.0000, FPS = 40.45
20:03:13.046 [INFO] (trainer.py:175) Episode = 31, T_Steps = 4465, E_Steps = 181, R = -0.1791, succ =  0.0000, FPS = 42.00
20:03:16.712 [INFO] (trainer.py:175) Episode = 32, T_Steps = 4633, E_Steps = 168, R = -0.1185, succ =  0.0000, FPS = 45.85
20:03:20.680 [INFO] (trainer.py:175) Episode = 33, T_Steps = 4808, E_Steps = 175, R = -0.1114, succ =  0.0000, FPS = 44.11
20:03:24.522 [INFO] (trainer.py:175) Episode = 34, T_Steps = 4979, E_Steps = 171, R = -0.1087, succ =  0.0000, FPS = 44.53
20:03:28.155 [INFO] (trainer.py:175) Episode = 35, T_Steps = 5144, E_Steps = 165, R = -0.1030, succ =  0.0000, FPS = 45.43
20:03:32.132 [INFO] (trainer.py:175) Episode = 36, T_Steps = 5319, E_Steps = 175, R = -0.1806, succ =  0.0000, FPS = 44.02
20:03:36.215 [INFO] (trainer.py:175) Episode = 37, T_Steps = 5502, E_Steps = 183, R = -0.1331, succ =  0.0000, FPS = 44.84
20:03:40.393 [INFO] (trainer.py:175) Episode = 38, T_Steps = 5680, E_Steps = 178, R = -0.1376, succ =  0.0000, FPS = 42.61
20:03:44.069 [INFO] (trainer.py:175) Episode = 39, T_Steps = 5867, E_Steps = 187, R = -0.1271, succ =  0.0000, FPS = 50.90
20:03:56.434 [INFO] (trainer.py:175) Episode = 40, T_Steps = 6066, E_Steps = 199, R = -0.1926, succ =  0.0000, FPS = 16.09
20:04:17.235 [INFO] (trainer.py:175) Episode = 41, T_Steps = 6290, E_Steps = 224, R =  1.6801, succ =  0.0500, FPS = 10.77
20:04:38.242 [INFO] (trainer.py:175) Episode = 42, T_Steps = 6516, E_Steps = 226, R =  1.6956, succ =  0.1000, FPS = 10.76
20:04:58.883 [INFO] (trainer.py:175) Episode = 43, T_Steps = 6738, E_Steps = 222, R =  1.6797, succ =  0.1500, FPS = 10.76
20:05:20.884 [INFO] (trainer.py:175) Episode = 44, T_Steps = 6976, E_Steps = 238, R =  1.6717, succ =  0.2000, FPS = 10.82
20:05:43.507 [INFO] (trainer.py:175) Episode = 45, T_Steps = 7222, E_Steps = 246, R =  1.6876, succ =  0.2500, FPS = 10.87
20:05:49.763 [INFO] (trainer.py:175) Episode = 46, T_Steps = 7291, E_Steps = 69, R = -0.7732, succ =  0.2500, FPS = 11.03
20:06:10.683 [INFO] (trainer.py:175) Episode = 47, T_Steps = 7521, E_Steps = 230, R =  1.6706, succ =  0.3000, FPS = 11.00
20:06:31.515 [INFO] (trainer.py:175) Episode = 48, T_Steps = 7746, E_Steps = 225, R =  1.6045, succ =  0.3500, FPS = 10.80
20:06:53.243 [INFO] (trainer.py:175) Episode = 49, T_Steps = 7979, E_Steps = 233, R =  1.6176, succ =  0.4000, FPS = 10.72
20:07:13.775 [INFO] (trainer.py:175) Episode = 50, T_Steps = 8203, E_Steps = 224, R =  1.6023, succ =  0.4500, FPS = 10.91
20:07:33.481 [INFO] (trainer.py:175) Episode = 51, T_Steps = 8416, E_Steps = 213, R =  1.6049, succ =  0.5000, FPS = 10.81
20:07:53.070 [INFO] (trainer.py:175) Episode = 52, T_Steps = 8630, E_Steps = 214, R =  1.6443, succ =  0.5500, FPS = 10.93
20:08:14.471 [INFO] (trainer.py:175) Episode = 53, T_Steps = 8861, E_Steps = 231, R =  1.6393, succ =  0.6000, FPS = 10.79
20:08:35.492 [INFO] (trainer.py:175) Episode = 54, T_Steps = 9089, E_Steps = 228, R =  1.6485, succ =  0.6500, FPS = 10.85
20:08:55.693 [INFO] (trainer.py:175) Episode = 55, T_Steps = 9307, E_Steps = 218, R =  1.6453, succ =  0.7000, FPS = 10.79
20:09:16.176 [INFO] (trainer.py:175) Episode = 56, T_Steps = 9528, E_Steps = 221, R =  1.6144, succ =  0.7500, FPS = 10.79
20:09:35.573 [INFO] (trainer.py:175) Episode = 57, T_Steps = 9739, E_Steps = 211, R =  1.6521, succ =  0.8000, FPS = 10.88
20:09:55.761 [INFO] (trainer.py:175) Episode = 58, T_Steps = 9962, E_Steps = 223, R =  1.5805, succ =  0.8500, FPS = 11.05
20:10:16.458 [INFO] (trainer.py:175) Episode = 59, T_Steps = 10189, E_Steps = 227, R =  1.6159, succ =  0.9000, FPS = 10.97
20:10:36.876 [INFO] (trainer.py:175) Episode = 60, T_Steps = 10410, E_Steps = 221, R =  1.6661, succ =  0.9500, FPS = 10.82
20:10:45.204 [INFO] (trainer.py:175) Episode = 61, T_Steps = 10502, E_Steps = 92, R = -0.7165, succ =  0.9000, FPS = 11.05
20:11:04.688 [INFO] (trainer.py:175) Episode = 62, T_Steps = 10716, E_Steps = 214, R =  1.6476, succ =  0.9000, FPS = 10.98
20:11:23.682 [INFO] (trainer.py:175) Episode = 63, T_Steps = 10922, E_Steps = 206, R =  1.6815, succ =  0.9000, FPS = 10.85
20:11:43.983 [INFO] (trainer.py:175) Episode = 64, T_Steps = 11140, E_Steps = 218, R =  1.7295, succ =  0.9000, FPS = 10.74
20:12:03.342 [INFO] (trainer.py:175) Episode = 65, T_Steps = 11350, E_Steps = 210, R =  1.7083, succ =  0.9000, FPS = 10.85
20:12:24.039 [INFO] (trainer.py:175) Episode = 66, T_Steps = 11574, E_Steps = 224, R =  1.6967, succ =  0.9500, FPS = 10.82
20:12:31.080 [INFO] (trainer.py:175) Episode = 67, T_Steps = 11652, E_Steps = 78, R = -0.7265, succ =  0.9000, FPS = 11.08
20:12:49.384 [INFO] (trainer.py:175) Episode = 68, T_Steps = 11855, E_Steps = 203, R =  1.6718, succ =  0.9000, FPS = 11.09
20:13:12.016 [INFO] (trainer.py:175) Episode = 69, T_Steps = 12102, E_Steps = 247, R =  1.7072, succ =  0.9000, FPS = 10.91
20:13:31.112 [INFO] (trainer.py:175) Episode = 70, T_Steps = 12309, E_Steps = 207, R =  1.6444, succ =  0.9000, FPS = 10.84
20:13:49.809 [INFO] (trainer.py:175) Episode = 71, T_Steps = 12514, E_Steps = 205, R =  1.6334, succ =  0.9000, FPS = 10.97
20:14:10.126 [INFO] (trainer.py:175) Episode = 72, T_Steps = 12733, E_Steps = 219, R =  1.6579, succ =  0.9000, FPS = 10.78
20:14:29.754 [INFO] (trainer.py:175) Episode = 73, T_Steps = 12948, E_Steps = 215, R =  1.6672, succ =  0.9000, FPS = 10.95
20:14:35.910 [INFO] (trainer.py:175) Episode = 74, T_Steps = 13015, E_Steps = 67, R = -0.7872, succ =  0.8500, FPS = 10.89
20:14:42.947 [INFO] (trainer.py:175) Episode = 75, T_Steps = 13092, E_Steps = 77, R = -0.7233, succ =  0.8000, FPS = 10.94
20:14:50.400 [INFO] (trainer.py:175) Episode = 76, T_Steps = 13174, E_Steps = 82, R = -0.7341, succ =  0.7500, FPS = 11.00
20:14:57.924 [INFO] (trainer.py:175) Episode = 77, T_Steps = 13255, E_Steps = 81, R = -0.7351, succ =  0.7000, FPS = 10.77
20:15:05.291 [INFO] (trainer.py:175) Episode = 78, T_Steps = 13334, E_Steps = 79, R = -0.7426, succ =  0.6500, FPS = 10.73
20:15:25.596 [INFO] (trainer.py:175) Episode = 79, T_Steps = 13558, E_Steps = 224, R =  1.6234, succ =  0.6500, FPS = 11.03
20:15:47.255 [INFO] (trainer.py:175) Episode = 80, T_Steps = 13792, E_Steps = 234, R =  1.6265, succ =  0.6500, FPS = 10.80
20:15:54.135 [INFO] (trainer.py:175) Episode = 81, T_Steps = 13866, E_Steps = 74, R = -0.7635, succ =  0.6500, FPS = 10.76
20:16:14.216 [INFO] (trainer.py:175) Episode = 82, T_Steps = 14083, E_Steps = 217, R =  1.6323, succ =  0.6500, FPS = 10.81
20:16:34.596 [INFO] (trainer.py:175) Episode = 83, T_Steps = 14304, E_Steps = 221, R =  1.6138, succ =  0.6500, FPS = 10.84
20:16:55.050 [INFO] (trainer.py:175) Episode = 84, T_Steps = 14527, E_Steps = 223, R =  1.6443, succ =  0.6500, FPS = 10.90
20:17:16.279 [INFO] (trainer.py:175) Episode = 85, T_Steps = 14755, E_Steps = 228, R =  1.6662, succ =  0.6500, FPS = 10.74
20:17:37.111 [INFO] (trainer.py:175) Episode = 86, T_Steps = 14982, E_Steps = 227, R =  1.6264, succ =  0.6500, FPS = 10.90
20:17:57.342 [INFO] (trainer.py:175) Episode = 87, T_Steps = 15202, E_Steps = 220, R =  1.6548, succ =  0.7000, FPS = 10.88
20:18:16.434 [INFO] (trainer.py:175) Episode = 88, T_Steps = 15410, E_Steps = 208, R =  1.7544, succ =  0.7000, FPS = 10.89
20:18:35.697 [INFO] (trainer.py:175) Episode = 89, T_Steps = 15619, E_Steps = 209, R =  1.7790, succ =  0.7000, FPS = 10.85
20:18:54.809 [INFO] (trainer.py:175) Episode = 90, T_Steps = 15827, E_Steps = 208, R =  1.7472, succ =  0.7000, FPS = 10.88
20:19:13.951 [INFO] (trainer.py:175) Episode = 91, T_Steps = 16038, E_Steps = 211, R =  1.7586, succ =  0.7000, FPS = 11.02
20:19:33.295 [INFO] (trainer.py:175) Episode = 92, T_Steps = 16246, E_Steps = 208, R =  1.7573, succ =  0.7000, FPS = 10.75
20:19:43.006 [INFO] (trainer.py:175) Episode = 93, T_Steps = 16352, E_Steps = 106, R = -0.6590, succ =  0.6500, FPS = 10.92
20:19:54.098 [INFO] (trainer.py:175) Episode = 94, T_Steps = 16472, E_Steps = 120, R = -0.6244, succ =  0.6500, FPS = 10.82
20:20:05.810 [INFO] (trainer.py:175) Episode = 95, T_Steps = 16602, E_Steps = 130, R = -0.5899, succ =  0.6500, FPS = 11.10
20:20:25.655 [INFO] (trainer.py:175) Episode = 96, T_Steps = 16815, E_Steps = 213, R =  1.7437, succ =  0.7000, FPS = 10.73
20:20:45.763 [INFO] (trainer.py:175) Episode = 97, T_Steps = 17032, E_Steps = 217, R =  1.6874, succ =  0.7500, FPS = 10.79
20:21:04.408 [INFO] (trainer.py:175) Episode = 98, T_Steps = 17236, E_Steps = 204, R =  1.7404, succ =  0.8000, FPS = 10.94
20:21:23.858 [INFO] (trainer.py:175) Episode = 99, T_Steps = 17447, E_Steps = 211, R =  1.7680, succ =  0.8000, FPS = 10.85
20:21:34.253 [INFO] (trainer.py:175) Episode = 100, T_Steps = 17560, E_Steps = 113, R = -0.6400, succ =  0.7500, FPS = 10.87
20:21:54.116 [INFO] (trainer.py:175) Episode = 101, T_Steps = 17773, E_Steps = 213, R =  1.8162, succ =  0.8000, FPS = 10.72
