07:22:43.249 [INFO] (trainer.py:174) Episode = 1, T_Steps = 211, E_Steps = 211, R =  0.0323, succ =  0.0000, FPS = 26.39
07:22:47.734 [INFO] (trainer.py:174) Episode = 2, T_Steps = 413, E_Steps = 202, R =  1.9534, succ =  0.0500, FPS = 45.05
07:22:52.155 [INFO] (trainer.py:174) Episode = 3, T_Steps = 613, E_Steps = 200, R =  0.0547, succ =  0.0500, FPS = 45.25
07:22:56.668 [INFO] (trainer.py:174) Episode = 4, T_Steps = 817, E_Steps = 204, R =  0.0592, succ =  0.0500, FPS = 45.22
07:23:01.230 [INFO] (trainer.py:174) Episode = 5, T_Steps = 1025, E_Steps = 208, R =  1.9448, succ =  0.1000, FPS = 45.61
07:23:05.393 [INFO] (trainer.py:174) Episode = 6, T_Steps = 1211, E_Steps = 186, R =  0.0777, succ =  0.1000, FPS = 44.69
07:23:06.906 [INFO] (trainer.py:174) Episode = 7, T_Steps = 1242, E_Steps = 31, R = -0.8006, succ =  0.1000, FPS = 20.51
07:23:11.685 [INFO] (trainer.py:174) Episode = 8, T_Steps = 1448, E_Steps = 206, R =  0.0114, succ =  0.1000, FPS = 43.12
07:23:13.072 [INFO] (trainer.py:174) Episode = 9, T_Steps = 1472, E_Steps = 24, R = -0.8379, succ =  0.1000, FPS = 17.32
07:23:17.864 [INFO] (trainer.py:174) Episode = 10, T_Steps = 1691, E_Steps = 219, R =  1.9487, succ =  0.1500, FPS = 45.71
07:23:19.337 [INFO] (trainer.py:174) Episode = 11, T_Steps = 1722, E_Steps = 31, R = -0.8433, succ =  0.1500, FPS = 21.07
07:23:23.808 [INFO] (trainer.py:174) Episode = 12, T_Steps = 1929, E_Steps = 207, R =  0.0076, succ =  0.1500, FPS = 46.31
07:23:25.426 [INFO] (trainer.py:174) Episode = 13, T_Steps = 1966, E_Steps = 37, R = -0.7570, succ =  0.1500, FPS = 22.88
07:23:26.964 [INFO] (trainer.py:174) Episode = 14, T_Steps = 1998, E_Steps = 32, R = -0.7977, succ =  0.1500, FPS = 20.82
07:23:31.366 [INFO] (trainer.py:174) Episode = 15, T_Steps = 2199, E_Steps = 201, R =  0.0492, succ =  0.1500, FPS = 45.67
07:23:35.719 [INFO] (trainer.py:174) Episode = 16, T_Steps = 2399, E_Steps = 200, R =  0.0599, succ =  0.1500, FPS = 45.96
07:23:37.256 [INFO] (trainer.py:174) Episode = 17, T_Steps = 2431, E_Steps = 32, R = -0.7951, succ =  0.1500, FPS = 20.83
07:23:41.481 [INFO] (trainer.py:174) Episode = 18, T_Steps = 2619, E_Steps = 188, R =  1.9997, succ =  0.2000, FPS = 44.52
07:23:43.291 [INFO] (trainer.py:174) Episode = 19, T_Steps = 2668, E_Steps = 49, R = -0.7754, succ =  0.2000, FPS = 27.08
07:23:47.618 [INFO] (trainer.py:174) Episode = 20, T_Steps = 2864, E_Steps = 196, R =  0.0197, succ =  0.2000, FPS = 45.32
07:23:49.061 [INFO] (trainer.py:174) Episode = 21, T_Steps = 2888, E_Steps = 24, R = -0.8354, succ =  0.2000, FPS = 16.64
07:23:53.931 [INFO] (trainer.py:174) Episode = 22, T_Steps = 3115, E_Steps = 227, R = -0.0486, succ =  0.1500, FPS = 46.62
07:23:58.048 [INFO] (trainer.py:174) Episode = 23, T_Steps = 3298, E_Steps = 183, R =  1.9706, succ =  0.2000, FPS = 44.47
07:23:59.923 [INFO] (trainer.py:174) Episode = 24, T_Steps = 3339, E_Steps = 41, R = -0.8066, succ =  0.2000, FPS = 21.87
07:24:04.164 [INFO] (trainer.py:174) Episode = 25, T_Steps = 3531, E_Steps = 192, R = -0.1443, succ =  0.1500, FPS = 45.29
07:24:08.494 [INFO] (trainer.py:174) Episode = 26, T_Steps = 3731, E_Steps = 200, R =  1.9716, succ =  0.2000, FPS = 46.20
07:24:12.850 [INFO] (trainer.py:174) Episode = 27, T_Steps = 3934, E_Steps = 203, R =  0.0357, succ =  0.2000, FPS = 46.63
07:24:17.103 [INFO] (trainer.py:174) Episode = 28, T_Steps = 4127, E_Steps = 193, R =  1.9756, succ =  0.2500, FPS = 45.38
07:24:18.481 [INFO] (trainer.py:174) Episode = 29, T_Steps = 4149, E_Steps = 22, R = -0.8438, succ =  0.2500, FPS = 15.98
07:24:23.033 [INFO] (trainer.py:174) Episode = 30, T_Steps = 4358, E_Steps = 209, R =  0.0010, succ =  0.2000, FPS = 45.93
07:24:27.153 [INFO] (trainer.py:174) Episode = 31, T_Steps = 4542, E_Steps = 184, R =  1.9880, succ =  0.2500, FPS = 44.67
07:24:31.129 [INFO] (trainer.py:174) Episode = 32, T_Steps = 4717, E_Steps = 175, R =  1.9911, succ =  0.3000, FPS = 44.03
07:24:35.567 [INFO] (trainer.py:174) Episode = 33, T_Steps = 4924, E_Steps = 207, R =  1.8770, succ =  0.3500, FPS = 46.65
07:24:40.276 [INFO] (trainer.py:174) Episode = 34, T_Steps = 5139, E_Steps = 215, R =  1.9193, succ =  0.4000, FPS = 45.68
07:24:41.773 [INFO] (trainer.py:174) Episode = 35, T_Steps = 5163, E_Steps = 24, R = -0.8375, succ =  0.4000, FPS = 16.04
07:24:46.201 [INFO] (trainer.py:174) Episode = 36, T_Steps = 5362, E_Steps = 199, R =  1.9535, succ =  0.4500, FPS = 44.95
07:24:47.726 [INFO] (trainer.py:174) Episode = 37, T_Steps = 5393, E_Steps = 31, R = -0.8140, succ =  0.4500, FPS = 20.35
07:24:52.076 [INFO] (trainer.py:174) Episode = 38, T_Steps = 5581, E_Steps = 188, R =  0.0364, succ =  0.4000, FPS = 43.23
07:24:56.597 [INFO] (trainer.py:174) Episode = 39, T_Steps = 5793, E_Steps = 212, R = -0.0164, succ =  0.4000, FPS = 46.91
07:25:04.650 [INFO] (trainer.py:174) Episode = 40, T_Steps = 6012, E_Steps = 219, R =  1.8760, succ =  0.4500, FPS = 27.20
07:25:18.108 [INFO] (trainer.py:174) Episode = 41, T_Steps = 6200, E_Steps = 188, R =  0.0515, succ =  0.4500, FPS = 13.97
07:25:31.062 [INFO] (trainer.py:174) Episode = 42, T_Steps = 6382, E_Steps = 182, R =  1.9470, succ =  0.5000, FPS = 14.05
07:25:43.451 [INFO] (trainer.py:174) Episode = 43, T_Steps = 6556, E_Steps = 174, R =  1.8779, succ =  0.5000, FPS = 14.05
07:25:46.630 [INFO] (trainer.py:174) Episode = 44, T_Steps = 6589, E_Steps = 33, R = -0.8607, succ =  0.5000, FPS = 10.39
07:26:00.432 [INFO] (trainer.py:174) Episode = 45, T_Steps = 6780, E_Steps = 191, R =  1.8437, succ =  0.5500, FPS = 13.84
07:26:13.860 [INFO] (trainer.py:174) Episode = 46, T_Steps = 6969, E_Steps = 189, R =  1.9676, succ =  0.5500, FPS = 14.08
07:26:16.772 [INFO] (trainer.py:174) Episode = 47, T_Steps = 6997, E_Steps = 28, R = -0.8376, succ =  0.5500, FPS =  9.62
07:26:28.463 [INFO] (trainer.py:174) Episode = 48, T_Steps = 7159, E_Steps = 162, R =  1.9749, succ =  0.5500, FPS = 13.86
07:26:40.176 [INFO] (trainer.py:174) Episode = 49, T_Steps = 7323, E_Steps = 164, R =  1.9436, succ =  0.6000, FPS = 14.00
07:26:43.305 [INFO] (trainer.py:174) Episode = 50, T_Steps = 7355, E_Steps = 32, R = -0.8701, succ =  0.6000, FPS = 10.23
07:26:53.674 [INFO] (trainer.py:174) Episode = 51, T_Steps = 7496, E_Steps = 141, R = -0.3133, succ =  0.5500, FPS = 13.60
07:26:56.819 [INFO] (trainer.py:174) Episode = 52, T_Steps = 7529, E_Steps = 33, R = -0.8625, succ =  0.5000, FPS = 10.50
07:27:00.100 [INFO] (trainer.py:174) Episode = 53, T_Steps = 7563, E_Steps = 34, R = -0.8596, succ =  0.4500, FPS = 10.37
07:27:13.287 [INFO] (trainer.py:174) Episode = 54, T_Steps = 7747, E_Steps = 184, R =  1.9097, succ =  0.4500, FPS = 13.95
07:27:31.804 [INFO] (trainer.py:174) Episode = 55, T_Steps = 8017, E_Steps = 270, R =  2.4305, succ =  0.5000, FPS = 14.58
07:27:39.575 [INFO] (trainer.py:174) Episode = 56, T_Steps = 8119, E_Steps = 102, R = -0.5645, succ =  0.4500, FPS = 13.13
07:27:52.535 [INFO] (trainer.py:174) Episode = 57, T_Steps = 8302, E_Steps = 183, R =  1.9474, succ =  0.5000, FPS = 14.12
