13:26:39.508 [INFO] (trainer.py:174) Episode = 1, T_Steps = 28, E_Steps = 28, R = -0.9824, succ =  0.0000, FPS =  2.65
13:26:53.456 [INFO] (trainer.py:174) Episode = 2, T_Steps = 287, E_Steps = 259, R = -0.8314, succ =  0.0000, FPS = 18.57
13:27:11.126 [INFO] (trainer.py:174) Episode = 3, T_Steps = 589, E_Steps = 302, R = -0.8038, succ =  0.0000, FPS = 17.09
13:27:15.571 [INFO] (trainer.py:174) Episode = 4, T_Steps = 617, E_Steps = 28, R = -0.9821, succ =  0.0000, FPS =  6.30
13:27:20.910 [INFO] (trainer.py:174) Episode = 5, T_Steps = 667, E_Steps = 50, R = -0.9670, succ =  0.0000, FPS =  9.37
13:27:27.478 [INFO] (trainer.py:174) Episode = 6, T_Steps = 748, E_Steps = 81, R = -0.9471, succ =  0.0000, FPS = 12.33
13:27:40.535 [INFO] (trainer.py:174) Episode = 7, T_Steps = 1006, E_Steps = 258, R = -0.8345, succ =  0.0000, FPS = 19.76
13:27:47.559 [INFO] (trainer.py:174) Episode = 8, T_Steps = 1105, E_Steps = 99, R = -0.9332, succ =  0.0000, FPS = 14.10
13:28:06.896 [INFO] (trainer.py:174) Episode = 9, T_Steps = 1503, E_Steps = 398, R = -0.7446, succ =  0.0000, FPS = 20.58
13:28:29.229 [INFO] (trainer.py:174) Episode = 10, T_Steps = 1947, E_Steps = 444, R = -0.7134, succ =  0.0000, FPS = 19.88
13:28:45.194 [INFO] (trainer.py:174) Episode = 11, T_Steps = 2254, E_Steps = 307, R = -0.8024, succ =  0.0000, FPS = 19.23
13:29:16.120 [INFO] (trainer.py:174) Episode = 12, T_Steps = 2872, E_Steps = 618, R =  1.4057, succ =  0.0500, FPS = 19.99
13:29:26.036 [INFO] (trainer.py:174) Episode = 13, T_Steps = 3064, E_Steps = 192, R = -0.8743, succ =  0.0500, FPS = 19.39
13:29:49.464 [INFO] (trainer.py:174) Episode = 14, T_Steps = 3501, E_Steps = 437, R = -0.7199, succ =  0.0500, FPS = 18.65
13:30:05.723 [INFO] (trainer.py:174) Episode = 15, T_Steps = 3800, E_Steps = 299, R = -0.8050, succ =  0.0500, FPS = 18.41
13:30:20.544 [INFO] (trainer.py:174) Episode = 16, T_Steps = 4087, E_Steps = 287, R = -0.8143, succ =  0.0500, FPS = 19.38
13:30:51.254 [INFO] (trainer.py:174) Episode = 17, T_Steps = 4697, E_Steps = 610, R =  1.3974, succ =  0.1000, FPS = 19.86
13:31:15.841 [INFO] (trainer.py:174) Episode = 18, T_Steps = 5208, E_Steps = 511, R = -0.6703, succ =  0.1000, FPS = 20.78
13:31:20.821 [INFO] (trainer.py:174) Episode = 19, T_Steps = 5238, E_Steps = 30, R = -0.9812, succ =  0.1000, FPS =  6.03
13:31:50.351 [INFO] (trainer.py:174) Episode = 20, T_Steps = 5835, E_Steps = 597, R =  1.3905, succ =  0.1500, FPS = 20.22
13:31:54.676 [INFO] (trainer.py:174) Episode = 21, T_Steps = 5864, E_Steps = 29, R = -0.9815, succ =  0.1500, FPS =  6.71
13:32:57.133 [INFO] (trainer.py:174) Episode = 22, T_Steps = 6447, E_Steps = 583, R =  1.3765, succ =  0.2000, FPS =  9.34
13:33:01.776 [INFO] (trainer.py:174) Episode = 23, T_Steps = 6479, E_Steps = 32, R = -0.9795, succ =  0.2000, FPS =  6.89
13:33:44.532 [INFO] (trainer.py:174) Episode = 24, T_Steps = 6828, E_Steps = 349, R = -0.7778, succ =  0.2000, FPS =  8.16
13:34:41.411 [INFO] (trainer.py:174) Episode = 25, T_Steps = 7344, E_Steps = 516, R = -0.6719, succ =  0.2000, FPS =  9.07
13:35:48.977 [INFO] (trainer.py:174) Episode = 26, T_Steps = 7942, E_Steps = 598, R =  1.3826, succ =  0.2500, FPS =  8.85
13:36:32.699 [INFO] (trainer.py:174) Episode = 27, T_Steps = 8321, E_Steps = 379, R = -0.7558, succ =  0.2500, FPS =  8.67
13:37:39.419 [INFO] (trainer.py:174) Episode = 28, T_Steps = 8893, E_Steps = 572, R =  1.3667, succ =  0.3000, FPS =  8.57
13:38:27.414 [INFO] (trainer.py:174) Episode = 29, T_Steps = 9299, E_Steps = 406, R = -0.7429, succ =  0.3000, FPS =  8.46
13:38:34.554 [INFO] (trainer.py:174) Episode = 30, T_Steps = 9331, E_Steps = 32, R = -0.9804, succ =  0.3000, FPS =  4.49
13:39:37.966 [INFO] (trainer.py:174) Episode = 31, T_Steps = 9866, E_Steps = 535, R = -0.6587, succ =  0.3000, FPS =  8.44
13:40:13.831 [INFO] (trainer.py:174) Episode = 32, T_Steps = 10177, E_Steps = 311, R = -0.8031, succ =  0.2500, FPS =  8.67
13:41:27.026 [INFO] (trainer.py:174) Episode = 33, T_Steps = 10813, E_Steps = 636, R =  1.4029, succ =  0.3000, FPS =  8.69
