23:46:05.860 [INFO] (trainer.py:174) Episode = 44, T_Steps = 7789, E_Steps = 244, R = -0.1835, succ =  0.3500, FPS = 14.45
23:46:19.282 [INFO] (trainer.py:174) Episode = 45, T_Steps = 7980, E_Steps = 191, R = -0.2038, succ =  0.3500, FPS = 14.23
23:46:30.331 [INFO] (trainer.py:174) Episode = 46, T_Steps = 8134, E_Steps = 154, R =  1.8952, succ =  0.4000, FPS = 13.94
23:46:47.914 [INFO] (trainer.py:174) Episode = 47, T_Steps = 8389, E_Steps = 255, R = -0.0877, succ =  0.4000, FPS = 14.50
23:47:05.729 [INFO] (trainer.py:174) Episode = 48, T_Steps = 8650, E_Steps = 261, R = -0.1928, succ =  0.3500, FPS = 14.65
23:47:24.055 [INFO] (trainer.py:174) Episode = 49, T_Steps = 8916, E_Steps = 266, R = -0.1140, succ =  0.3500, FPS = 14.52
23:47:32.671 [INFO] (trainer.py:174) Episode = 50, T_Steps = 9033, E_Steps = 117, R = -0.4947, succ =  0.3500, FPS = 13.58
23:47:45.089 [INFO] (trainer.py:174) Episode = 51, T_Steps = 9210, E_Steps = 177, R =  1.9559, succ =  0.3500, FPS = 14.25
23:47:49.105 [INFO] (trainer.py:174) Episode = 52, T_Steps = 9254, E_Steps = 44, R = -0.8244, succ =  0.3500, FPS = 10.96
23:48:04.549 [INFO] (trainer.py:174) Episode = 53, T_Steps = 9474, E_Steps = 220, R = -0.1871, succ =  0.3000, FPS = 14.25
23:48:14.909 [INFO] (trainer.py:174) Episode = 54, T_Steps = 9614, E_Steps = 140, R = -0.3770, succ =  0.3000, FPS = 13.52
23:48:26.880 [INFO] (trainer.py:174) Episode = 55, T_Steps = 9780, E_Steps = 166, R =  1.8981, succ =  0.3500, FPS = 13.87
23:48:40.168 [INFO] (trainer.py:174) Episode = 56, T_Steps = 9969, E_Steps = 189, R =  1.9157, succ =  0.3500, FPS = 14.23
23:48:58.252 [INFO] (trainer.py:174) Episode = 57, T_Steps = 10231, E_Steps = 262, R = -0.1167, succ =  0.3000, FPS = 14.49
23:49:12.236 [INFO] (trainer.py:174) Episode = 58, T_Steps = 10430, E_Steps = 199, R =  1.9202, succ =  0.3500, FPS = 14.23
23:49:16.948 [INFO] (trainer.py:174) Episode = 59, T_Steps = 10489, E_Steps = 59, R = -0.7179, succ =  0.3000, FPS = 12.52
23:49:28.650 [INFO] (trainer.py:174) Episode = 60, T_Steps = 10653, E_Steps = 164, R =  1.8694, succ =  0.3500, FPS = 14.02
23:49:42.261 [INFO] (trainer.py:174) Episode = 61, T_Steps = 10845, E_Steps = 192, R =  1.8621, succ =  0.4000, FPS = 14.11
23:49:54.400 [INFO] (trainer.py:174) Episode = 62, T_Steps = 11017, E_Steps = 172, R =  1.8785, succ =  0.4000, FPS = 14.17
23:50:10.453 [INFO] (trainer.py:174) Episode = 63, T_Steps = 11249, E_Steps = 232, R = -0.0548, succ =  0.4000, FPS = 14.45
23:50:24.643 [INFO] (trainer.py:174) Episode = 64, T_Steps = 11452, E_Steps = 203, R = -0.1770, succ =  0.4000, FPS = 14.31
23:50:38.545 [INFO] (trainer.py:174) Episode = 65, T_Steps = 11650, E_Steps = 198, R =  1.9037, succ =  0.4500, FPS = 14.24
23:50:52.233 [INFO] (trainer.py:174) Episode = 66, T_Steps = 11841, E_Steps = 191, R =  1.8594, succ =  0.4500, FPS = 13.95
23:51:07.677 [INFO] (trainer.py:174) Episode = 67, T_Steps = 12062, E_Steps = 221, R =  0.0226, succ =  0.4500, FPS = 14.31
23:51:11.756 [INFO] (trainer.py:174) Episode = 68, T_Steps = 12109, E_Steps = 47, R = -0.8265, succ =  0.4500, FPS = 11.53
23:51:28.334 [INFO] (trainer.py:174) Episode = 69, T_Steps = 12345, E_Steps = 236, R = -0.0713, succ =  0.4500, FPS = 14.24
23:51:40.086 [INFO] (trainer.py:174) Episode = 70, T_Steps = 12508, E_Steps = 163, R =  1.8886, succ =  0.5000, FPS = 13.87
23:51:56.834 [INFO] (trainer.py:174) Episode = 71, T_Steps = 12746, E_Steps = 238, R =  1.9035, succ =  0.5000, FPS = 14.21
23:52:09.193 [INFO] (trainer.py:174) Episode = 72, T_Steps = 12918, E_Steps = 172, R =  1.8755, succ =  0.5500, FPS = 13.92
23:52:16.901 [INFO] (trainer.py:174) Episode = 73, T_Steps = 13020, E_Steps = 102, R = -0.5725, succ =  0.5500, FPS = 13.24
23:52:29.472 [INFO] (trainer.py:174) Episode = 74, T_Steps = 13197, E_Steps = 177, R =  1.8472, succ =  0.6000, FPS = 14.08
23:52:41.917 [INFO] (trainer.py:174) Episode = 75, T_Steps = 13372, E_Steps = 175, R =  1.8882, succ =  0.6000, FPS = 14.06
23:52:46.148 [INFO] (trainer.py:174) Episode = 76, T_Steps = 13423, E_Steps = 51, R = -0.8108, succ =  0.5500, FPS = 12.06
23:52:56.675 [INFO] (trainer.py:174) Episode = 77, T_Steps = 13570, E_Steps = 147, R =  1.8010, succ =  0.6000, FPS = 13.97
23:53:07.040 [INFO] (trainer.py:174) Episode = 78, T_Steps = 13714, E_Steps = 144, R =  1.8222, succ =  0.6000, FPS = 13.89
23:53:23.827 [INFO] (trainer.py:174) Episode = 79, T_Steps = 13955, E_Steps = 241, R = -0.2012, succ =  0.6000, FPS = 14.36
23:53:34.756 [INFO] (trainer.py:174) Episode = 80, T_Steps = 14108, E_Steps = 153, R =  1.7702, succ =  0.6000, FPS = 14.00
23:53:44.831 [INFO] (trainer.py:174) Episode = 81, T_Steps = 14245, E_Steps = 137, R = -0.4488, succ =  0.5500, FPS = 13.60
23:53:59.582 [INFO] (trainer.py:174) Episode = 82, T_Steps = 14454, E_Steps = 209, R = -0.0523, succ =  0.5000, FPS = 14.17
23:54:10.906 [INFO] (trainer.py:174) Episode = 83, T_Steps = 14614, E_Steps = 160, R =  1.8542, succ =  0.5500, FPS = 14.13
23:54:22.884 [INFO] (trainer.py:174) Episode = 84, T_Steps = 14783, E_Steps = 169, R =  1.8553, succ =  0.6000, FPS = 14.11
23:54:34.019 [INFO] (trainer.py:174) Episode = 85, T_Steps = 14940, E_Steps = 157, R =  1.8567, succ =  0.6000, FPS = 14.10
23:54:45.183 [INFO] (trainer.py:174) Episode = 86, T_Steps = 15098, E_Steps = 158, R =  1.8574, succ =  0.6000, FPS = 14.15
23:55:03.649 [INFO] (trainer.py:174) Episode = 87, T_Steps = 15368, E_Steps = 270, R =  2.1673, succ =  0.6500, FPS = 14.62
23:55:14.912 [INFO] (trainer.py:174) Episode = 88, T_Steps = 15525, E_Steps = 157, R = -0.2628, succ =  0.6500, FPS = 13.94
23:55:29.203 [INFO] (trainer.py:174) Episode = 89, T_Steps = 15729, E_Steps = 204, R =  1.8178, succ =  0.7000, FPS = 14.28
23:55:42.927 [INFO] (trainer.py:174) Episode = 90, T_Steps = 15925, E_Steps = 196, R =  1.8675, succ =  0.7000, FPS = 14.28
23:56:01.604 [INFO] (trainer.py:174) Episode = 91, T_Steps = 16197, E_Steps = 272, R = -0.0641, succ =  0.6500, FPS = 14.56
23:56:15.709 [INFO] (trainer.py:174) Episode = 92, T_Steps = 16398, E_Steps = 201, R =  1.8410, succ =  0.6500, FPS = 14.25
23:56:29.893 [INFO] (trainer.py:174) Episode = 93, T_Steps = 16600, E_Steps = 202, R =  1.8502, succ =  0.7000, FPS = 14.24
23:56:43.267 [INFO] (trainer.py:174) Episode = 94, T_Steps = 16790, E_Steps = 190, R =  1.9044, succ =  0.7000, FPS = 14.21
23:56:59.328 [INFO] (trainer.py:174) Episode = 95, T_Steps = 17018, E_Steps = 228, R =  1.9080, succ =  0.7000, FPS = 14.20
23:57:14.670 [INFO] (trainer.py:174) Episode = 96, T_Steps = 17235, E_Steps = 217, R =  1.8310, succ =  0.7500, FPS = 14.15
23:57:30.209 [INFO] (trainer.py:174) Episode = 97, T_Steps = 17454, E_Steps = 219, R =  1.8384, succ =  0.7500, FPS = 14.10
23:57:42.547 [INFO] (trainer.py:174) Episode = 98, T_Steps = 17626, E_Steps = 172, R =  1.7698, succ =  0.7500, FPS = 13.94
23:57:55.686 [INFO] (trainer.py:174) Episode = 99, T_Steps = 17810, E_Steps = 184, R =  1.8158, succ =  0.8000, FPS = 14.01
23:58:12.568 [INFO] (trainer.py:174) Episode = 100, T_Steps = 18050, E_Steps = 240, R = -0.1791, succ =  0.7500, FPS = 14.22
23:58:23.434 [INFO] (trainer.py:174) Episode = 101, T_Steps = 18200, E_Steps = 150, R =  1.8000, succ =  0.8000, FPS = 13.81
23:58:34.520 [INFO] (trainer.py:174) Episode = 102, T_Steps = 18353, E_Steps = 153, R =  1.8096, succ =  0.8500, FPS = 13.80
23:58:43.249 [INFO] (trainer.py:174) Episode = 103, T_Steps = 18470, E_Steps = 117, R = -0.4500, succ =  0.8000, FPS = 13.41
23:58:54.788 [INFO] (trainer.py:174) Episode = 104, T_Steps = 18630, E_Steps = 160, R =  1.8530, succ =  0.8000, FPS = 13.87
23:59:05.919 [INFO] (trainer.py:174) Episode = 105, T_Steps = 18783, E_Steps = 153, R = -0.4021, succ =  0.7500, FPS = 13.75
23:59:17.760 [INFO] (trainer.py:174) Episode = 106, T_Steps = 18947, E_Steps = 164, R =  1.7932, succ =  0.7500, FPS = 13.85
23:59:35.920 [INFO] (trainer.py:174) Episode = 107, T_Steps = 19210, E_Steps = 263, R =  1.8584, succ =  0.7500, FPS = 14.48
23:59:46.301 [INFO] (trainer.py:174) Episode = 108, T_Steps = 19354, E_Steps = 144, R = -0.3926, succ =  0.7500, FPS = 13.87
23:59:54.187 [INFO] (trainer.py:174) Episode = 109, T_Steps = 19457, E_Steps = 103, R = -0.5472, succ =  0.7000, FPS = 13.06
00:00:13.144 [INFO] (trainer.py:174) Episode = 110, T_Steps = 19728, E_Steps = 271, R =  0.0293, succ =  0.6500, FPS = 14.30
00:00:20.530 [INFO] (trainer.py:174) Episode = 111, T_Steps = 19827, E_Steps = 99, R = -0.5043, succ =  0.6500, FPS = 13.41
00:00:31.521 [INFO] (trainer.py:174) Episode = 112, T_Steps = 19979, E_Steps = 152, R =  1.7953, succ =  0.6500, FPS = 13.83
00:00:43.097 [INFO] (trainer.py:174) Episode = 113, T_Steps = 20141, E_Steps = 162, R =  1.8469, succ =  0.6500, FPS = 14.00
00:00:52.564 [INFO] (trainer.py:174) Episode = 114, T_Steps = 20271, E_Steps = 130, R =  1.7854, succ =  0.6500, FPS = 13.73
00:01:03.786 [INFO] (trainer.py:174) Episode = 115, T_Steps = 20428, E_Steps = 157, R =  1.7777, succ =  0.6500, FPS = 13.99
00:01:18.809 [INFO] (trainer.py:174) Episode = 116, T_Steps = 20643, E_Steps = 215, R =  1.8844, succ =  0.6500, FPS = 14.31
00:01:29.789 [INFO] (trainer.py:174) Episode = 117, T_Steps = 20795, E_Steps = 152, R = -0.4624, succ =  0.6000, FPS = 13.85
00:01:41.100 [INFO] (trainer.py:174) Episode = 118, T_Steps = 20953, E_Steps = 158, R =  1.8505, succ =  0.6000, FPS = 13.97
00:01:51.239 [INFO] (trainer.py:174) Episode = 119, T_Steps = 21094, E_Steps = 141, R =  1.7542, succ =  0.6000, FPS = 13.91
00:02:07.286 [INFO] (trainer.py:174) Episode = 120, T_Steps = 21324, E_Steps = 230, R =  1.9155, succ =  0.6500, FPS = 14.33
00:02:12.452 [INFO] (trainer.py:174) Episode = 121, T_Steps = 21389, E_Steps = 65, R = -0.7545, succ =  0.6000, FPS = 12.58
00:02:22.918 [INFO] (trainer.py:174) Episode = 122, T_Steps = 21534, E_Steps = 145, R =  1.7595, succ =  0.6000, FPS = 13.86
00:02:32.973 [INFO] (trainer.py:174) Episode = 123, T_Steps = 21673, E_Steps = 139, R =  1.7585, succ =  0.6500, FPS = 13.83
00:02:45.041 [INFO] (trainer.py:174) Episode = 124, T_Steps = 21840, E_Steps = 167, R =  1.8642, succ =  0.6500, FPS = 13.84
00:02:55.965 [INFO] (trainer.py:174) Episode = 125, T_Steps = 21991, E_Steps = 151, R =  1.8154, succ =  0.7000, FPS = 13.82
00:03:06.626 [INFO] (trainer.py:174) Episode = 126, T_Steps = 22138, E_Steps = 147, R =  1.7710, succ =  0.7000, FPS = 13.79
00:03:15.336 [INFO] (trainer.py:174) Episode = 127, T_Steps = 22255, E_Steps = 117, R = -0.5051, succ =  0.6500, FPS = 13.43
00:03:24.988 [INFO] (trainer.py:174) Episode = 128, T_Steps = 22388, E_Steps = 133, R =  1.7982, succ =  0.7000, FPS = 13.78
00:03:33.097 [INFO] (trainer.py:174) Episode = 129, T_Steps = 22498, E_Steps = 110, R = -0.5638, succ =  0.7000, FPS = 13.57
00:03:44.171 [INFO] (trainer.py:174) Episode = 130, T_Steps = 22654, E_Steps = 156, R =  1.8225, succ =  0.7500, FPS = 14.09
