19:06:57.535 [INFO] (trainer.py:174) Episode = 1, T_Steps = 28, E_Steps = 28, R = -0.9825, succ =  0.0000, FPS =  2.53
19:07:18.727 [INFO] (trainer.py:174) Episode = 2, T_Steps = 473, E_Steps = 445, R = -0.7134, succ =  0.0000, FPS = 21.00
19:07:39.061 [INFO] (trainer.py:174) Episode = 3, T_Steps = 900, E_Steps = 427, R = -0.7253, succ =  0.0000, FPS = 21.00
19:07:43.593 [INFO] (trainer.py:174) Episode = 4, T_Steps = 931, E_Steps = 31, R = -0.9789, succ =  0.0000, FPS =  6.84
19:08:00.764 [INFO] (trainer.py:174) Episode = 5, T_Steps = 1268, E_Steps = 337, R = -0.7812, succ =  0.0000, FPS = 19.64
19:08:04.981 [INFO] (trainer.py:174) Episode = 6, T_Steps = 1292, E_Steps = 24, R = -0.9847, succ =  0.0000, FPS =  5.69
19:08:09.894 [INFO] (trainer.py:174) Episode = 7, T_Steps = 1347, E_Steps = 55, R = -0.9638, succ =  0.0000, FPS = 11.20
19:08:38.330 [INFO] (trainer.py:174) Episode = 8, T_Steps = 1967, E_Steps = 620, R =  1.4036, succ =  0.0500, FPS = 21.80
19:08:54.462 [INFO] (trainer.py:174) Episode = 9, T_Steps = 2285, E_Steps = 318, R = -0.7908, succ =  0.0500, FPS = 19.72
19:09:21.420 [INFO] (trainer.py:174) Episode = 10, T_Steps = 2873, E_Steps = 588, R =  1.3797, succ =  0.1000, FPS = 21.82
19:09:38.979 [INFO] (trainer.py:174) Episode = 11, T_Steps = 3211, E_Steps = 338, R = -0.7809, succ =  0.1000, FPS = 19.25
19:10:06.182 [INFO] (trainer.py:174) Episode = 12, T_Steps = 3811, E_Steps = 600, R =  1.3892, succ =  0.1500, FPS = 22.06
19:10:10.348 [INFO] (trainer.py:174) Episode = 13, T_Steps = 3839, E_Steps = 28, R = -0.9817, succ =  0.1500, FPS =  6.72
19:10:25.490 [INFO] (trainer.py:174) Episode = 14, T_Steps = 4122, E_Steps = 283, R = -0.8137, succ =  0.1500, FPS = 18.69
19:10:36.071 [INFO] (trainer.py:174) Episode = 15, T_Steps = 4317, E_Steps = 195, R = -0.8714, succ =  0.1500, FPS = 18.43
19:10:42.288 [INFO] (trainer.py:174) Episode = 16, T_Steps = 4392, E_Steps = 75, R = -0.9501, succ =  0.1500, FPS = 12.07
19:11:09.393 [INFO] (trainer.py:174) Episode = 17, T_Steps = 4996, E_Steps = 604, R =  1.3892, succ =  0.2000, FPS = 22.28
19:11:17.788 [INFO] (trainer.py:174) Episode = 18, T_Steps = 5126, E_Steps = 130, R = -0.9154, succ =  0.2000, FPS = 15.49
19:11:38.797 [INFO] (trainer.py:174) Episode = 19, T_Steps = 5570, E_Steps = 444, R = -0.7108, succ =  0.2000, FPS = 21.13
19:11:42.899 [INFO] (trainer.py:174) Episode = 20, T_Steps = 5598, E_Steps = 28, R = -0.9815, succ =  0.2000, FPS =  6.83
19:11:55.996 [INFO] (trainer.py:174) Episode = 21, T_Steps = 5866, E_Steps = 268, R = -0.8277, succ =  0.2000, FPS = 20.46
19:12:00.509 [INFO] (trainer.py:174) Episode = 22, T_Steps = 5893, E_Steps = 27, R = -0.9820, succ =  0.2000, FPS =  5.98
19:13:18.615 [INFO] (trainer.py:174) Episode = 23, T_Steps = 6563, E_Steps = 670, R =  1.4376, succ =  0.2500, FPS =  8.58
19:14:04.693 [INFO] (trainer.py:174) Episode = 24, T_Steps = 6959, E_Steps = 396, R = -0.7459, succ =  0.2500, FPS =  8.59
19:14:11.749 [INFO] (trainer.py:174) Episode = 25, T_Steps = 6992, E_Steps = 33, R = -0.9801, succ =  0.2500, FPS =  4.68
19:15:03.072 [INFO] (trainer.py:174) Episode = 26, T_Steps = 7435, E_Steps = 443, R = -0.7160, succ =  0.2500, FPS =  8.63
19:15:09.904 [INFO] (trainer.py:174) Episode = 27, T_Steps = 7468, E_Steps = 33, R = -0.9799, succ =  0.2500, FPS =  4.83
19:16:18.144 [INFO] (trainer.py:174) Episode = 28, T_Steps = 8065, E_Steps = 597, R =  1.3881, succ =  0.2500, FPS =  8.75
19:17:22.200 [INFO] (trainer.py:174) Episode = 29, T_Steps = 8637, E_Steps = 572, R = -0.6334, succ =  0.2500, FPS =  8.93
19:18:41.507 [INFO] (trainer.py:174) Episode = 30, T_Steps = 9335, E_Steps = 698, R =  1.4521, succ =  0.2500, FPS =  8.80
19:19:59.524 [INFO] (trainer.py:174) Episode = 31, T_Steps = 10017, E_Steps = 682, R =  1.4384, succ =  0.3000, FPS =  8.74
19:20:54.273 [INFO] (trainer.py:174) Episode = 32, T_Steps = 10501, E_Steps = 484, R = -0.6888, succ =  0.2500, FPS =  8.84
19:21:26.434 [INFO] (trainer.py:174) Episode = 33, T_Steps = 10769, E_Steps = 268, R = -0.8263, succ =  0.2500, FPS =  8.33
19:22:28.263 [INFO] (trainer.py:174) Episode = 34, T_Steps = 11297, E_Steps = 528, R = -0.6631, succ =  0.2500, FPS =  8.54
19:23:50.098 [INFO] (trainer.py:174) Episode = 35, T_Steps = 12034, E_Steps = 737, R =  1.4738, succ =  0.3000, FPS =  9.01
19:25:14.138 [INFO] (trainer.py:174) Episode = 36, T_Steps = 12787, E_Steps = 753, R =  1.4933, succ =  0.3500, FPS =  8.96
19:25:24.282 [INFO] (trainer.py:174) Episode = 37, T_Steps = 12851, E_Steps = 64, R = -0.9562, succ =  0.3000, FPS =  6.31
19:26:16.419 [INFO] (trainer.py:174) Episode = 38, T_Steps = 13307, E_Steps = 456, R = -0.7054, succ =  0.3000, FPS =  8.75
19:27:08.475 [INFO] (trainer.py:174) Episode = 39, T_Steps = 13763, E_Steps = 456, R = -0.7061, succ =  0.3000, FPS =  8.76
19:28:33.614 [INFO] (trainer.py:174) Episode = 40, T_Steps = 14507, E_Steps = 744, R =  1.4875, succ =  0.3500, FPS =  8.74
19:29:02.648 [INFO] (trainer.py:174) Episode = 41, T_Steps = 14756, E_Steps = 249, R = -0.8367, succ =  0.3500, FPS =  8.58
19:29:09.777 [INFO] (trainer.py:174) Episode = 42, T_Steps = 14790, E_Steps = 34, R = -0.9787, succ =  0.3500, FPS =  4.78
19:30:29.383 [INFO] (trainer.py:174) Episode = 43, T_Steps = 15482, E_Steps = 692, R =  1.4513, succ =  0.3500, FPS =  8.69
19:31:51.455 [INFO] (trainer.py:174) Episode = 44, T_Steps = 16201, E_Steps = 719, R =  1.4703, succ =  0.4000, FPS =  8.76
19:32:51.123 [INFO] (trainer.py:174) Episode = 45, T_Steps = 16722, E_Steps = 521, R = -0.6676, succ =  0.4000, FPS =  8.73
19:34:03.338 [INFO] (trainer.py:174) Episode = 46, T_Steps = 17365, E_Steps = 643, R = -0.5930, succ =  0.4000, FPS =  8.90
19:35:23.028 [INFO] (trainer.py:174) Episode = 47, T_Steps = 18075, E_Steps = 710, R =  1.4595, succ =  0.4500, FPS =  8.91
19:36:40.551 [INFO] (trainer.py:174) Episode = 48, T_Steps = 18763, E_Steps = 688, R =  1.4462, succ =  0.4500, FPS =  8.87
19:37:56.023 [INFO] (trainer.py:174) Episode = 49, T_Steps = 19432, E_Steps = 669, R =  1.4315, succ =  0.5000, FPS =  8.86
19:38:49.256 [INFO] (trainer.py:174) Episode = 50, T_Steps = 19915, E_Steps = 483, R = -0.6908, succ =  0.4500, FPS =  9.07
19:39:47.700 [INFO] (trainer.py:174) Episode = 51, T_Steps = 20424, E_Steps = 509, R = -0.6740, succ =  0.4000, FPS =  8.71
19:41:04.366 [INFO] (trainer.py:174) Episode = 52, T_Steps = 21104, E_Steps = 680, R =  1.4430, succ =  0.4500, FPS =  8.87
19:41:27.009 [INFO] (trainer.py:174) Episode = 53, T_Steps = 21300, E_Steps = 196, R = -0.8724, succ =  0.4500, FPS =  8.66
19:41:34.994 [INFO] (trainer.py:174) Episode = 54, T_Steps = 21344, E_Steps = 44, R = -0.9695, succ =  0.4500, FPS =  5.51
19:42:48.342 [INFO] (trainer.py:174) Episode = 55, T_Steps = 21985, E_Steps = 641, R =  1.4149, succ =  0.4500, FPS =  8.74
