03:25:05.666 [INFO] (trainer.py:175) Episode = 44, T_Steps = 5998, E_Steps = 169, R = -0.1285, succ =  0.0500, FPS = 43.63
03:25:15.625 [INFO] (trainer.py:175) Episode = 45, T_Steps = 6072, E_Steps = 74, R = -0.7005, succ =  0.0500, FPS =  7.43
03:25:23.389 [INFO] (trainer.py:175) Episode = 46, T_Steps = 6155, E_Steps = 83, R = -0.7126, succ =  0.0500, FPS = 10.69
03:25:30.260 [INFO] (trainer.py:175) Episode = 47, T_Steps = 6227, E_Steps = 72, R = -0.6951, succ =  0.0000, FPS = 10.48
03:25:37.534 [INFO] (trainer.py:175) Episode = 48, T_Steps = 6306, E_Steps = 79, R = -0.7107, succ =  0.0000, FPS = 10.86
03:25:45.117 [INFO] (trainer.py:175) Episode = 49, T_Steps = 6388, E_Steps = 82, R = -0.6969, succ =  0.0000, FPS = 10.81
03:25:54.719 [INFO] (trainer.py:175) Episode = 50, T_Steps = 6490, E_Steps = 102, R = -0.6655, succ =  0.0000, FPS = 10.62
03:26:01.161 [INFO] (trainer.py:175) Episode = 51, T_Steps = 6559, E_Steps = 69, R = -0.7681, succ =  0.0000, FPS = 10.71
03:26:21.969 [INFO] (trainer.py:175) Episode = 52, T_Steps = 6781, E_Steps = 222, R =  1.7433, succ =  0.0500, FPS = 10.67
03:26:30.294 [INFO] (trainer.py:175) Episode = 53, T_Steps = 6871, E_Steps = 90, R = -0.7079, succ =  0.0500, FPS = 10.81
03:26:51.884 [INFO] (trainer.py:175) Episode = 54, T_Steps = 7101, E_Steps = 230, R =  1.7671, succ =  0.1000, FPS = 10.65
03:27:13.985 [INFO] (trainer.py:175) Episode = 55, T_Steps = 7337, E_Steps = 236, R =  1.6856, succ =  0.1500, FPS = 10.68
03:27:34.302 [INFO] (trainer.py:175) Episode = 56, T_Steps = 7552, E_Steps = 215, R =  1.7348, succ =  0.2000, FPS = 10.58
03:27:53.854 [INFO] (trainer.py:175) Episode = 57, T_Steps = 7759, E_Steps = 207, R =  1.7071, succ =  0.2500, FPS = 10.59
03:28:14.366 [INFO] (trainer.py:175) Episode = 58, T_Steps = 7977, E_Steps = 218, R =  1.7645, succ =  0.3000, FPS = 10.63
03:28:34.043 [INFO] (trainer.py:175) Episode = 59, T_Steps = 8186, E_Steps = 209, R =  1.7395, succ =  0.3500, FPS = 10.62
03:28:56.565 [INFO] (trainer.py:175) Episode = 60, T_Steps = 8424, E_Steps = 238, R =  1.7206, succ =  0.4000, FPS = 10.57
03:29:17.581 [INFO] (trainer.py:175) Episode = 61, T_Steps = 8646, E_Steps = 222, R =  1.7262, succ =  0.4500, FPS = 10.56
03:29:38.252 [INFO] (trainer.py:175) Episode = 62, T_Steps = 8868, E_Steps = 222, R =  1.7072, succ =  0.5000, FPS = 10.74
03:30:00.335 [INFO] (trainer.py:175) Episode = 63, T_Steps = 9103, E_Steps = 235, R =  1.7321, succ =  0.5500, FPS = 10.64
03:30:07.986 [INFO] (trainer.py:175) Episode = 64, T_Steps = 9186, E_Steps = 83, R = -0.7186, succ =  0.5500, FPS = 10.85
03:30:30.810 [INFO] (trainer.py:175) Episode = 65, T_Steps = 9427, E_Steps = 241, R =  1.7184, succ =  0.6000, FPS = 10.56
03:30:53.243 [INFO] (trainer.py:175) Episode = 66, T_Steps = 9669, E_Steps = 242, R =  1.7271, succ =  0.6500, FPS = 10.79
03:31:15.267 [INFO] (trainer.py:175) Episode = 67, T_Steps = 9903, E_Steps = 234, R =  1.7194, succ =  0.7000, FPS = 10.63
03:31:36.477 [INFO] (trainer.py:175) Episode = 68, T_Steps = 10130, E_Steps = 227, R =  1.6956, succ =  0.7500, FPS = 10.70
03:31:57.767 [INFO] (trainer.py:175) Episode = 69, T_Steps = 10358, E_Steps = 228, R =  1.6786, succ =  0.8000, FPS = 10.71
03:32:06.212 [INFO] (trainer.py:175) Episode = 70, T_Steps = 10449, E_Steps = 91, R = -0.6900, succ =  0.8000, FPS = 10.78
03:32:27.910 [INFO] (trainer.py:175) Episode = 71, T_Steps = 10682, E_Steps = 233, R =  1.7128, succ =  0.8500, FPS = 10.74
