07:17:54.816 [INFO] (trainer.py:174) Episode = 1, T_Steps = 69, E_Steps = 69, R = -0.9534, succ =  0.0000, FPS =  4.98
07:17:59.027 [INFO] (trainer.py:174) Episode = 2, T_Steps = 93, E_Steps = 24, R = -0.9844, succ =  0.0000, FPS =  5.70
07:18:27.739 [INFO] (trainer.py:174) Episode = 3, T_Steps = 705, E_Steps = 612, R =  1.4013, succ =  0.0500, FPS = 21.32
07:18:33.078 [INFO] (trainer.py:174) Episode = 4, T_Steps = 733, E_Steps = 28, R = -0.9821, succ =  0.0500, FPS =  5.25
07:18:55.455 [INFO] (trainer.py:174) Episode = 5, T_Steps = 1161, E_Steps = 428, R = -0.7255, succ =  0.0500, FPS = 19.13
07:19:23.810 [INFO] (trainer.py:174) Episode = 6, T_Steps = 1782, E_Steps = 621, R =  1.4031, succ =  0.1000, FPS = 21.91
07:19:44.368 [INFO] (trainer.py:174) Episode = 7, T_Steps = 2218, E_Steps = 436, R = -0.7209, succ =  0.1000, FPS = 21.21
07:19:49.005 [INFO] (trainer.py:174) Episode = 8, T_Steps = 2245, E_Steps = 27, R = -0.9823, succ =  0.1000, FPS =  5.82
07:20:09.550 [INFO] (trainer.py:174) Episode = 9, T_Steps = 2634, E_Steps = 389, R = -0.7484, succ =  0.1000, FPS = 18.94
07:20:14.084 [INFO] (trainer.py:174) Episode = 10, T_Steps = 2663, E_Steps = 29, R = -0.9810, succ =  0.1000, FPS =  6.42
07:20:32.088 [INFO] (trainer.py:174) Episode = 11, T_Steps = 3020, E_Steps = 357, R = -0.7694, succ =  0.1000, FPS = 19.83
07:20:47.797 [INFO] (trainer.py:174) Episode = 12, T_Steps = 3341, E_Steps = 321, R = -0.7916, succ =  0.1000, FPS = 20.44
07:20:54.922 [INFO] (trainer.py:174) Episode = 13, T_Steps = 3440, E_Steps = 99, R = -0.9349, succ =  0.1000, FPS = 13.91
07:21:01.420 [INFO] (trainer.py:174) Episode = 14, T_Steps = 3516, E_Steps = 76, R = -0.9503, succ =  0.1000, FPS = 11.70
07:21:10.565 [INFO] (trainer.py:174) Episode = 15, T_Steps = 3660, E_Steps = 144, R = -0.9042, succ =  0.1000, FPS = 15.77
07:21:27.508 [INFO] (trainer.py:174) Episode = 16, T_Steps = 3990, E_Steps = 330, R = -0.7830, succ =  0.1000, FPS = 19.48
07:21:36.155 [INFO] (trainer.py:174) Episode = 17, T_Steps = 4173, E_Steps = 183, R = -0.8808, succ =  0.1000, FPS = 21.17
07:22:06.134 [INFO] (trainer.py:174) Episode = 18, T_Steps = 4789, E_Steps = 616, R =  1.4002, succ =  0.1500, FPS = 20.55
07:22:32.245 [INFO] (trainer.py:174) Episode = 19, T_Steps = 5383, E_Steps = 594, R =  1.3850, succ =  0.2000, FPS = 22.75
07:23:01.222 [INFO] (trainer.py:174) Episode = 20, T_Steps = 5994, E_Steps = 611, R =  1.4001, succ =  0.2500, FPS = 21.09
07:24:16.924 [INFO] (trainer.py:174) Episode = 21, T_Steps = 6638, E_Steps = 644, R =  1.4111, succ =  0.3000, FPS =  8.51
07:25:07.252 [INFO] (trainer.py:174) Episode = 22, T_Steps = 7055, E_Steps = 417, R = -0.7362, succ =  0.3000, FPS =  8.29
07:26:19.330 [INFO] (trainer.py:174) Episode = 23, T_Steps = 7680, E_Steps = 625, R =  1.3997, succ =  0.3000, FPS =  8.67
07:27:29.958 [INFO] (trainer.py:174) Episode = 24, T_Steps = 8309, E_Steps = 629, R =  1.4001, succ =  0.3500, FPS =  8.91
07:28:18.171 [INFO] (trainer.py:174) Episode = 25, T_Steps = 8725, E_Steps = 416, R = -0.7378, succ =  0.3500, FPS =  8.63
07:29:03.500 [INFO] (trainer.py:174) Episode = 26, T_Steps = 9134, E_Steps = 409, R = -0.7402, succ =  0.3000, FPS =  9.02
07:30:00.654 [INFO] (trainer.py:174) Episode = 27, T_Steps = 9648, E_Steps = 514, R = -0.6746, succ =  0.3000, FPS =  8.99
07:31:08.443 [INFO] (trainer.py:174) Episode = 28, T_Steps = 10251, E_Steps = 603, R =  1.3852, succ =  0.3500, FPS =  8.90
07:31:51.582 [INFO] (trainer.py:174) Episode = 29, T_Steps = 10612, E_Steps = 361, R = -0.7691, succ =  0.3500, FPS =  8.37
07:31:56.623 [INFO] (trainer.py:174) Episode = 30, T_Steps = 10644, E_Steps = 32, R = -0.9787, succ =  0.3500, FPS =  6.35
07:32:28.846 [INFO] (trainer.py:174) Episode = 31, T_Steps = 10912, E_Steps = 268, R = -0.8297, succ =  0.3500, FPS =  8.32
07:32:35.507 [INFO] (trainer.py:174) Episode = 32, T_Steps = 10942, E_Steps = 30, R = -0.9814, succ =  0.3500, FPS =  4.50
07:33:20.018 [INFO] (trainer.py:174) Episode = 33, T_Steps = 11322, E_Steps = 380, R = -0.7590, succ =  0.3500, FPS =  8.54
07:33:28.507 [INFO] (trainer.py:174) Episode = 34, T_Steps = 11368, E_Steps = 46, R = -0.9704, succ =  0.3500, FPS =  5.42
07:34:36.497 [INFO] (trainer.py:174) Episode = 35, T_Steps = 11961, E_Steps = 593, R =  1.3773, succ =  0.4000, FPS =  8.72
07:34:43.378 [INFO] (trainer.py:174) Episode = 36, T_Steps = 11991, E_Steps = 30, R = -0.9816, succ =  0.4000, FPS =  4.36
07:36:01.891 [INFO] (trainer.py:174) Episode = 37, T_Steps = 12665, E_Steps = 674, R =  1.4292, succ =  0.4500, FPS =  8.58
07:37:27.099 [INFO] (trainer.py:174) Episode = 38, T_Steps = 13407, E_Steps = 742, R =  1.4801, succ =  0.4500, FPS =  8.71
07:38:40.475 [INFO] (trainer.py:174) Episode = 39, T_Steps = 14066, E_Steps = 659, R = -0.5743, succ =  0.4000, FPS =  8.98
07:39:58.971 [INFO] (trainer.py:174) Episode = 40, T_Steps = 14741, E_Steps = 675, R =  1.4323, succ =  0.4000, FPS =  8.60
07:41:01.056 [INFO] (trainer.py:174) Episode = 41, T_Steps = 15274, E_Steps = 533, R = -0.6609, succ =  0.3500, FPS =  8.59
07:41:55.746 [INFO] (trainer.py:174) Episode = 42, T_Steps = 15750, E_Steps = 476, R = -0.6966, succ =  0.3500, FPS =  8.71
