05:27:12.721 [INFO] (trainer.py:174) Episode = 1, T_Steps = 206, E_Steps = 206, R =  1.9391, succ =  0.0500, FPS = 25.35
05:27:17.424 [INFO] (trainer.py:174) Episode = 2, T_Steps = 424, E_Steps = 218, R =  1.8869, succ =  0.1000, FPS = 46.37
05:27:21.364 [INFO] (trainer.py:174) Episode = 3, T_Steps = 594, E_Steps = 170, R = -0.1848, succ =  0.1000, FPS = 43.15
05:27:22.848 [INFO] (trainer.py:174) Episode = 4, T_Steps = 624, E_Steps = 30, R = -0.8609, succ =  0.1000, FPS = 20.24
05:27:27.756 [INFO] (trainer.py:174) Episode = 5, T_Steps = 856, E_Steps = 232, R =  0.0230, succ =  0.1000, FPS = 47.28
05:27:31.772 [INFO] (trainer.py:174) Episode = 6, T_Steps = 1032, E_Steps = 176, R =  1.9899, succ =  0.1500, FPS = 43.84
05:27:33.176 [INFO] (trainer.py:174) Episode = 7, T_Steps = 1056, E_Steps = 24, R = -0.8423, succ =  0.1500, FPS = 17.11
05:27:37.736 [INFO] (trainer.py:174) Episode = 8, T_Steps = 1269, E_Steps = 213, R =  0.0404, succ =  0.1500, FPS = 46.71
05:27:42.034 [INFO] (trainer.py:174) Episode = 9, T_Steps = 1463, E_Steps = 194, R =  1.9441, succ =  0.2000, FPS = 45.16
05:27:44.030 [INFO] (trainer.py:174) Episode = 10, T_Steps = 1526, E_Steps = 63, R = -0.6752, succ =  0.2000, FPS = 31.58
05:27:48.235 [INFO] (trainer.py:174) Episode = 11, T_Steps = 1718, E_Steps = 192, R =  1.9150, succ =  0.2500, FPS = 45.67
05:27:49.699 [INFO] (trainer.py:174) Episode = 12, T_Steps = 1747, E_Steps = 29, R = -0.8598, succ =  0.2500, FPS = 19.82
05:27:51.234 [INFO] (trainer.py:174) Episode = 13, T_Steps = 1778, E_Steps = 31, R = -0.8123, succ =  0.2500, FPS = 20.21
05:27:55.836 [INFO] (trainer.py:174) Episode = 14, T_Steps = 1990, E_Steps = 212, R =  1.9473, succ =  0.3000, FPS = 46.08
05:28:00.353 [INFO] (trainer.py:174) Episode = 15, T_Steps = 2184, E_Steps = 194, R = -0.0078, succ =  0.3000, FPS = 42.96
05:28:04.799 [INFO] (trainer.py:174) Episode = 16, T_Steps = 2395, E_Steps = 211, R =  0.0120, succ =  0.3000, FPS = 47.48
05:28:09.479 [INFO] (trainer.py:174) Episode = 17, T_Steps = 2612, E_Steps = 217, R =  1.9327, succ =  0.3500, FPS = 46.37
05:28:15.257 [INFO] (trainer.py:174) Episode = 18, T_Steps = 2900, E_Steps = 288, R =  2.3746, succ =  0.4000, FPS = 49.85
05:28:16.616 [INFO] (trainer.py:174) Episode = 19, T_Steps = 2924, E_Steps = 24, R = -0.8422, succ =  0.4000, FPS = 17.68
05:28:21.235 [INFO] (trainer.py:174) Episode = 20, T_Steps = 3138, E_Steps = 214, R =  0.0120, succ =  0.4000, FPS = 46.34
05:28:25.465 [INFO] (trainer.py:174) Episode = 21, T_Steps = 3328, E_Steps = 190, R =  1.9621, succ =  0.4000, FPS = 44.92
05:28:29.927 [INFO] (trainer.py:174) Episode = 22, T_Steps = 3535, E_Steps = 207, R =  0.0312, succ =  0.3500, FPS = 46.40
05:28:34.096 [INFO] (trainer.py:174) Episode = 23, T_Steps = 3721, E_Steps = 186, R =  0.0364, succ =  0.3500, FPS = 44.63
05:28:38.569 [INFO] (trainer.py:174) Episode = 24, T_Steps = 3930, E_Steps = 209, R = -0.0007, succ =  0.3500, FPS = 46.74
05:28:43.246 [INFO] (trainer.py:174) Episode = 25, T_Steps = 4146, E_Steps = 216, R =  0.0072, succ =  0.3500, FPS = 46.21
05:28:47.987 [INFO] (trainer.py:174) Episode = 26, T_Steps = 4365, E_Steps = 219, R = -0.0272, succ =  0.3000, FPS = 46.21
05:28:52.266 [INFO] (trainer.py:174) Episode = 27, T_Steps = 4559, E_Steps = 194, R =  0.0637, succ =  0.3000, FPS = 45.35
05:28:56.353 [INFO] (trainer.py:174) Episode = 28, T_Steps = 4744, E_Steps = 185, R =  1.9606, succ =  0.3500, FPS = 45.28
05:29:01.013 [INFO] (trainer.py:174) Episode = 29, T_Steps = 4949, E_Steps = 205, R =  0.0786, succ =  0.3000, FPS = 44.00
05:29:05.203 [INFO] (trainer.py:174) Episode = 30, T_Steps = 5137, E_Steps = 188, R =  2.0173, succ =  0.3500, FPS = 44.88
05:29:09.616 [INFO] (trainer.py:174) Episode = 31, T_Steps = 5344, E_Steps = 207, R =  0.0803, succ =  0.3000, FPS = 46.92
05:29:11.059 [INFO] (trainer.py:174) Episode = 32, T_Steps = 5377, E_Steps = 33, R = -0.8097, succ =  0.3000, FPS = 22.88
05:29:15.622 [INFO] (trainer.py:174) Episode = 33, T_Steps = 5587, E_Steps = 210, R =  1.9149, succ =  0.3500, FPS = 46.04
05:29:20.055 [INFO] (trainer.py:174) Episode = 34, T_Steps = 5793, E_Steps = 206, R =  0.0239, succ =  0.3000, FPS = 46.48
05:29:24.095 [INFO] (trainer.py:174) Episode = 35, T_Steps = 5976, E_Steps = 183, R =  1.9511, succ =  0.3500, FPS = 45.32
05:29:39.677 [INFO] (trainer.py:174) Episode = 36, T_Steps = 6171, E_Steps = 195, R =  2.0050, succ =  0.4000, FPS = 12.52
05:29:44.470 [INFO] (trainer.py:174) Episode = 37, T_Steps = 6228, E_Steps = 57, R = -0.6881, succ =  0.3500, FPS = 11.90
05:29:51.773 [INFO] (trainer.py:174) Episode = 38, T_Steps = 6322, E_Steps = 94, R = -0.4879, succ =  0.3000, FPS = 12.87
05:30:04.538 [INFO] (trainer.py:174) Episode = 39, T_Steps = 6499, E_Steps = 177, R =  1.9780, succ =  0.3500, FPS = 13.87
05:30:12.580 [INFO] (trainer.py:174) Episode = 40, T_Steps = 6606, E_Steps = 107, R = -0.4932, succ =  0.3500, FPS = 13.31
05:30:15.545 [INFO] (trainer.py:174) Episode = 41, T_Steps = 6637, E_Steps = 31, R = -0.8625, succ =  0.3000, FPS = 10.46
05:30:28.365 [INFO] (trainer.py:174) Episode = 42, T_Steps = 6818, E_Steps = 181, R =  1.9268, succ =  0.3500, FPS = 14.12
05:30:41.295 [INFO] (trainer.py:174) Episode = 43, T_Steps = 7001, E_Steps = 183, R =  1.9672, succ =  0.4000, FPS = 14.15
05:30:54.287 [INFO] (trainer.py:174) Episode = 44, T_Steps = 7184, E_Steps = 183, R =  1.9902, succ =  0.4500, FPS = 14.09
05:31:07.013 [INFO] (trainer.py:174) Episode = 45, T_Steps = 7364, E_Steps = 180, R =  1.9775, succ =  0.5000, FPS = 14.15
05:31:19.274 [INFO] (trainer.py:174) Episode = 46, T_Steps = 7536, E_Steps = 172, R =  1.9596, succ =  0.5500, FPS = 14.03
05:31:31.152 [INFO] (trainer.py:174) Episode = 47, T_Steps = 7702, E_Steps = 166, R =  1.9386, succ =  0.6000, FPS = 13.98
05:31:43.626 [INFO] (trainer.py:174) Episode = 48, T_Steps = 7877, E_Steps = 175, R =  1.9335, succ =  0.6000, FPS = 14.03
05:31:56.154 [INFO] (trainer.py:174) Episode = 49, T_Steps = 8054, E_Steps = 177, R =  1.9210, succ =  0.6500, FPS = 14.13
05:31:59.467 [INFO] (trainer.py:174) Episode = 50, T_Steps = 8086, E_Steps = 32, R = -0.8679, succ =  0.6000, FPS =  9.66
05:32:12.065 [INFO] (trainer.py:174) Episode = 51, T_Steps = 8261, E_Steps = 175, R =  1.9405, succ =  0.6500, FPS = 13.89
05:32:24.644 [INFO] (trainer.py:174) Episode = 52, T_Steps = 8436, E_Steps = 175, R =  1.9515, succ =  0.7000, FPS = 13.91
05:32:37.158 [INFO] (trainer.py:174) Episode = 53, T_Steps = 8609, E_Steps = 173, R =  1.8668, succ =  0.7000, FPS = 13.83
05:32:49.845 [INFO] (trainer.py:174) Episode = 54, T_Steps = 8785, E_Steps = 176, R =  1.9461, succ =  0.7500, FPS = 13.87
05:33:02.719 [INFO] (trainer.py:174) Episode = 55, T_Steps = 8964, E_Steps = 179, R =  1.8529, succ =  0.7500, FPS = 13.91
05:33:14.636 [INFO] (trainer.py:174) Episode = 56, T_Steps = 9128, E_Steps = 164, R =  1.9062, succ =  0.7500, FPS = 13.76
05:33:26.409 [INFO] (trainer.py:174) Episode = 57, T_Steps = 9290, E_Steps = 162, R =  1.8760, succ =  0.8000, FPS = 13.76
05:33:38.342 [INFO] (trainer.py:174) Episode = 58, T_Steps = 9455, E_Steps = 165, R =  1.8838, succ =  0.8500, FPS = 13.83
05:33:50.295 [INFO] (trainer.py:174) Episode = 59, T_Steps = 9621, E_Steps = 166, R =  1.8900, succ =  0.8500, FPS = 13.89
05:34:01.931 [INFO] (trainer.py:174) Episode = 60, T_Steps = 9783, E_Steps = 162, R =  1.8803, succ =  0.9000, FPS = 13.92
05:34:11.438 [INFO] (trainer.py:174) Episode = 61, T_Steps = 9912, E_Steps = 129, R = -0.3438, succ =  0.9000, FPS = 13.57
05:34:22.895 [INFO] (trainer.py:174) Episode = 62, T_Steps = 10072, E_Steps = 160, R =  1.9227, succ =  0.9000, FPS = 13.97
05:34:37.705 [INFO] (trainer.py:174) Episode = 63, T_Steps = 10282, E_Steps = 210, R =  1.8194, succ =  0.9000, FPS = 14.18
05:34:40.946 [INFO] (trainer.py:174) Episode = 64, T_Steps = 10316, E_Steps = 34, R = -0.8564, succ =  0.8500, FPS = 10.49
05:34:52.312 [INFO] (trainer.py:174) Episode = 65, T_Steps = 10474, E_Steps = 158, R =  1.8308, succ =  0.8500, FPS = 13.90
05:35:03.414 [INFO] (trainer.py:174) Episode = 66, T_Steps = 10628, E_Steps = 154, R =  1.8106, succ =  0.8500, FPS = 13.87
05:35:14.667 [INFO] (trainer.py:174) Episode = 67, T_Steps = 10779, E_Steps = 151, R =  1.8246, succ =  0.8500, FPS = 13.42
05:35:28.435 [INFO] (trainer.py:174) Episode = 68, T_Steps = 10971, E_Steps = 192, R =  1.9174, succ =  0.8500, FPS = 13.95
05:35:41.323 [INFO] (trainer.py:174) Episode = 69, T_Steps = 11151, E_Steps = 180, R =  1.9109, succ =  0.8500, FPS = 13.97
05:35:53.112 [INFO] (trainer.py:174) Episode = 70, T_Steps = 11313, E_Steps = 162, R =  1.9094, succ =  0.9000, FPS = 13.74
05:36:01.614 [INFO] (trainer.py:174) Episode = 71, T_Steps = 11426, E_Steps = 113, R = -0.4469, succ =  0.8500, FPS = 13.29
05:36:13.994 [INFO] (trainer.py:174) Episode = 72, T_Steps = 11598, E_Steps = 172, R =  1.9076, succ =  0.8500, FPS = 13.90
05:36:28.885 [INFO] (trainer.py:174) Episode = 73, T_Steps = 11810, E_Steps = 212, R = -0.0410, succ =  0.8000, FPS = 14.24
05:36:40.212 [INFO] (trainer.py:174) Episode = 74, T_Steps = 11967, E_Steps = 157, R =  1.8384, succ =  0.8000, FPS = 13.86
05:36:52.836 [INFO] (trainer.py:174) Episode = 75, T_Steps = 12145, E_Steps = 178, R = -0.0419, succ =  0.7500, FPS = 14.10
05:37:08.006 [INFO] (trainer.py:174) Episode = 76, T_Steps = 12362, E_Steps = 217, R = -0.0365, succ =  0.7000, FPS = 14.31
05:37:19.331 [INFO] (trainer.py:174) Episode = 77, T_Steps = 12518, E_Steps = 156, R =  1.8436, succ =  0.7000, FPS = 13.78
05:37:33.051 [INFO] (trainer.py:174) Episode = 78, T_Steps = 12714, E_Steps = 196, R =  0.0268, succ =  0.6500, FPS = 14.29
05:37:43.447 [INFO] (trainer.py:174) Episode = 79, T_Steps = 12858, E_Steps = 144, R =  1.8192, succ =  0.6500, FPS = 13.85
05:37:55.136 [INFO] (trainer.py:174) Episode = 80, T_Steps = 13022, E_Steps = 164, R =  1.9052, succ =  0.6500, FPS = 14.03
05:38:05.529 [INFO] (trainer.py:174) Episode = 81, T_Steps = 13163, E_Steps = 141, R = -0.2647, succ =  0.6500, FPS = 13.57
05:38:16.924 [INFO] (trainer.py:174) Episode = 82, T_Steps = 13319, E_Steps = 156, R =  1.8824, succ =  0.6500, FPS = 13.69
05:38:28.787 [INFO] (trainer.py:174) Episode = 83, T_Steps = 13484, E_Steps = 165, R =  1.9024, succ =  0.6500, FPS = 13.91
05:38:39.252 [INFO] (trainer.py:174) Episode = 84, T_Steps = 13628, E_Steps = 144, R = -0.2355, succ =  0.6500, FPS = 13.76
05:38:47.121 [INFO] (trainer.py:174) Episode = 85, T_Steps = 13732, E_Steps = 104, R = -0.5193, succ =  0.6000, FPS = 13.22
05:38:58.588 [INFO] (trainer.py:174) Episode = 86, T_Steps = 13891, E_Steps = 159, R =  1.8625, succ =  0.6000, FPS = 13.87
05:39:15.785 [INFO] (trainer.py:174) Episode = 87, T_Steps = 14140, E_Steps = 249, R =  2.2754, succ =  0.6000, FPS = 14.48
05:39:27.089 [INFO] (trainer.py:174) Episode = 88, T_Steps = 14296, E_Steps = 156, R =  1.7803, succ =  0.6000, FPS = 13.80
05:39:30.529 [INFO] (trainer.py:174) Episode = 89, T_Steps = 14333, E_Steps = 37, R = -0.8473, succ =  0.5500, FPS = 10.76
05:39:42.602 [INFO] (trainer.py:174) Episode = 90, T_Steps = 14502, E_Steps = 169, R =  1.9312, succ =  0.5500, FPS = 14.00
05:39:57.500 [INFO] (trainer.py:174) Episode = 91, T_Steps = 14715, E_Steps = 213, R =  0.0303, succ =  0.5500, FPS = 14.30
05:40:07.828 [INFO] (trainer.py:174) Episode = 92, T_Steps = 14859, E_Steps = 144, R =  1.7841, succ =  0.5500, FPS = 13.94
05:40:18.217 [INFO] (trainer.py:174) Episode = 93, T_Steps = 15004, E_Steps = 145, R =  1.8533, succ =  0.6000, FPS = 13.96
05:40:28.808 [INFO] (trainer.py:174) Episode = 94, T_Steps = 15150, E_Steps = 146, R = -0.2731, succ =  0.5500, FPS = 13.79
05:40:42.153 [INFO] (trainer.py:174) Episode = 95, T_Steps = 15339, E_Steps = 189, R =  1.8965, succ =  0.6000, FPS = 14.16
05:40:52.400 [INFO] (trainer.py:174) Episode = 96, T_Steps = 15481, E_Steps = 142, R =  1.8387, succ =  0.6500, FPS = 13.86
05:41:04.048 [INFO] (trainer.py:174) Episode = 97, T_Steps = 15645, E_Steps = 164, R =  1.9025, succ =  0.6500, FPS = 14.08
05:41:15.869 [INFO] (trainer.py:174) Episode = 98, T_Steps = 15811, E_Steps = 166, R =  1.8782, succ =  0.7000, FPS = 14.04
05:41:26.903 [INFO] (trainer.py:174) Episode = 99, T_Steps = 15961, E_Steps = 150, R =  1.8891, succ =  0.7000, FPS = 13.60
05:41:38.273 [INFO] (trainer.py:174) Episode = 100, T_Steps = 16119, E_Steps = 158, R =  1.8630, succ =  0.7000, FPS = 13.90
05:41:49.108 [INFO] (trainer.py:174) Episode = 101, T_Steps = 16270, E_Steps = 151, R =  1.8365, succ =  0.7500, FPS = 13.94
05:42:01.174 [INFO] (trainer.py:174) Episode = 102, T_Steps = 16438, E_Steps = 168, R =  1.8753, succ =  0.7500, FPS = 13.93
05:42:13.734 [INFO] (trainer.py:174) Episode = 103, T_Steps = 16614, E_Steps = 176, R =  1.9611, succ =  0.7500, FPS = 14.01
05:42:25.501 [INFO] (trainer.py:174) Episode = 104, T_Steps = 16778, E_Steps = 164, R =  1.8846, succ =  0.8000, FPS = 13.94
