16:31:31.799 [INFO] (trainer.py:174) Episode = 1, T_Steps = 97, E_Steps = 97, R = -0.9352, succ =  0.0000, FPS =  8.15
16:31:53.508 [INFO] (trainer.py:174) Episode = 2, T_Steps = 524, E_Steps = 427, R = -0.7255, succ =  0.0000, FPS = 19.68
16:31:59.795 [INFO] (trainer.py:174) Episode = 3, T_Steps = 600, E_Steps = 76, R = -0.9479, succ =  0.0000, FPS = 12.10
16:32:06.512 [INFO] (trainer.py:174) Episode = 4, T_Steps = 686, E_Steps = 86, R = -0.9427, succ =  0.0000, FPS = 12.80
16:32:27.938 [INFO] (trainer.py:174) Episode = 5, T_Steps = 1115, E_Steps = 429, R = -0.7235, succ =  0.0000, FPS = 20.02
16:32:47.292 [INFO] (trainer.py:174) Episode = 6, T_Steps = 1522, E_Steps = 407, R = -0.7381, succ =  0.0000, FPS = 21.03
16:32:59.930 [INFO] (trainer.py:174) Episode = 7, T_Steps = 1746, E_Steps = 224, R = -0.8527, succ =  0.0000, FPS = 17.74
16:33:27.438 [INFO] (trainer.py:174) Episode = 8, T_Steps = 2345, E_Steps = 599, R =  1.3944, succ =  0.0500, FPS = 21.78
16:33:39.229 [INFO] (trainer.py:174) Episode = 9, T_Steps = 2554, E_Steps = 209, R = -0.8638, succ =  0.0500, FPS = 17.73
16:33:53.797 [INFO] (trainer.py:174) Episode = 10, T_Steps = 2805, E_Steps = 251, R = -0.8350, succ =  0.0500, FPS = 17.23
16:34:02.045 [INFO] (trainer.py:174) Episode = 11, T_Steps = 2940, E_Steps = 135, R = -0.9126, succ =  0.0500, FPS = 16.37
16:34:07.829 [INFO] (trainer.py:174) Episode = 12, T_Steps = 3015, E_Steps = 75, R = -0.9506, succ =  0.0500, FPS = 12.97
16:34:25.475 [INFO] (trainer.py:174) Episode = 13, T_Steps = 3365, E_Steps = 350, R = -0.7702, succ =  0.0500, FPS = 19.84
16:34:40.688 [INFO] (trainer.py:174) Episode = 14, T_Steps = 3643, E_Steps = 278, R = -0.8192, succ =  0.0500, FPS = 18.28
16:34:57.243 [INFO] (trainer.py:174) Episode = 15, T_Steps = 3967, E_Steps = 324, R = -0.7935, succ =  0.0500, FPS = 19.57
16:35:00.388 [INFO] (trainer.py:174) Episode = 16, T_Steps = 3994, E_Steps = 27, R = -0.9823, succ =  0.0500, FPS =  8.59
16:35:05.454 [INFO] (trainer.py:174) Episode = 17, T_Steps = 4021, E_Steps = 27, R = -0.9830, succ =  0.0500, FPS =  5.33
16:35:27.850 [INFO] (trainer.py:174) Episode = 18, T_Steps = 4462, E_Steps = 441, R = -0.7173, succ =  0.0500, FPS = 19.69
16:35:42.223 [INFO] (trainer.py:174) Episode = 19, T_Steps = 4762, E_Steps = 300, R = -0.8080, succ =  0.0500, FPS = 20.87
16:36:12.034 [INFO] (trainer.py:174) Episode = 20, T_Steps = 5365, E_Steps = 603, R =  1.3929, succ =  0.1000, FPS = 20.23
16:36:31.670 [INFO] (trainer.py:174) Episode = 21, T_Steps = 5786, E_Steps = 421, R = -0.7206, succ =  0.1000, FPS = 21.45
16:36:38.513 [INFO] (trainer.py:174) Episode = 22, T_Steps = 5872, E_Steps = 86, R = -0.9447, succ =  0.1000, FPS = 12.57
16:36:42.415 [INFO] (trainer.py:174) Episode = 23, T_Steps = 5899, E_Steps = 27, R = -0.9831, succ =  0.1000, FPS =  6.92
16:37:21.984 [INFO] (trainer.py:174) Episode = 24, T_Steps = 6277, E_Steps = 378, R = -0.7568, succ =  0.1000, FPS =  9.55
16:38:09.181 [INFO] (trainer.py:174) Episode = 25, T_Steps = 6680, E_Steps = 403, R = -0.7373, succ =  0.1000, FPS =  8.54
16:39:02.251 [INFO] (trainer.py:174) Episode = 26, T_Steps = 7121, E_Steps = 441, R = -0.7193, succ =  0.1000, FPS =  8.31
16:39:07.761 [INFO] (trainer.py:174) Episode = 27, T_Steps = 7153, E_Steps = 32, R = -0.9800, succ =  0.1000, FPS =  5.82
16:39:13.705 [INFO] (trainer.py:174) Episode = 28, T_Steps = 7185, E_Steps = 32, R = -0.9805, succ =  0.0500, FPS =  5.39
16:39:45.936 [INFO] (trainer.py:174) Episode = 29, T_Steps = 7439, E_Steps = 254, R = -0.8371, succ =  0.0500, FPS =  7.88
16:40:21.604 [INFO] (trainer.py:174) Episode = 30, T_Steps = 7738, E_Steps = 299, R = -0.8084, succ =  0.0500, FPS =  8.38
16:41:07.461 [INFO] (trainer.py:174) Episode = 31, T_Steps = 8111, E_Steps = 373, R = -0.7583, succ =  0.0500, FPS =  8.13
16:42:05.038 [INFO] (trainer.py:174) Episode = 32, T_Steps = 8598, E_Steps = 487, R = -0.6850, succ =  0.0500, FPS =  8.46
16:43:26.312 [INFO] (trainer.py:174) Episode = 33, T_Steps = 9293, E_Steps = 695, R =  1.4483, succ =  0.1000, FPS =  8.55
16:43:34.194 [INFO] (trainer.py:174) Episode = 34, T_Steps = 9334, E_Steps = 41, R = -0.9740, succ =  0.1000, FPS =  5.20
16:44:31.318 [INFO] (trainer.py:174) Episode = 35, T_Steps = 9829, E_Steps = 495, R = -0.6846, succ =  0.1000, FPS =  8.67
16:45:51.730 [INFO] (trainer.py:174) Episode = 36, T_Steps = 10528, E_Steps = 699, R =  1.4486, succ =  0.1500, FPS =  8.69
16:47:16.400 [INFO] (trainer.py:174) Episode = 37, T_Steps = 11258, E_Steps = 730, R =  1.4718, succ =  0.2000, FPS =  8.62
16:48:31.818 [INFO] (trainer.py:174) Episode = 38, T_Steps = 11913, E_Steps = 655, R =  1.4262, succ =  0.2500, FPS =  8.69
16:49:45.475 [INFO] (trainer.py:174) Episode = 39, T_Steps = 12548, E_Steps = 635, R =  1.4060, succ =  0.3000, FPS =  8.62
16:50:34.813 [INFO] (trainer.py:174) Episode = 40, T_Steps = 12951, E_Steps = 403, R = -0.7430, succ =  0.2500, FPS =  8.17
16:50:41.536 [INFO] (trainer.py:174) Episode = 41, T_Steps = 12986, E_Steps = 35, R = -0.9782, succ =  0.2500, FPS =  5.21
16:51:57.742 [INFO] (trainer.py:174) Episode = 42, T_Steps = 13667, E_Steps = 681, R =  1.4377, succ =  0.3000, FPS =  8.94
16:52:35.205 [INFO] (trainer.py:174) Episode = 43, T_Steps = 13978, E_Steps = 311, R = -0.8014, succ =  0.3000, FPS =  8.30
16:53:23.922 [INFO] (trainer.py:174) Episode = 44, T_Steps = 14382, E_Steps = 404, R = -0.7420, succ =  0.3000, FPS =  8.29
16:54:18.367 [INFO] (trainer.py:174) Episode = 45, T_Steps = 14861, E_Steps = 479, R = -0.6950, succ =  0.3000, FPS =  8.80
16:55:11.293 [INFO] (trainer.py:174) Episode = 46, T_Steps = 15316, E_Steps = 455, R = -0.7111, succ =  0.3000, FPS =  8.60
16:56:02.786 [INFO] (trainer.py:174) Episode = 47, T_Steps = 15760, E_Steps = 444, R = -0.7167, succ =  0.3000, FPS =  8.62
16:57:00.265 [INFO] (trainer.py:174) Episode = 48, T_Steps = 16241, E_Steps = 481, R = -0.6956, succ =  0.3000, FPS =  8.37
16:57:48.845 [INFO] (trainer.py:174) Episode = 49, T_Steps = 16665, E_Steps = 424, R = -0.7324, succ =  0.3000, FPS =  8.73
16:59:10.659 [INFO] (trainer.py:174) Episode = 50, T_Steps = 17368, E_Steps = 703, R =  1.4551, succ =  0.3500, FPS =  8.59
17:00:31.067 [INFO] (trainer.py:174) Episode = 51, T_Steps = 18079, E_Steps = 711, R =  1.4556, succ =  0.4000, FPS =  8.84
17:01:50.792 [INFO] (trainer.py:174) Episode = 52, T_Steps = 18774, E_Steps = 695, R =  1.4428, succ =  0.4500, FPS =  8.72
17:02:51.275 [INFO] (trainer.py:174) Episode = 53, T_Steps = 19296, E_Steps = 522, R = -0.6657, succ =  0.4000, FPS =  8.63
17:03:00.862 [INFO] (trainer.py:174) Episode = 54, T_Steps = 19356, E_Steps = 60, R = -0.9591, succ =  0.4000, FPS =  6.27
17:04:31.109 [INFO] (trainer.py:174) Episode = 55, T_Steps = 20140, E_Steps = 784, R =  1.5185, succ =  0.4500, FPS =  8.69
17:05:52.007 [INFO] (trainer.py:174) Episode = 56, T_Steps = 20842, E_Steps = 702, R =  1.4522, succ =  0.4500, FPS =  8.68
17:07:15.973 [INFO] (trainer.py:174) Episode = 57, T_Steps = 21564, E_Steps = 722, R =  1.4685, succ =  0.4500, FPS =  8.60
17:08:43.691 [INFO] (trainer.py:174) Episode = 58, T_Steps = 22334, E_Steps = 770, R =  1.5057, succ =  0.4500, FPS =  8.78
17:10:10.184 [INFO] (trainer.py:174) Episode = 59, T_Steps = 23076, E_Steps = 742, R =  1.4804, succ =  0.4500, FPS =  8.58
17:11:40.832 [INFO] (trainer.py:174) Episode = 60, T_Steps = 23867, E_Steps = 791, R =  1.5189, succ =  0.5000, FPS =  8.73
17:13:10.481 [INFO] (trainer.py:174) Episode = 61, T_Steps = 24637, E_Steps = 770, R =  1.4990, succ =  0.5500, FPS =  8.59
17:14:33.758 [INFO] (trainer.py:174) Episode = 62, T_Steps = 25407, E_Steps = 770, R =  1.5027, succ =  0.5500, FPS =  9.25
