episode,step,episodic_reward,success_rate,episodic_length
0,5,-1,0.0,5
0,10,-1,0.0,10
0,15,-1,0.0,15
0,20,-1,0.0,20
0,25,-1,0.0,25
0,30,-1,0.0,30
0,35,-1,0.0,35
0,40,-1,0.0,40
0,45,-1,0.0,45
0,50,-1,0.0,50
0,55,-1,0.0,55
0,60,-1,0.0,60
0,65,-1,0.0,65
0,70,-1,0.0,70
0,75,-1,0.0,75
0,80,-1,0.0,80
0,85,-1,0.0,85
0,90,-1,0.0,90
0,95,-1,0.0,95
0,100,-1,0.0,100
0,105,-1,0.0,105
0,110,-1,0.0,110
0,115,-1,0.0,115
0,120,-1,0.0,120
0,125,-1,0.0,125
0,130,-1,0.0,130
0,135,-1,0.0,135
0,140,-1,0.0,140
0,145,-1,0.0,145
0,150,-1,0.0,150
0,155,-1,0.0,155
0,160,-1,0.0,160
0,165,-1,0.0,165
0,170,-1,0.0,170
0,175,-1,0.0,175
1,180,"tf.Tensor(1.9682944, shape=(), dtype=float32)",0.05,3
1,185,"tf.Tensor(1.9682944, shape=(), dtype=float32)",0.05,8
1,190,"tf.Tensor(1.9682944, shape=(), dtype=float32)",0.05,13
1,195,"tf.Tensor(1.9682944, shape=(), dtype=float32)",0.05,18
1,200,"tf.Tensor(1.9682944, shape=(), dtype=float32)",0.05,23
2,205,"tf.Tensor(-0.8422791, shape=(), dtype=float32)",0.05,5
2,210,"tf.Tensor(-0.8422791, shape=(), dtype=float32)",0.05,10
2,215,"tf.Tensor(-0.8422791, shape=(), dtype=float32)",0.05,15
2,220,"tf.Tensor(-0.8422791, shape=(), dtype=float32)",0.05,20
2,225,"tf.Tensor(-0.8422791, shape=(), dtype=float32)",0.05,25
2,230,"tf.Tensor(-0.8422791, shape=(), dtype=float32)",0.05,30
2,235,"tf.Tensor(-0.8422791, shape=(), dtype=float32)",0.05,35
2,240,"tf.Tensor(-0.8422791, shape=(), dtype=float32)",0.05,40
2,245,"tf.Tensor(-0.8422791, shape=(), dtype=float32)",0.05,45
2,250,"tf.Tensor(-0.8422791, shape=(), dtype=float32)",0.05,50
