07:57:05.526 [INFO] (trainer.py:175) Episode = 1, T_Steps = 177, E_Steps = 177, R =  1.9683, succ =  0.0500, FPS = 14.46
07:57:07.553 [INFO] (trainer.py:175) Episode = 2, T_Steps = 200, E_Steps = 23, R = -0.8423, succ =  0.0500, FPS = 11.36
07:57:15.372 [INFO] (trainer.py:175) Episode = 3, T_Steps = 412, E_Steps = 212, R =  0.0207, succ =  0.0500, FPS = 27.12
07:57:17.306 [INFO] (trainer.py:175) Episode = 4, T_Steps = 434, E_Steps = 22, R = -0.8480, succ =  0.0500, FPS = 11.38
07:57:21.006 [INFO] (trainer.py:175) Episode = 5, T_Steps = 516, E_Steps = 82, R = -0.7466, succ =  0.0500, FPS = 22.17
07:57:23.380 [INFO] (trainer.py:175) Episode = 6, T_Steps = 552, E_Steps = 36, R = -0.7864, succ =  0.0500, FPS = 15.18
07:57:26.534 [INFO] (trainer.py:175) Episode = 7, T_Steps = 612, E_Steps = 60, R = -0.7499, succ =  0.0500, FPS = 19.03
07:57:33.814 [INFO] (trainer.py:175) Episode = 8, T_Steps = 798, E_Steps = 186, R =  1.9270, succ =  0.1000, FPS = 25.55
07:57:41.549 [INFO] (trainer.py:175) Episode = 9, T_Steps = 1008, E_Steps = 210, R = -0.0306, succ =  0.1000, FPS = 27.16
07:57:49.219 [INFO] (trainer.py:175) Episode = 10, T_Steps = 1220, E_Steps = 212, R =  0.0813, succ =  0.1000, FPS = 27.64
07:57:56.387 [INFO] (trainer.py:175) Episode = 11, T_Steps = 1406, E_Steps = 186, R =  1.9816, succ =  0.1500, FPS = 25.96
07:58:04.493 [INFO] (trainer.py:175) Episode = 12, T_Steps = 1611, E_Steps = 205, R =  1.9285, succ =  0.2000, FPS = 25.29
07:58:06.765 [INFO] (trainer.py:175) Episode = 13, T_Steps = 1643, E_Steps = 32, R = -0.7984, succ =  0.2000, FPS = 14.09
07:58:14.383 [INFO] (trainer.py:175) Episode = 14, T_Steps = 1848, E_Steps = 205, R =  1.9377, succ =  0.2500, FPS = 26.92
07:58:22.044 [INFO] (trainer.py:175) Episode = 15, T_Steps = 2058, E_Steps = 210, R =  2.0072, succ =  0.3000, FPS = 27.41
07:58:29.718 [INFO] (trainer.py:175) Episode = 16, T_Steps = 2271, E_Steps = 213, R =  1.9366, succ =  0.3500, FPS = 27.76
07:58:37.061 [INFO] (trainer.py:175) Episode = 17, T_Steps = 2465, E_Steps = 194, R =  0.0386, succ =  0.3500, FPS = 26.42
07:58:38.986 [INFO] (trainer.py:175) Episode = 18, T_Steps = 2491, E_Steps = 26, R = -0.8521, succ =  0.3500, FPS = 13.52
07:58:46.134 [INFO] (trainer.py:175) Episode = 19, T_Steps = 2690, E_Steps = 199, R =  1.9413, succ =  0.4000, FPS = 27.85
07:58:53.830 [INFO] (trainer.py:175) Episode = 20, T_Steps = 2892, E_Steps = 202, R =  0.0347, succ =  0.4000, FPS = 26.25
07:59:01.608 [INFO] (trainer.py:175) Episode = 21, T_Steps = 3101, E_Steps = 209, R =  0.0461, succ =  0.3500, FPS = 26.88
07:59:09.446 [INFO] (trainer.py:175) Episode = 22, T_Steps = 3310, E_Steps = 209, R =  0.0160, succ =  0.3500, FPS = 26.67
