15:08:44.086 [INFO] (trainer.py:175) Episode = 1, T_Steps = 162, E_Steps = 162, R = -0.1118, succ =  0.0000, FPS = 20.48
15:08:45.776 [INFO] (trainer.py:175) Episode = 2, T_Steps = 236, E_Steps = 74, R = -0.6884, succ =  0.0000, FPS = 43.82
15:08:47.059 [INFO] (trainer.py:175) Episode = 3, T_Steps = 301, E_Steps = 65, R = -0.6594, succ =  0.0000, FPS = 50.72
15:08:48.455 [INFO] (trainer.py:175) Episode = 4, T_Steps = 374, E_Steps = 73, R = -0.6689, succ =  0.0000, FPS = 52.32
15:08:49.910 [INFO] (trainer.py:175) Episode = 5, T_Steps = 439, E_Steps = 65, R = -0.5983, succ =  0.0000, FPS = 44.72
15:08:51.804 [INFO] (trainer.py:175) Episode = 6, T_Steps = 519, E_Steps = 80, R = -0.6929, succ =  0.0000, FPS = 42.27
15:08:55.229 [INFO] (trainer.py:175) Episode = 7, T_Steps = 684, E_Steps = 165, R = -0.1106, succ =  0.0000, FPS = 48.19
15:08:59.234 [INFO] (trainer.py:175) Episode = 8, T_Steps = 866, E_Steps = 182, R = -0.1291, succ =  0.0000, FPS = 45.46
15:09:03.703 [INFO] (trainer.py:175) Episode = 9, T_Steps = 1060, E_Steps = 194, R = -0.2191, succ =  0.0000, FPS = 43.42
15:09:08.592 [INFO] (trainer.py:175) Episode = 10, T_Steps = 1266, E_Steps = 206, R = -0.1831, succ =  0.0000, FPS = 42.15
15:09:09.756 [INFO] (trainer.py:175) Episode = 11, T_Steps = 1325, E_Steps = 59, R = -0.7761, succ =  0.0000, FPS = 50.75
15:09:13.357 [INFO] (trainer.py:175) Episode = 12, T_Steps = 1488, E_Steps = 163, R = -0.1118, succ =  0.0000, FPS = 45.29
15:09:17.426 [INFO] (trainer.py:175) Episode = 13, T_Steps = 1662, E_Steps = 174, R = -0.1468, succ =  0.0000, FPS = 42.77
15:09:21.607 [INFO] (trainer.py:175) Episode = 14, T_Steps = 1856, E_Steps = 194, R = -0.1527, succ =  0.0000, FPS = 46.42
15:09:25.607 [INFO] (trainer.py:175) Episode = 15, T_Steps = 2025, E_Steps = 169, R = -0.1059, succ =  0.0000, FPS = 42.26
15:09:29.681 [INFO] (trainer.py:175) Episode = 16, T_Steps = 2204, E_Steps = 179, R = -0.2056, succ =  0.0000, FPS = 43.95
15:09:33.756 [INFO] (trainer.py:175) Episode = 17, T_Steps = 2382, E_Steps = 178, R = -0.1599, succ =  0.0000, FPS = 43.70
15:09:37.495 [INFO] (trainer.py:175) Episode = 18, T_Steps = 2548, E_Steps = 166, R = -0.1209, succ =  0.0000, FPS = 44.41
15:09:41.374 [INFO] (trainer.py:175) Episode = 19, T_Steps = 2724, E_Steps = 176, R = -0.1200, succ =  0.0000, FPS = 45.39
15:09:45.828 [INFO] (trainer.py:175) Episode = 20, T_Steps = 2912, E_Steps = 188, R = -0.1597, succ =  0.0000, FPS = 42.22
15:09:47.680 [INFO] (trainer.py:175) Episode = 21, T_Steps = 2992, E_Steps = 80, R = -0.6670, succ =  0.0000, FPS = 43.22
15:09:52.135 [INFO] (trainer.py:175) Episode = 22, T_Steps = 3174, E_Steps = 182, R = -0.1481, succ =  0.0000, FPS = 40.86
15:09:53.200 [INFO] (trainer.py:175) Episode = 23, T_Steps = 3220, E_Steps = 46, R = -0.7193, succ =  0.0000, FPS = 43.27
15:09:57.240 [INFO] (trainer.py:175) Episode = 24, T_Steps = 3393, E_Steps = 173, R = -0.1263, succ =  0.0000, FPS = 42.84
15:10:02.050 [INFO] (trainer.py:175) Episode = 25, T_Steps = 3591, E_Steps = 198, R = -0.1662, succ =  0.0000, FPS = 41.18
15:10:06.205 [INFO] (trainer.py:175) Episode = 26, T_Steps = 3772, E_Steps = 181, R = -0.1096, succ =  0.0000, FPS = 43.58
15:10:10.056 [INFO] (trainer.py:175) Episode = 27, T_Steps = 3937, E_Steps = 165, R = -0.1310, succ =  0.0000, FPS = 42.86
15:10:13.878 [INFO] (trainer.py:175) Episode = 28, T_Steps = 4100, E_Steps = 163, R = -0.1013, succ =  0.0000, FPS = 42.66
15:10:18.270 [INFO] (trainer.py:175) Episode = 29, T_Steps = 4288, E_Steps = 188, R = -0.1811, succ =  0.0000, FPS = 42.82
15:10:22.333 [INFO] (trainer.py:175) Episode = 30, T_Steps = 4468, E_Steps = 180, R =  1.8405, succ =  0.0500, FPS = 44.32
15:10:26.197 [INFO] (trainer.py:175) Episode = 31, T_Steps = 4640, E_Steps = 172, R = -0.1345, succ =  0.0500, FPS = 44.53
15:10:30.554 [INFO] (trainer.py:175) Episode = 32, T_Steps = 4821, E_Steps = 181, R = -0.1076, succ =  0.0500, FPS = 41.56
15:10:35.061 [INFO] (trainer.py:175) Episode = 33, T_Steps = 5009, E_Steps = 188, R = -0.1873, succ =  0.0500, FPS = 41.72
15:10:38.945 [INFO] (trainer.py:175) Episode = 34, T_Steps = 5174, E_Steps = 165, R = -0.1055, succ =  0.0500, FPS = 42.50
15:10:40.365 [INFO] (trainer.py:175) Episode = 35, T_Steps = 5237, E_Steps = 63, R = -0.6477, succ =  0.0500, FPS = 44.41
15:10:44.373 [INFO] (trainer.py:175) Episode = 36, T_Steps = 5412, E_Steps = 175, R = -0.1427, succ =  0.0500, FPS = 43.67
15:10:45.593 [INFO] (trainer.py:175) Episode = 37, T_Steps = 5465, E_Steps = 53, R = -0.7486, succ =  0.0500, FPS = 43.49
15:10:46.554 [INFO] (trainer.py:175) Episode = 38, T_Steps = 5507, E_Steps = 42, R = -0.7162, succ =  0.0500, FPS = 43.76
15:10:50.151 [INFO] (trainer.py:175) Episode = 39, T_Steps = 5668, E_Steps = 161, R = -0.0982, succ =  0.0500, FPS = 44.78
15:10:53.719 [INFO] (trainer.py:175) Episode = 40, T_Steps = 5824, E_Steps = 156, R = -0.1081, succ =  0.0500, FPS = 43.73
15:10:57.140 [INFO] (trainer.py:175) Episode = 41, T_Steps = 5980, E_Steps = 156, R = -0.1118, succ =  0.0500, FPS = 45.61
15:11:05.436 [INFO] (trainer.py:175) Episode = 42, T_Steps = 6050, E_Steps = 70, R = -0.6426, succ =  0.0500, FPS =  8.44
15:11:26.862 [INFO] (trainer.py:175) Episode = 43, T_Steps = 6280, E_Steps = 230, R = -0.2312, succ =  0.0500, FPS = 10.74
15:11:53.503 [INFO] (trainer.py:175) Episode = 44, T_Steps = 6566, E_Steps = 286, R =  1.8282, succ =  0.1000, FPS = 10.74
15:12:17.991 [INFO] (trainer.py:175) Episode = 45, T_Steps = 6827, E_Steps = 261, R =  1.7375, succ =  0.1500, FPS = 10.66
15:12:40.117 [INFO] (trainer.py:175) Episode = 46, T_Steps = 7064, E_Steps = 237, R =  1.6783, succ =  0.2000, FPS = 10.71
15:13:01.269 [INFO] (trainer.py:175) Episode = 47, T_Steps = 7289, E_Steps = 225, R =  1.7289, succ =  0.2500, FPS = 10.64
15:13:21.841 [INFO] (trainer.py:175) Episode = 48, T_Steps = 7513, E_Steps = 224, R =  1.6558, succ =  0.3000, FPS = 10.89
15:13:42.731 [INFO] (trainer.py:175) Episode = 49, T_Steps = 7740, E_Steps = 227, R =  1.7120, succ =  0.3500, FPS = 10.87
15:13:49.357 [INFO] (trainer.py:175) Episode = 50, T_Steps = 7811, E_Steps = 71, R = -0.7686, succ =  0.3000, FPS = 10.72
15:14:04.348 [INFO] (trainer.py:175) Episode = 51, T_Steps = 7970, E_Steps = 159, R = -0.4652, succ =  0.3000, FPS = 10.61
15:14:25.104 [INFO] (trainer.py:175) Episode = 52, T_Steps = 8197, E_Steps = 227, R =  1.7178, succ =  0.3500, FPS = 10.94
15:14:44.943 [INFO] (trainer.py:175) Episode = 53, T_Steps = 8411, E_Steps = 214, R =  1.7644, succ =  0.4000, FPS = 10.79
15:15:04.712 [INFO] (trainer.py:175) Episode = 54, T_Steps = 8624, E_Steps = 213, R =  1.7116, succ =  0.4500, FPS = 10.77
15:15:17.455 [INFO] (trainer.py:175) Episode = 55, T_Steps = 8762, E_Steps = 138, R = -0.5229, succ =  0.4500, FPS = 10.83
15:15:38.170 [INFO] (trainer.py:175) Episode = 56, T_Steps = 8986, E_Steps = 224, R =  1.6536, succ =  0.5000, FPS = 10.81
15:15:58.779 [INFO] (trainer.py:175) Episode = 57, T_Steps = 9208, E_Steps = 222, R =  1.7426, succ =  0.5500, FPS = 10.77
15:16:22.690 [INFO] (trainer.py:175) Episode = 58, T_Steps = 9464, E_Steps = 256, R =  1.8151, succ =  0.6000, FPS = 10.71
15:16:33.748 [INFO] (trainer.py:175) Episode = 59, T_Steps = 9585, E_Steps = 121, R = -0.6207, succ =  0.6000, FPS = 10.94
15:16:41.317 [INFO] (trainer.py:175) Episode = 60, T_Steps = 9667, E_Steps = 82, R = -0.7322, succ =  0.6000, FPS = 10.84
15:17:02.197 [INFO] (trainer.py:175) Episode = 61, T_Steps = 9893, E_Steps = 226, R =  1.6802, succ =  0.6500, FPS = 10.82
15:17:22.626 [INFO] (trainer.py:175) Episode = 62, T_Steps = 10113, E_Steps = 220, R =  1.7074, succ =  0.7000, FPS = 10.77
15:17:42.616 [INFO] (trainer.py:175) Episode = 63, T_Steps = 10332, E_Steps = 219, R =  1.6960, succ =  0.7500, FPS = 10.96
15:17:53.461 [INFO] (trainer.py:175) Episode = 64, T_Steps = 10449, E_Steps = 117, R = -0.6436, succ =  0.7000, FPS = 10.79
15:18:14.236 [INFO] (trainer.py:175) Episode = 65, T_Steps = 10673, E_Steps = 224, R =  1.6919, succ =  0.7000, FPS = 10.78
15:18:22.844 [INFO] (trainer.py:175) Episode = 66, T_Steps = 10768, E_Steps = 95, R = -0.7121, succ =  0.6500, FPS = 11.04
15:18:42.464 [INFO] (trainer.py:175) Episode = 67, T_Steps = 10980, E_Steps = 212, R =  1.6960, succ =  0.6500, FPS = 10.81
15:19:02.276 [INFO] (trainer.py:175) Episode = 68, T_Steps = 11195, E_Steps = 215, R =  1.6558, succ =  0.6500, FPS = 10.85
