22:09:25.896 [INFO] (trainer.py:174) Episode = 1, T_Steps = 547, E_Steps = 547, R = -0.6470, succ =  0.0000, FPS = 16.39
22:09:41.543 [INFO] (trainer.py:174) Episode = 2, T_Steps = 868, E_Steps = 321, R = -0.7929, succ =  0.0000, FPS = 20.52
22:10:10.867 [INFO] (trainer.py:174) Episode = 3, T_Steps = 1468, E_Steps = 600, R =  1.3869, succ =  0.0500, FPS = 20.46
22:10:18.183 [INFO] (trainer.py:174) Episode = 4, T_Steps = 1573, E_Steps = 105, R = -0.9306, succ =  0.0500, FPS = 14.36
22:10:32.817 [INFO] (trainer.py:174) Episode = 5, T_Steps = 1881, E_Steps = 308, R = -0.8018, succ =  0.0500, FPS = 21.05
22:11:00.236 [INFO] (trainer.py:174) Episode = 6, T_Steps = 2467, E_Steps = 586, R =  1.3810, succ =  0.1000, FPS = 21.37
22:11:26.365 [INFO] (trainer.py:174) Episode = 7, T_Steps = 3063, E_Steps = 596, R =  1.3881, succ =  0.1500, FPS = 22.81
22:11:30.482 [INFO] (trainer.py:174) Episode = 8, T_Steps = 3088, E_Steps = 25, R = -0.9839, succ =  0.1500, FPS =  6.07
22:11:42.485 [INFO] (trainer.py:174) Episode = 9, T_Steps = 3306, E_Steps = 218, R = -0.8572, succ =  0.1500, FPS = 18.16
22:12:04.780 [INFO] (trainer.py:174) Episode = 10, T_Steps = 3811, E_Steps = 505, R = -0.6767, succ =  0.1500, FPS = 22.66
22:12:33.427 [INFO] (trainer.py:174) Episode = 11, T_Steps = 4420, E_Steps = 609, R =  1.3992, succ =  0.2000, FPS = 21.26
22:12:42.918 [INFO] (trainer.py:174) Episode = 12, T_Steps = 4603, E_Steps = 183, R = -0.8795, succ =  0.2000, FPS = 19.28
22:12:47.352 [INFO] (trainer.py:174) Episode = 13, T_Steps = 4628, E_Steps = 25, R = -0.9836, succ =  0.2000, FPS =  5.64
22:13:02.694 [INFO] (trainer.py:174) Episode = 14, T_Steps = 4914, E_Steps = 286, R = -0.8132, succ =  0.2000, FPS = 18.66
22:13:14.763 [INFO] (trainer.py:174) Episode = 15, T_Steps = 5151, E_Steps = 237, R = -0.8482, succ =  0.2000, FPS = 19.64
22:13:19.068 [INFO] (trainer.py:174) Episode = 16, T_Steps = 5176, E_Steps = 25, R = -0.9841, succ =  0.2000, FPS =  5.81
22:13:35.661 [INFO] (trainer.py:174) Episode = 17, T_Steps = 5569, E_Steps = 393, R = -0.7467, succ =  0.2000, FPS = 23.69
22:13:57.026 [INFO] (trainer.py:174) Episode = 18, T_Steps = 5976, E_Steps = 407, R = -0.7382, succ =  0.2000, FPS = 19.05
22:14:53.979 [INFO] (trainer.py:174) Episode = 19, T_Steps = 6441, E_Steps = 465, R = -0.7000, succ =  0.2000, FPS =  8.16
22:15:00.623 [INFO] (trainer.py:174) Episode = 20, T_Steps = 6473, E_Steps = 32, R = -0.9802, succ =  0.2000, FPS =  4.82
22:15:57.293 [INFO] (trainer.py:174) Episode = 21, T_Steps = 6971, E_Steps = 498, R = -0.6788, succ =  0.2000, FPS =  8.79
22:16:11.017 [INFO] (trainer.py:174) Episode = 22, T_Steps = 7068, E_Steps = 97, R = -0.9355, succ =  0.2000, FPS =  7.07
22:16:17.692 [INFO] (trainer.py:174) Episode = 23, T_Steps = 7104, E_Steps = 36, R = -0.9769, succ =  0.1500, FPS =  5.39
22:17:14.135 [INFO] (trainer.py:174) Episode = 24, T_Steps = 7599, E_Steps = 495, R = -0.6799, succ =  0.1500, FPS =  8.77
22:17:20.645 [INFO] (trainer.py:174) Episode = 25, T_Steps = 7631, E_Steps = 32, R = -0.9806, succ =  0.1500, FPS =  4.92
22:18:00.326 [INFO] (trainer.py:174) Episode = 26, T_Steps = 7955, E_Steps = 324, R = -0.7874, succ =  0.1000, FPS =  8.17
22:18:55.138 [INFO] (trainer.py:174) Episode = 27, T_Steps = 8432, E_Steps = 477, R = -0.6896, succ =  0.0500, FPS =  8.70
22:19:00.819 [INFO] (trainer.py:174) Episode = 28, T_Steps = 8468, E_Steps = 36, R = -0.9781, succ =  0.0500, FPS =  6.34
22:20:28.059 [INFO] (trainer.py:174) Episode = 29, T_Steps = 9241, E_Steps = 773, R =  1.5052, succ =  0.1000, FPS =  8.86
22:21:39.646 [INFO] (trainer.py:174) Episode = 30, T_Steps = 9850, E_Steps = 609, R = -0.6023, succ =  0.1000, FPS =  8.51
