03:31:57.594 [INFO] (trainer.py:174) Episode = 1, T_Steps = 202, E_Steps = 202, R =  1.9453, succ =  0.0500, FPS = 25.98
03:32:01.647 [INFO] (trainer.py:174) Episode = 2, T_Steps = 387, E_Steps = 185, R =  1.9612, succ =  0.1000, FPS = 45.67
03:32:06.205 [INFO] (trainer.py:174) Episode = 3, T_Steps = 600, E_Steps = 213, R =  1.8972, succ =  0.1500, FPS = 46.74
03:32:07.736 [INFO] (trainer.py:174) Episode = 4, T_Steps = 636, E_Steps = 36, R = -0.8185, succ =  0.1500, FPS = 23.54
03:32:12.102 [INFO] (trainer.py:174) Episode = 5, T_Steps = 843, E_Steps = 207, R =  1.9572, succ =  0.2000, FPS = 47.42
03:32:16.572 [INFO] (trainer.py:174) Episode = 6, T_Steps = 1050, E_Steps = 207, R =  0.0428, succ =  0.2000, FPS = 46.32
03:32:17.908 [INFO] (trainer.py:174) Episode = 7, T_Steps = 1077, E_Steps = 27, R = -0.8098, succ =  0.2000, FPS = 20.23
03:32:22.246 [INFO] (trainer.py:174) Episode = 8, T_Steps = 1274, E_Steps = 197, R =  1.9664, succ =  0.2500, FPS = 45.43
03:32:27.129 [INFO] (trainer.py:174) Episode = 9, T_Steps = 1506, E_Steps = 232, R = -0.0507, succ =  0.2500, FPS = 47.52
03:32:28.550 [INFO] (trainer.py:174) Episode = 10, T_Steps = 1533, E_Steps = 27, R = -0.8248, succ =  0.2500, FPS = 19.03
03:32:32.736 [INFO] (trainer.py:174) Episode = 11, T_Steps = 1724, E_Steps = 191, R =  1.9595, succ =  0.3000, FPS = 45.64
03:32:37.436 [INFO] (trainer.py:174) Episode = 12, T_Steps = 1947, E_Steps = 223, R =  1.9214, succ =  0.3500, FPS = 47.45
03:32:41.675 [INFO] (trainer.py:174) Episode = 13, T_Steps = 2141, E_Steps = 194, R =  1.9909, succ =  0.4000, FPS = 45.78
03:32:46.097 [INFO] (trainer.py:174) Episode = 14, T_Steps = 2344, E_Steps = 203, R = -0.0041, succ =  0.4000, FPS = 45.92
03:32:50.483 [INFO] (trainer.py:174) Episode = 15, T_Steps = 2536, E_Steps = 192, R =  0.0870, succ =  0.4000, FPS = 43.79
03:32:54.910 [INFO] (trainer.py:174) Episode = 16, T_Steps = 2741, E_Steps = 205, R =  0.0394, succ =  0.4000, FPS = 46.32
03:32:59.461 [INFO] (trainer.py:174) Episode = 17, T_Steps = 2954, E_Steps = 213, R =  1.9595, succ =  0.4500, FPS = 46.81
03:33:03.556 [INFO] (trainer.py:174) Episode = 18, T_Steps = 3140, E_Steps = 186, R =  1.9950, succ =  0.5000, FPS = 45.43
03:33:07.887 [INFO] (trainer.py:174) Episode = 19, T_Steps = 3336, E_Steps = 196, R =  1.9397, succ =  0.5500, FPS = 45.27
03:33:12.491 [INFO] (trainer.py:174) Episode = 20, T_Steps = 3548, E_Steps = 212, R = -0.0209, succ =  0.5500, FPS = 46.05
03:33:13.875 [INFO] (trainer.py:174) Episode = 21, T_Steps = 3572, E_Steps = 24, R = -0.8370, succ =  0.5000, FPS = 17.36
03:33:18.476 [INFO] (trainer.py:174) Episode = 22, T_Steps = 3786, E_Steps = 214, R =  0.0091, succ =  0.4500, FPS = 46.53
03:33:22.773 [INFO] (trainer.py:174) Episode = 23, T_Steps = 3987, E_Steps = 201, R =  0.0338, succ =  0.4000, FPS = 46.78
03:33:27.502 [INFO] (trainer.py:174) Episode = 24, T_Steps = 4205, E_Steps = 218, R =  1.9217, succ =  0.4500, FPS = 46.11
03:33:31.651 [INFO] (trainer.py:174) Episode = 25, T_Steps = 4393, E_Steps = 188, R =  1.9588, succ =  0.4500, FPS = 45.33
