21:58:36.174 [INFO] (trainer.py:174) Episode = 1, T_Steps = 528, E_Steps = 528, R = -0.6551, succ =  0.0000, FPS = 28.54
21:58:51.551 [INFO] (trainer.py:174) Episode = 2, T_Steps = 1134, E_Steps = 606, R =  1.3920, succ =  0.0500, FPS = 39.41
21:58:53.910 [INFO] (trainer.py:174) Episode = 3, T_Steps = 1167, E_Steps = 33, R = -0.9778, succ =  0.0500, FPS = 14.00
21:59:01.455 [INFO] (trainer.py:174) Episode = 4, T_Steps = 1433, E_Steps = 266, R = -0.8289, succ =  0.0500, FPS = 35.26
21:59:04.966 [INFO] (trainer.py:174) Episode = 5, T_Steps = 1503, E_Steps = 70, R = -0.9515, succ =  0.0500, FPS = 19.95
21:59:19.778 [INFO] (trainer.py:174) Episode = 6, T_Steps = 2082, E_Steps = 579, R =  1.3754, succ =  0.1000, FPS = 39.09
21:59:35.163 [INFO] (trainer.py:174) Episode = 7, T_Steps = 2704, E_Steps = 622, R =  1.4073, succ =  0.1500, FPS = 40.43
21:59:40.309 [INFO] (trainer.py:174) Episode = 8, T_Steps = 2862, E_Steps = 158, R = -0.8946, succ =  0.1500, FPS = 30.71
21:59:47.678 [INFO] (trainer.py:174) Episode = 9, T_Steps = 3131, E_Steps = 269, R = -0.8254, succ =  0.1500, FPS = 36.51
21:59:59.951 [INFO] (trainer.py:174) Episode = 10, T_Steps = 3600, E_Steps = 469, R = -0.6953, succ =  0.1500, FPS = 38.22
22:00:15.033 [INFO] (trainer.py:174) Episode = 11, T_Steps = 4204, E_Steps = 604, R =  1.3936, succ =  0.2000, FPS = 40.05
22:00:26.841 [INFO] (trainer.py:174) Episode = 12, T_Steps = 4643, E_Steps = 439, R = -0.7162, succ =  0.2000, FPS = 37.18
22:00:30.377 [INFO] (trainer.py:174) Episode = 13, T_Steps = 4726, E_Steps = 83, R = -0.9454, succ =  0.2000, FPS = 23.48
22:00:32.727 [INFO] (trainer.py:174) Episode = 14, T_Steps = 4753, E_Steps = 27, R = -0.9810, succ =  0.2000, FPS = 11.50
22:00:47.826 [INFO] (trainer.py:174) Episode = 15, T_Steps = 5335, E_Steps = 582, R =  1.3762, succ =  0.2500, FPS = 38.55
22:01:02.668 [INFO] (trainer.py:174) Episode = 16, T_Steps = 5911, E_Steps = 576, R =  1.3731, succ =  0.3000, FPS = 38.81
22:01:06.278 [INFO] (trainer.py:174) Episode = 17, T_Steps = 5998, E_Steps = 87, R = -0.9422, succ =  0.3000, FPS = 24.11
22:01:55.859 [INFO] (trainer.py:174) Episode = 18, T_Steps = 6647, E_Steps = 649, R =  1.4166, succ =  0.3500, FPS = 13.09
22:02:33.397 [INFO] (trainer.py:174) Episode = 19, T_Steps = 7159, E_Steps = 512, R = -0.6730, succ =  0.3500, FPS = 13.64
22:02:37.652 [INFO] (trainer.py:174) Episode = 20, T_Steps = 7193, E_Steps = 34, R = -0.9789, succ =  0.3500, FPS =  7.99
22:03:26.447 [INFO] (trainer.py:174) Episode = 21, T_Steps = 7869, E_Steps = 676, R =  1.4320, succ =  0.4000, FPS = 13.85
22:04:00.964 [INFO] (trainer.py:174) Episode = 22, T_Steps = 8335, E_Steps = 466, R = -0.7042, succ =  0.3500, FPS = 13.50
22:04:48.956 [INFO] (trainer.py:174) Episode = 23, T_Steps = 9002, E_Steps = 667, R =  1.4269, succ =  0.4000, FPS = 13.90
22:04:52.936 [INFO] (trainer.py:174) Episode = 24, T_Steps = 9035, E_Steps = 33, R = -0.9797, succ =  0.4000, FPS =  8.30
22:05:27.781 [INFO] (trainer.py:174) Episode = 25, T_Steps = 9514, E_Steps = 479, R = -0.6931, succ =  0.4000, FPS = 13.75
22:06:14.646 [INFO] (trainer.py:174) Episode = 26, T_Steps = 10180, E_Steps = 666, R =  1.4259, succ =  0.4000, FPS = 14.21
22:07:02.634 [INFO] (trainer.py:174) Episode = 27, T_Steps = 10858, E_Steps = 678, R =  1.4355, succ =  0.4000, FPS = 14.13
22:07:06.590 [INFO] (trainer.py:174) Episode = 28, T_Steps = 10892, E_Steps = 34, R = -0.9788, succ =  0.4000, FPS =  8.60
22:07:37.864 [INFO] (trainer.py:174) Episode = 29, T_Steps = 11330, E_Steps = 438, R = -0.7200, succ =  0.4000, FPS = 14.01
22:08:16.804 [INFO] (trainer.py:174) Episode = 30, T_Steps = 11883, E_Steps = 553, R = -0.6503, succ =  0.4000, FPS = 14.20
22:08:43.329 [INFO] (trainer.py:174) Episode = 31, T_Steps = 12229, E_Steps = 346, R = -0.7811, succ =  0.3500, FPS = 13.05
22:09:30.671 [INFO] (trainer.py:174) Episode = 32, T_Steps = 12900, E_Steps = 671, R =  1.4355, succ =  0.4000, FPS = 14.17
22:09:56.157 [INFO] (trainer.py:174) Episode = 33, T_Steps = 13242, E_Steps = 342, R = -0.7785, succ =  0.4000, FPS = 13.42
22:10:40.750 [INFO] (trainer.py:174) Episode = 34, T_Steps = 13869, E_Steps = 627, R =  1.4031, succ =  0.4500, FPS = 14.06
22:11:11.420 [INFO] (trainer.py:174) Episode = 35, T_Steps = 14287, E_Steps = 418, R = -0.7325, succ =  0.4000, FPS = 13.63
22:12:00.996 [INFO] (trainer.py:174) Episode = 36, T_Steps = 14986, E_Steps = 699, R =  1.4536, succ =  0.4000, FPS = 14.10
22:12:34.159 [INFO] (trainer.py:174) Episode = 37, T_Steps = 15449, E_Steps = 463, R = -0.7044, succ =  0.4000, FPS = 13.96
22:12:59.595 [INFO] (trainer.py:174) Episode = 38, T_Steps = 15791, E_Steps = 342, R = -0.7798, succ =  0.3500, FPS = 13.45
