21:50:46.317 [INFO] (trainer.py:174) Episode = 44, T_Steps = 7439, E_Steps = 176, R =  1.9788, succ =  0.6000, FPS = 14.12
21:50:58.231 [INFO] (trainer.py:174) Episode = 45, T_Steps = 7607, E_Steps = 168, R =  1.9986, succ =  0.6500, FPS = 14.10
21:51:11.113 [INFO] (trainer.py:174) Episode = 46, T_Steps = 7785, E_Steps = 178, R =  2.0082, succ =  0.6500, FPS = 13.82
21:51:18.248 [INFO] (trainer.py:174) Episode = 47, T_Steps = 7879, E_Steps = 94, R = -0.4992, succ =  0.6000, FPS = 13.18
21:51:30.870 [INFO] (trainer.py:174) Episode = 48, T_Steps = 8056, E_Steps = 177, R =  1.9566, succ =  0.6500, FPS = 14.02
21:51:43.452 [INFO] (trainer.py:174) Episode = 49, T_Steps = 8234, E_Steps = 178, R =  2.0158, succ =  0.7000, FPS = 14.15
21:51:56.901 [INFO] (trainer.py:174) Episode = 50, T_Steps = 8427, E_Steps = 193, R =  0.0269, succ =  0.7000, FPS = 14.35
21:52:10.114 [INFO] (trainer.py:174) Episode = 51, T_Steps = 8616, E_Steps = 189, R =  0.0658, succ =  0.7000, FPS = 14.31
21:52:22.231 [INFO] (trainer.py:174) Episode = 52, T_Steps = 8787, E_Steps = 171, R =  1.9751, succ =  0.7000, FPS = 14.11
21:52:25.376 [INFO] (trainer.py:174) Episode = 53, T_Steps = 8822, E_Steps = 35, R = -0.8532, succ =  0.7000, FPS = 11.14
21:52:37.208 [INFO] (trainer.py:174) Episode = 54, T_Steps = 8992, E_Steps = 170, R =  1.9621, succ =  0.7000, FPS = 14.37
21:52:48.802 [INFO] (trainer.py:174) Episode = 55, T_Steps = 9157, E_Steps = 165, R =  1.9796, succ =  0.7000, FPS = 14.23
21:53:01.089 [INFO] (trainer.py:174) Episode = 56, T_Steps = 9332, E_Steps = 175, R =  2.0074, succ =  0.7000, FPS = 14.24
21:53:12.785 [INFO] (trainer.py:174) Episode = 57, T_Steps = 9498, E_Steps = 166, R =  1.9592, succ =  0.7000, FPS = 14.19
21:53:31.860 [INFO] (trainer.py:174) Episode = 58, T_Steps = 9778, E_Steps = 280, R =  2.3788, succ =  0.7000, FPS = 14.68
21:53:45.388 [INFO] (trainer.py:174) Episode = 59, T_Steps = 9969, E_Steps = 191, R =  0.0565, succ =  0.6500, FPS = 14.12
21:53:57.621 [INFO] (trainer.py:174) Episode = 60, T_Steps = 10141, E_Steps = 172, R =  1.9518, succ =  0.7000, FPS = 14.06
