17:35:16.778 [INFO] (trainer.py:175) Episode = 1, T_Steps = 173, E_Steps = 173, R = -0.1141, succ =  0.0000, FPS = 20.44
17:35:20.967 [INFO] (trainer.py:175) Episode = 2, T_Steps = 346, E_Steps = 173, R = -0.1380, succ =  0.0000, FPS = 41.32
17:35:24.618 [INFO] (trainer.py:175) Episode = 3, T_Steps = 505, E_Steps = 159, R = -0.1092, succ =  0.0000, FPS = 43.57
17:35:26.452 [INFO] (trainer.py:175) Episode = 4, T_Steps = 581, E_Steps = 76, R = -0.6910, succ =  0.0000, FPS = 41.46
17:35:28.045 [INFO] (trainer.py:175) Episode = 5, T_Steps = 648, E_Steps = 67, R = -0.6779, succ =  0.0000, FPS = 42.10
17:35:29.813 [INFO] (trainer.py:175) Episode = 6, T_Steps = 719, E_Steps = 71, R = -0.6681, succ =  0.0000, FPS = 40.18
17:35:31.224 [INFO] (trainer.py:175) Episode = 7, T_Steps = 776, E_Steps = 57, R = -0.6415, succ =  0.0000, FPS = 40.46
17:35:32.738 [INFO] (trainer.py:175) Episode = 8, T_Steps = 840, E_Steps = 64, R = -0.6890, succ =  0.0000, FPS = 42.30
17:35:36.821 [INFO] (trainer.py:175) Episode = 9, T_Steps = 1019, E_Steps = 179, R = -0.1025, succ =  0.0000, FPS = 43.86
17:35:41.086 [INFO] (trainer.py:175) Episode = 10, T_Steps = 1197, E_Steps = 178, R = -0.1303, succ =  0.0000, FPS = 41.75
17:35:44.481 [INFO] (trainer.py:175) Episode = 11, T_Steps = 1354, E_Steps = 157, R = -0.1346, succ =  0.0000, FPS = 46.26
17:35:48.596 [INFO] (trainer.py:175) Episode = 12, T_Steps = 1522, E_Steps = 168, R = -0.1227, succ =  0.0000, FPS = 40.84
17:35:53.421 [INFO] (trainer.py:175) Episode = 13, T_Steps = 1725, E_Steps = 203, R = -0.2294, succ =  0.0000, FPS = 42.09
17:35:55.045 [INFO] (trainer.py:175) Episode = 14, T_Steps = 1795, E_Steps = 70, R = -0.6677, succ =  0.0000, FPS = 43.14
17:35:59.545 [INFO] (trainer.py:175) Episode = 15, T_Steps = 1980, E_Steps = 185, R = -0.0687, succ =  0.0000, FPS = 41.12
17:36:03.940 [INFO] (trainer.py:175) Episode = 16, T_Steps = 2163, E_Steps = 183, R = -0.1412, succ =  0.0000, FPS = 41.65
17:36:08.409 [INFO] (trainer.py:175) Episode = 17, T_Steps = 2344, E_Steps = 181, R = -0.1563, succ =  0.0000, FPS = 40.51
17:36:12.406 [INFO] (trainer.py:175) Episode = 18, T_Steps = 2516, E_Steps = 172, R = -0.1413, succ =  0.0000, FPS = 43.05
17:36:16.666 [INFO] (trainer.py:175) Episode = 19, T_Steps = 2695, E_Steps = 179, R = -0.1597, succ =  0.0000, FPS = 42.04
17:36:18.463 [INFO] (trainer.py:175) Episode = 20, T_Steps = 2769, E_Steps = 74, R = -0.6499, succ =  0.0000, FPS = 41.20
17:36:20.071 [INFO] (trainer.py:175) Episode = 21, T_Steps = 2835, E_Steps = 66, R = -0.6954, succ =  0.0000, FPS = 41.08
17:36:21.562 [INFO] (trainer.py:175) Episode = 22, T_Steps = 2898, E_Steps = 63, R = -0.6723, succ =  0.0000, FPS = 42.30
17:36:23.272 [INFO] (trainer.py:175) Episode = 23, T_Steps = 2972, E_Steps = 74, R = -0.6262, succ =  0.0000, FPS = 43.32
17:36:25.062 [INFO] (trainer.py:175) Episode = 24, T_Steps = 3040, E_Steps = 68, R = -0.6628, succ =  0.0000, FPS = 38.01
17:36:28.816 [INFO] (trainer.py:175) Episode = 25, T_Steps = 3203, E_Steps = 163, R = -0.1179, succ =  0.0000, FPS = 43.44
17:36:33.254 [INFO] (trainer.py:175) Episode = 26, T_Steps = 3393, E_Steps = 190, R = -0.1381, succ =  0.0000, FPS = 42.82
17:36:37.622 [INFO] (trainer.py:175) Episode = 27, T_Steps = 3575, E_Steps = 182, R = -0.1494, succ =  0.0000, FPS = 41.68
