episode,step,episodic_reward,success_rate,episodic_length
0,5,-1,0.0,5
0,10,-1,0.0,10
0,15,-1,0.0,15
0,20,-1,0.0,20
0,25,-1,0.0,25
0,30,-1,0.0,30
0,35,-1,0.0,35
0,40,-1,0.0,40
0,45,-1,0.0,45
0,50,-1,0.0,50
0,55,-1,0.0,55
0,60,-1,0.0,60
0,65,-1,0.0,65
1,70,"tf.Tensor(-0.67666, shape=(), dtype=float32)",0.0,2
1,75,"tf.Tensor(-0.67666, shape=(), dtype=float32)",0.0,7
1,80,"tf.Tensor(-0.67666, shape=(), dtype=float32)",0.0,12
1,85,"tf.Tensor(-0.67666, shape=(), dtype=float32)",0.0,17
1,90,"tf.Tensor(-0.67666, shape=(), dtype=float32)",0.0,22
1,95,"tf.Tensor(-0.67666, shape=(), dtype=float32)",0.0,27
1,100,"tf.Tensor(-0.67666, shape=(), dtype=float32)",0.0,32
1,105,"tf.Tensor(-0.67666, shape=(), dtype=float32)",0.0,37
1,110,"tf.Tensor(-0.67666, shape=(), dtype=float32)",0.0,42
1,115,"tf.Tensor(-0.67666, shape=(), dtype=float32)",0.0,47
1,120,"tf.Tensor(-0.67666, shape=(), dtype=float32)",0.0,52
1,125,"tf.Tensor(-0.67666, shape=(), dtype=float32)",0.0,57
1,130,"tf.Tensor(-0.67666, shape=(), dtype=float32)",0.0,62
1,135,"tf.Tensor(-0.67666, shape=(), dtype=float32)",0.0,67
2,140,"tf.Tensor(-0.6495498, shape=(), dtype=float32)",0.0,4
2,145,"tf.Tensor(-0.6495498, shape=(), dtype=float32)",0.0,9
2,150,"tf.Tensor(-0.6495498, shape=(), dtype=float32)",0.0,14
2,155,"tf.Tensor(-0.6495498, shape=(), dtype=float32)",0.0,19
2,160,"tf.Tensor(-0.6495498, shape=(), dtype=float32)",0.0,24
2,165,"tf.Tensor(-0.6495498, shape=(), dtype=float32)",0.0,29
2,170,"tf.Tensor(-0.6495498, shape=(), dtype=float32)",0.0,34
2,175,"tf.Tensor(-0.6495498, shape=(), dtype=float32)",0.0,39
2,180,"tf.Tensor(-0.6495498, shape=(), dtype=float32)",0.0,44
