episode,step,episodic_reward,success_rate,episodic_length
0,5,-1,0.0,5
0,10,-1,0.0,10
0,15,-1,0.0,15
0,20,-1,0.0,20
0,25,-1,0.0,25
0,30,-1,0.0,30
0,35,-1,0.0,35
0,40,-1,0.0,40
0,45,-1,0.0,45
0,50,-1,0.0,50
0,55,-1,0.0,55
0,60,-1,0.0,60
0,65,-1,0.0,65
0,70,-1,0.0,70
0,75,-1,0.0,75
1,80,"tf.Tensor(-0.742754, shape=(), dtype=float32)",0.0,5
1,85,"tf.Tensor(-0.742754, shape=(), dtype=float32)",0.0,10
1,90,"tf.Tensor(-0.742754, shape=(), dtype=float32)",0.0,15
1,95,"tf.Tensor(-0.742754, shape=(), dtype=float32)",0.0,20
1,100,"tf.Tensor(-0.742754, shape=(), dtype=float32)",0.0,25
1,105,"tf.Tensor(-0.742754, shape=(), dtype=float32)",0.0,30
1,110,"tf.Tensor(-0.742754, shape=(), dtype=float32)",0.0,35
1,115,"tf.Tensor(-0.742754, shape=(), dtype=float32)",0.0,40
1,120,"tf.Tensor(-0.742754, shape=(), dtype=float32)",0.0,45
1,125,"tf.Tensor(-0.742754, shape=(), dtype=float32)",0.0,50
1,130,"tf.Tensor(-0.742754, shape=(), dtype=float32)",0.0,55
1,135,"tf.Tensor(-0.742754, shape=(), dtype=float32)",0.0,60
2,140,"tf.Tensor(-0.6330147, shape=(), dtype=float32)",0.0,2
2,145,"tf.Tensor(-0.6330147, shape=(), dtype=float32)",0.0,7
2,150,"tf.Tensor(-0.6330147, shape=(), dtype=float32)",0.0,12
2,155,"tf.Tensor(-0.6330147, shape=(), dtype=float32)",0.0,17
2,160,"tf.Tensor(-0.6330147, shape=(), dtype=float32)",0.0,22
2,165,"tf.Tensor(-0.6330147, shape=(), dtype=float32)",0.0,27
2,170,"tf.Tensor(-0.6330147, shape=(), dtype=float32)",0.0,32
2,175,"tf.Tensor(-0.6330147, shape=(), dtype=float32)",0.0,37
2,180,"tf.Tensor(-0.6330147, shape=(), dtype=float32)",0.0,42
2,185,"tf.Tensor(-0.6330147, shape=(), dtype=float32)",0.0,47
