10:10:00.124 [INFO] (trainer.py:175) Episode = 1, T_Steps = 75, E_Steps = 75, R = -0.7428, succ =  0.0000, FPS = 11.88
10:10:01.656 [INFO] (trainer.py:175) Episode = 2, T_Steps = 138, E_Steps = 63, R = -0.6330, succ =  0.0000, FPS = 41.31
10:10:03.684 [INFO] (trainer.py:175) Episode = 3, T_Steps = 231, E_Steps = 93, R = -0.6651, succ =  0.0000, FPS = 45.89
10:10:04.948 [INFO] (trainer.py:175) Episode = 4, T_Steps = 291, E_Steps = 60, R = -0.6581, succ =  0.0000, FPS = 47.51
10:10:08.769 [INFO] (trainer.py:175) Episode = 5, T_Steps = 459, E_Steps = 168, R = -0.1056, succ =  0.0000, FPS = 43.97
10:10:12.879 [INFO] (trainer.py:175) Episode = 6, T_Steps = 637, E_Steps = 178, R = -0.1870, succ =  0.0000, FPS = 43.33
10:10:17.541 [INFO] (trainer.py:175) Episode = 7, T_Steps = 830, E_Steps = 193, R = -0.1807, succ =  0.0000, FPS = 41.42
10:10:21.467 [INFO] (trainer.py:175) Episode = 8, T_Steps = 1003, E_Steps = 173, R = -0.0998, succ =  0.0000, FPS = 44.08
10:10:25.891 [INFO] (trainer.py:175) Episode = 9, T_Steps = 1186, E_Steps = 183, R = -0.1221, succ =  0.0000, FPS = 41.37
10:10:29.488 [INFO] (trainer.py:175) Episode = 10, T_Steps = 1341, E_Steps = 155, R = -0.1161, succ =  0.0000, FPS = 43.11
10:10:33.637 [INFO] (trainer.py:175) Episode = 11, T_Steps = 1517, E_Steps = 176, R = -0.1258, succ =  0.0000, FPS = 42.43
10:10:34.749 [INFO] (trainer.py:175) Episode = 12, T_Steps = 1566, E_Steps = 49, R = -0.6777, succ =  0.0000, FPS = 44.11
10:10:38.627 [INFO] (trainer.py:175) Episode = 13, T_Steps = 1732, E_Steps = 166, R = -0.1075, succ =  0.0000, FPS = 42.83
