00:55:27.939 [INFO] (trainer.py:175) Episode = 1, T_Steps = 178, E_Steps = 178, R = -0.1665, succ =  0.0000, FPS = 21.00
00:55:32.773 [INFO] (trainer.py:175) Episode = 2, T_Steps = 374, E_Steps = 196, R = -0.1713, succ =  0.0000, FPS = 40.56
00:55:37.115 [INFO] (trainer.py:175) Episode = 3, T_Steps = 560, E_Steps = 186, R = -0.2047, succ =  0.0000, FPS = 42.85
00:55:41.887 [INFO] (trainer.py:175) Episode = 4, T_Steps = 755, E_Steps = 195, R = -0.1593, succ =  0.0000, FPS = 40.87
00:55:45.832 [INFO] (trainer.py:175) Episode = 5, T_Steps = 924, E_Steps = 169, R = -0.1064, succ =  0.0000, FPS = 42.86
00:55:49.722 [INFO] (trainer.py:175) Episode = 6, T_Steps = 1094, E_Steps = 170, R = -0.0961, succ =  0.0000, FPS = 43.71
00:55:53.950 [INFO] (trainer.py:175) Episode = 7, T_Steps = 1266, E_Steps = 172, R = -0.0985, succ =  0.0000, FPS = 40.70
00:55:58.371 [INFO] (trainer.py:175) Episode = 8, T_Steps = 1443, E_Steps = 177, R = -0.1533, succ =  0.0000, FPS = 40.04
00:56:02.797 [INFO] (trainer.py:175) Episode = 9, T_Steps = 1619, E_Steps = 176, R = -0.1336, succ =  0.0000, FPS = 39.80
00:56:04.342 [INFO] (trainer.py:175) Episode = 10, T_Steps = 1688, E_Steps = 69, R = -0.6268, succ =  0.0000, FPS = 44.70
00:56:06.080 [INFO] (trainer.py:175) Episode = 11, T_Steps = 1760, E_Steps = 72, R = -0.6671, succ =  0.0000, FPS = 41.46
00:56:08.012 [INFO] (trainer.py:175) Episode = 12, T_Steps = 1841, E_Steps = 81, R = -0.6656, succ =  0.0000, FPS = 41.96
00:56:09.546 [INFO] (trainer.py:175) Episode = 13, T_Steps = 1913, E_Steps = 72, R = -0.7098, succ =  0.0000, FPS = 46.95
00:56:11.277 [INFO] (trainer.py:175) Episode = 14, T_Steps = 1977, E_Steps = 64, R = -0.6597, succ =  0.0000, FPS = 37.01
00:56:12.982 [INFO] (trainer.py:175) Episode = 15, T_Steps = 2044, E_Steps = 67, R = -0.6686, succ =  0.0000, FPS = 39.34
00:56:16.781 [INFO] (trainer.py:175) Episode = 16, T_Steps = 2203, E_Steps = 159, R = -0.0780, succ =  0.0000, FPS = 41.87
00:56:21.259 [INFO] (trainer.py:175) Episode = 17, T_Steps = 2396, E_Steps = 193, R = -0.2183, succ =  0.0000, FPS = 43.11
00:56:24.592 [INFO] (trainer.py:175) Episode = 18, T_Steps = 2541, E_Steps = 145, R = -0.1034, succ =  0.0000, FPS = 43.52
