01:12:51.307 [INFO] (trainer.py:174) Episode = 1, T_Steps = 220, E_Steps = 220, R = -0.8603, succ =  0.0000, FPS = 11.42
01:12:55.709 [INFO] (trainer.py:174) Episode = 2, T_Steps = 247, E_Steps = 27, R = -0.9828, succ =  0.0000, FPS =  6.14
01:13:08.735 [INFO] (trainer.py:174) Episode = 3, T_Steps = 524, E_Steps = 277, R = -0.8198, succ =  0.0000, FPS = 21.27
01:13:32.752 [INFO] (trainer.py:174) Episode = 4, T_Steps = 996, E_Steps = 472, R = -0.6971, succ =  0.0000, FPS = 19.65
01:13:44.467 [INFO] (trainer.py:174) Episode = 5, T_Steps = 1219, E_Steps = 223, R = -0.8541, succ =  0.0000, FPS = 19.04
01:13:56.032 [INFO] (trainer.py:174) Episode = 6, T_Steps = 1404, E_Steps = 185, R = -0.8803, succ =  0.0000, FPS = 16.00
01:14:10.738 [INFO] (trainer.py:174) Episode = 7, T_Steps = 1654, E_Steps = 250, R = -0.8357, succ =  0.0000, FPS = 17.00
01:14:15.111 [INFO] (trainer.py:174) Episode = 8, T_Steps = 1716, E_Steps = 62, R = -0.9581, succ =  0.0000, FPS = 14.18
01:14:34.788 [INFO] (trainer.py:174) Episode = 9, T_Steps = 2099, E_Steps = 383, R = -0.7546, succ =  0.0000, FPS = 19.47
01:14:38.930 [INFO] (trainer.py:174) Episode = 10, T_Steps = 2124, E_Steps = 25, R = -0.9839, succ =  0.0000, FPS =  6.04
01:14:43.015 [INFO] (trainer.py:174) Episode = 11, T_Steps = 2148, E_Steps = 24, R = -0.9841, succ =  0.0000, FPS =  5.89
01:15:03.690 [INFO] (trainer.py:174) Episode = 12, T_Steps = 2584, E_Steps = 436, R = -0.7216, succ =  0.0000, FPS = 21.11
01:15:18.414 [INFO] (trainer.py:174) Episode = 13, T_Steps = 2847, E_Steps = 263, R = -0.8318, succ =  0.0000, FPS = 17.87
01:15:22.566 [INFO] (trainer.py:174) Episode = 14, T_Steps = 2875, E_Steps = 28, R = -0.9817, succ =  0.0000, FPS =  6.74
01:15:50.424 [INFO] (trainer.py:174) Episode = 15, T_Steps = 3521, E_Steps = 646, R =  1.4179, succ =  0.0500, FPS = 23.19
01:16:19.329 [INFO] (trainer.py:174) Episode = 16, T_Steps = 4136, E_Steps = 615, R =  1.4035, succ =  0.1000, FPS = 21.29
01:16:38.708 [INFO] (trainer.py:174) Episode = 17, T_Steps = 4548, E_Steps = 412, R = -0.7362, succ =  0.1000, FPS = 21.26
01:16:46.830 [INFO] (trainer.py:174) Episode = 18, T_Steps = 4670, E_Steps = 122, R = -0.9191, succ =  0.1000, FPS = 15.02
01:17:10.000 [INFO] (trainer.py:174) Episode = 19, T_Steps = 5156, E_Steps = 486, R = -0.6891, succ =  0.1000, FPS = 20.98
01:17:37.797 [INFO] (trainer.py:174) Episode = 20, T_Steps = 5754, E_Steps = 598, R =  1.3910, succ =  0.1500, FPS = 21.51
01:18:31.437 [INFO] (trainer.py:174) Episode = 21, T_Steps = 6350, E_Steps = 596, R =  1.3846, succ =  0.2000, FPS = 11.11
01:18:40.884 [INFO] (trainer.py:174) Episode = 22, T_Steps = 6407, E_Steps = 57, R = -0.9613, succ =  0.2000, FPS =  6.03
01:18:46.314 [INFO] (trainer.py:174) Episode = 23, T_Steps = 6436, E_Steps = 29, R = -0.9814, succ =  0.2000, FPS =  5.34
01:19:49.659 [INFO] (trainer.py:174) Episode = 24, T_Steps = 6975, E_Steps = 539, R = -0.6555, succ =  0.2000, FPS =  8.51
01:20:43.386 [INFO] (trainer.py:174) Episode = 25, T_Steps = 7434, E_Steps = 459, R = -0.7052, succ =  0.2000, FPS =  8.54
01:21:59.910 [INFO] (trainer.py:174) Episode = 26, T_Steps = 8099, E_Steps = 665, R = -0.5695, succ =  0.2000, FPS =  8.69
01:22:34.803 [INFO] (trainer.py:174) Episode = 27, T_Steps = 8406, E_Steps = 307, R = -0.8030, succ =  0.2000, FPS =  8.80
01:23:31.373 [INFO] (trainer.py:174) Episode = 28, T_Steps = 8888, E_Steps = 482, R = -0.6886, succ =  0.2000, FPS =  8.52
01:24:50.014 [INFO] (trainer.py:174) Episode = 29, T_Steps = 9589, E_Steps = 701, R =  1.4509, succ =  0.2500, FPS =  8.91
01:25:44.410 [INFO] (trainer.py:174) Episode = 30, T_Steps = 10055, E_Steps = 466, R = -0.7013, succ =  0.2500, FPS =  8.57
01:26:37.985 [INFO] (trainer.py:174) Episode = 31, T_Steps = 10504, E_Steps = 449, R = -0.7150, succ =  0.2500, FPS =  8.38
01:27:55.475 [INFO] (trainer.py:174) Episode = 32, T_Steps = 11155, E_Steps = 651, R = -0.5795, succ =  0.2500, FPS =  8.40
01:28:51.757 [INFO] (trainer.py:174) Episode = 33, T_Steps = 11647, E_Steps = 492, R = -0.6859, succ =  0.2500, FPS =  8.74
01:30:05.700 [INFO] (trainer.py:174) Episode = 34, T_Steps = 12320, E_Steps = 673, R =  1.4305, succ =  0.3000, FPS =  9.10
01:31:28.415 [INFO] (trainer.py:174) Episode = 35, T_Steps = 13059, E_Steps = 739, R =  1.4853, succ =  0.3000, FPS =  8.93
01:32:24.718 [INFO] (trainer.py:174) Episode = 36, T_Steps = 13547, E_Steps = 488, R = -0.6843, succ =  0.2500, FPS =  8.67
01:32:49.421 [INFO] (trainer.py:174) Episode = 37, T_Steps = 13763, E_Steps = 216, R = -0.8609, succ =  0.2500, FPS =  8.74
01:34:03.794 [INFO] (trainer.py:174) Episode = 38, T_Steps = 14401, E_Steps = 638, R =  1.4097, succ =  0.3000, FPS =  8.58
