20:01:29.038 [INFO] (trainer.py:174) Episode = 44, T_Steps = 15738, E_Steps = 710, R =  1.4551, succ =  0.2500, FPS =  8.78
20:02:50.758 [INFO] (trainer.py:174) Episode = 45, T_Steps = 16461, E_Steps = 723, R =  1.4685, succ =  0.3000, FPS =  8.85
20:04:11.927 [INFO] (trainer.py:174) Episode = 46, T_Steps = 17160, E_Steps = 699, R =  1.4497, succ =  0.3500, FPS =  8.61
20:05:37.343 [INFO] (trainer.py:174) Episode = 47, T_Steps = 17924, E_Steps = 764, R =  1.4978, succ =  0.4000, FPS =  8.94
20:07:03.431 [INFO] (trainer.py:174) Episode = 48, T_Steps = 18688, E_Steps = 764, R =  1.4979, succ =  0.4500, FPS =  8.87
20:08:22.781 [INFO] (trainer.py:174) Episode = 49, T_Steps = 19379, E_Steps = 691, R =  1.4433, succ =  0.4500, FPS =  8.71
20:09:17.010 [INFO] (trainer.py:174) Episode = 50, T_Steps = 19854, E_Steps = 475, R = -0.6970, succ =  0.4500, FPS =  8.76
20:10:33.532 [INFO] (trainer.py:174) Episode = 51, T_Steps = 20541, E_Steps = 687, R =  1.4425, succ =  0.5000, FPS =  8.98
20:11:38.372 [INFO] (trainer.py:174) Episode = 52, T_Steps = 21082, E_Steps = 541, R = -0.6398, succ =  0.5000, FPS =  8.34
20:12:53.544 [INFO] (trainer.py:174) Episode = 53, T_Steps = 21768, E_Steps = 686, R =  1.4401, succ =  0.5500, FPS =  9.13
20:14:11.611 [INFO] (trainer.py:174) Episode = 54, T_Steps = 22438, E_Steps = 670, R =  1.4323, succ =  0.6000, FPS =  8.58
20:14:56.460 [INFO] (trainer.py:174) Episode = 55, T_Steps = 22797, E_Steps = 359, R = -0.7664, succ =  0.6000, FPS =  8.00
20:15:02.902 [INFO] (trainer.py:174) Episode = 56, T_Steps = 22831, E_Steps = 34, R = -0.9795, succ =  0.6000, FPS =  5.28
20:15:40.267 [INFO] (trainer.py:174) Episode = 57, T_Steps = 23155, E_Steps = 324, R = -0.7915, succ =  0.6000, FPS =  8.67
20:16:59.600 [INFO] (trainer.py:174) Episode = 58, T_Steps = 23837, E_Steps = 682, R =  1.4379, succ =  0.6000, FPS =  8.60
20:17:31.313 [INFO] (trainer.py:174) Episode = 59, T_Steps = 24080, E_Steps = 243, R = -0.8435, succ =  0.6000, FPS =  7.66
20:18:10.221 [INFO] (trainer.py:174) Episode = 60, T_Steps = 24410, E_Steps = 330, R = -0.7900, succ =  0.6000, FPS =  8.48
20:19:23.239 [INFO] (trainer.py:174) Episode = 61, T_Steps = 25041, E_Steps = 631, R =  1.4013, succ =  0.6000, FPS =  8.64
20:20:26.894 [INFO] (trainer.py:174) Episode = 62, T_Steps = 25594, E_Steps = 553, R = -0.6495, succ =  0.6000, FPS =  8.69
20:21:17.675 [INFO] (trainer.py:174) Episode = 63, T_Steps = 26040, E_Steps = 446, R = -0.7125, succ =  0.5500, FPS =  8.78
20:22:17.421 [INFO] (trainer.py:174) Episode = 64, T_Steps = 26547, E_Steps = 507, R = -0.6797, succ =  0.5000, FPS =  8.49
20:23:07.926 [INFO] (trainer.py:174) Episode = 65, T_Steps = 26968, E_Steps = 421, R = -0.7293, succ =  0.4500, FPS =  8.34
20:24:06.801 [INFO] (trainer.py:174) Episode = 66, T_Steps = 27472, E_Steps = 504, R = -0.6761, succ =  0.4000, FPS =  8.56
20:25:01.127 [INFO] (trainer.py:174) Episode = 67, T_Steps = 27950, E_Steps = 478, R = -0.6939, succ =  0.3500, FPS =  8.80
20:26:24.204 [INFO] (trainer.py:174) Episode = 68, T_Steps = 28664, E_Steps = 714, R =  1.4633, succ =  0.3500, FPS =  8.60
20:27:44.072 [INFO] (trainer.py:174) Episode = 69, T_Steps = 29342, E_Steps = 678, R =  1.4346, succ =  0.3500, FPS =  8.49
20:28:55.326 [INFO] (trainer.py:174) Episode = 70, T_Steps = 29968, E_Steps = 626, R = -0.5943, succ =  0.3500, FPS =  8.79
20:30:04.169 [INFO] (trainer.py:174) Episode = 71, T_Steps = 30564, E_Steps = 596, R = -0.6057, succ =  0.3000, FPS =  8.66
20:31:34.862 [INFO] (trainer.py:174) Episode = 72, T_Steps = 31367, E_Steps = 803, R =  1.5356, succ =  0.3500, FPS =  8.85
20:32:45.527 [INFO] (trainer.py:174) Episode = 73, T_Steps = 31972, E_Steps = 605, R = -0.5962, succ =  0.3000, FPS =  8.56
20:34:55.135 [INFO] (trainer.py:174) Episode = 74, T_Steps = 33076, E_Steps = 1104, R =  1.7922, succ =  0.3000, FPS =  8.52
20:36:40.241 [INFO] (trainer.py:174) Episode = 75, T_Steps = 34000, E_Steps = 924, R =  1.6245, succ =  0.3500, FPS =  8.79
20:38:09.582 [INFO] (trainer.py:174) Episode = 76, T_Steps = 34761, E_Steps = 761, R =  1.5024, succ =  0.4000, FPS =  8.52
20:39:36.087 [INFO] (trainer.py:174) Episode = 77, T_Steps = 35513, E_Steps = 752, R =  1.4939, succ =  0.4500, FPS =  8.69
20:40:56.896 [INFO] (trainer.py:174) Episode = 78, T_Steps = 36222, E_Steps = 709, R =  1.4596, succ =  0.4500, FPS =  8.77
20:42:13.799 [INFO] (trainer.py:174) Episode = 79, T_Steps = 36905, E_Steps = 683, R =  1.4426, succ =  0.5000, FPS =  8.88
20:43:34.710 [INFO] (trainer.py:174) Episode = 80, T_Steps = 37615, E_Steps = 710, R =  1.4695, succ =  0.5500, FPS =  8.78
20:44:34.194 [INFO] (trainer.py:174) Episode = 81, T_Steps = 38314, E_Steps = 699, R =  1.4543, succ =  0.5500, FPS = 11.75
20:45:21.501 [INFO] (trainer.py:174) Episode = 82, T_Steps = 39001, E_Steps = 687, R =  1.4420, succ =  0.6000, FPS = 14.52
20:45:26.050 [INFO] (trainer.py:174) Episode = 83, T_Steps = 39040, E_Steps = 39, R = -0.9758, succ =  0.6000, FPS =  8.58
20:45:56.930 [INFO] (trainer.py:174) Episode = 84, T_Steps = 39473, E_Steps = 433, R = -0.7247, succ =  0.6000, FPS = 14.02
20:46:47.375 [INFO] (trainer.py:174) Episode = 85, T_Steps = 40209, E_Steps = 736, R =  1.4779, succ =  0.6500, FPS = 14.59
20:47:34.984 [INFO] (trainer.py:174) Episode = 86, T_Steps = 40910, E_Steps = 701, R =  1.4517, succ =  0.7000, FPS = 14.72
20:48:25.701 [INFO] (trainer.py:174) Episode = 87, T_Steps = 41627, E_Steps = 717, R =  1.4628, succ =  0.7500, FPS = 14.14
20:49:13.167 [INFO] (trainer.py:174) Episode = 88, T_Steps = 42312, E_Steps = 685, R =  1.4402, succ =  0.7500, FPS = 14.43
20:49:45.264 [INFO] (trainer.py:174) Episode = 89, T_Steps = 42764, E_Steps = 452, R = -0.7118, succ =  0.7000, FPS = 14.08
20:50:33.838 [INFO] (trainer.py:174) Episode = 90, T_Steps = 43465, E_Steps = 701, R =  1.4495, succ =  0.7500, FPS = 14.43
20:51:24.346 [INFO] (trainer.py:174) Episode = 91, T_Steps = 44180, E_Steps = 715, R =  1.4625, succ =  0.8000, FPS = 14.16
20:52:48.359 [INFO] (trainer.py:174) Episode = 92, T_Steps = 45360, E_Steps = 1180, R =  0.8645, succ =  0.7500, FPS = 14.05
20:53:40.128 [INFO] (trainer.py:174) Episode = 93, T_Steps = 46100, E_Steps = 740, R =  1.4814, succ =  0.8000, FPS = 14.29
20:54:06.520 [INFO] (trainer.py:174) Episode = 94, T_Steps = 46460, E_Steps = 360, R = -0.7646, succ =  0.7500, FPS = 13.64
20:54:55.919 [INFO] (trainer.py:174) Episode = 95, T_Steps = 47177, E_Steps = 717, R =  1.4687, succ =  0.7500, FPS = 14.51
20:55:43.556 [INFO] (trainer.py:174) Episode = 96, T_Steps = 47868, E_Steps = 691, R =  1.4487, succ =  0.7500, FPS = 14.51
20:56:32.890 [INFO] (trainer.py:174) Episode = 97, T_Steps = 48573, E_Steps = 705, R =  1.4567, succ =  0.7500, FPS = 14.29
20:57:21.633 [INFO] (trainer.py:174) Episode = 98, T_Steps = 49275, E_Steps = 702, R =  1.4576, succ =  0.7500, FPS = 14.40
20:58:09.137 [INFO] (trainer.py:174) Episode = 99, T_Steps = 49964, E_Steps = 689, R =  1.4423, succ =  0.7500, FPS = 14.50
20:59:03.730 [INFO] (trainer.py:174) Episode = 100, T_Steps = 50729, E_Steps = 765, R =  1.4992, succ =  0.7500, FPS = 14.01
20:59:35.067 [INFO] (trainer.py:174) Episode = 101, T_Steps = 51165, E_Steps = 436, R = -0.7219, succ =  0.7000, FPS = 13.91
21:00:08.089 [INFO] (trainer.py:174) Episode = 102, T_Steps = 51627, E_Steps = 462, R = -0.7036, succ =  0.6500, FPS = 13.99
21:00:57.284 [INFO] (trainer.py:174) Episode = 103, T_Steps = 52305, E_Steps = 678, R =  1.4343, succ =  0.7000, FPS = 13.78
21:01:46.931 [INFO] (trainer.py:174) Episode = 104, T_Steps = 53000, E_Steps = 695, R =  1.4488, succ =  0.7500, FPS = 14.00
21:02:12.839 [INFO] (trainer.py:174) Episode = 105, T_Steps = 53351, E_Steps = 351, R = -0.7747, succ =  0.7000, FPS = 13.55
21:03:00.797 [INFO] (trainer.py:174) Episode = 106, T_Steps = 54012, E_Steps = 661, R =  1.4253, succ =  0.7000, FPS = 13.78
21:03:48.826 [INFO] (trainer.py:174) Episode = 107, T_Steps = 54690, E_Steps = 678, R =  1.4347, succ =  0.7000, FPS = 14.12
21:04:44.901 [INFO] (trainer.py:174) Episode = 108, T_Steps = 55483, E_Steps = 793, R =  1.5319, succ =  0.7000, FPS = 14.14
21:05:32.986 [INFO] (trainer.py:174) Episode = 109, T_Steps = 56167, E_Steps = 684, R =  1.4411, succ =  0.7500, FPS = 14.23
21:06:12.037 [INFO] (trainer.py:174) Episode = 110, T_Steps = 56706, E_Steps = 539, R = -0.6467, succ =  0.7000, FPS = 13.80
21:07:03.719 [INFO] (trainer.py:174) Episode = 111, T_Steps = 57443, E_Steps = 737, R =  1.4788, succ =  0.7000, FPS = 14.26
21:07:56.383 [INFO] (trainer.py:174) Episode = 112, T_Steps = 58175, E_Steps = 732, R =  1.4758, succ =  0.7500, FPS = 13.90
21:08:47.821 [INFO] (trainer.py:174) Episode = 113, T_Steps = 58891, E_Steps = 716, R =  1.4677, succ =  0.7500, FPS = 13.92
21:09:37.829 [INFO] (trainer.py:174) Episode = 114, T_Steps = 59593, E_Steps = 702, R =  1.4508, succ =  0.8000, FPS = 14.04
