12:42:51.494 [INFO] (trainer.py:175) Episode = 44, T_Steps = 6947, E_Steps = 85, R = -0.7173, succ =  0.0000, FPS = 10.96
12:42:59.406 [INFO] (trainer.py:175) Episode = 45, T_Steps = 7032, E_Steps = 85, R = -0.7236, succ =  0.0000, FPS = 10.75
12:43:07.641 [INFO] (trainer.py:175) Episode = 46, T_Steps = 7122, E_Steps = 90, R = -0.7211, succ =  0.0000, FPS = 10.93
12:43:29.621 [INFO] (trainer.py:175) Episode = 47, T_Steps = 7355, E_Steps = 233, R =  1.7915, succ =  0.0500, FPS = 10.60
12:43:50.122 [INFO] (trainer.py:175) Episode = 48, T_Steps = 7577, E_Steps = 222, R =  1.7623, succ =  0.1000, FPS = 10.83
12:44:10.130 [INFO] (trainer.py:175) Episode = 49, T_Steps = 7789, E_Steps = 212, R =  1.7027, succ =  0.1500, FPS = 10.60
12:44:31.250 [INFO] (trainer.py:175) Episode = 50, T_Steps = 8015, E_Steps = 226, R =  1.6613, succ =  0.2000, FPS = 10.70
12:44:39.041 [INFO] (trainer.py:175) Episode = 51, T_Steps = 8099, E_Steps = 84, R = -0.7290, succ =  0.2000, FPS = 10.78
12:44:47.583 [INFO] (trainer.py:175) Episode = 52, T_Steps = 8193, E_Steps = 94, R = -0.7123, succ =  0.2000, FPS = 11.01
12:45:08.514 [INFO] (trainer.py:175) Episode = 53, T_Steps = 8416, E_Steps = 223, R =  1.6971, succ =  0.2500, FPS = 10.66
12:45:29.628 [INFO] (trainer.py:175) Episode = 54, T_Steps = 8641, E_Steps = 225, R =  1.7502, succ =  0.3000, FPS = 10.66
12:45:37.401 [INFO] (trainer.py:175) Episode = 55, T_Steps = 8724, E_Steps = 83, R = -0.7399, succ =  0.3000, FPS = 10.68
12:45:58.184 [INFO] (trainer.py:175) Episode = 56, T_Steps = 8945, E_Steps = 221, R =  1.7403, succ =  0.3500, FPS = 10.63
12:46:20.805 [INFO] (trainer.py:175) Episode = 57, T_Steps = 9184, E_Steps = 239, R =  1.7365, succ =  0.4000, FPS = 10.57
12:46:36.267 [INFO] (trainer.py:175) Episode = 58, T_Steps = 9348, E_Steps = 164, R = -0.4314, succ =  0.4000, FPS = 10.61
12:46:51.243 [INFO] (trainer.py:175) Episode = 59, T_Steps = 9505, E_Steps = 157, R = -0.4398, succ =  0.4000, FPS = 10.48
12:47:11.648 [INFO] (trainer.py:175) Episode = 60, T_Steps = 9725, E_Steps = 220, R =  1.7657, succ =  0.4500, FPS = 10.78
12:47:31.925 [INFO] (trainer.py:175) Episode = 61, T_Steps = 9943, E_Steps = 218, R =  1.8088, succ =  0.5000, FPS = 10.75
12:47:54.420 [INFO] (trainer.py:175) Episode = 62, T_Steps = 10185, E_Steps = 242, R = -0.2302, succ =  0.5000, FPS = 10.76
12:48:14.953 [INFO] (trainer.py:175) Episode = 63, T_Steps = 10406, E_Steps = 221, R =  1.7248, succ =  0.5500, FPS = 10.76
12:48:35.160 [INFO] (trainer.py:175) Episode = 64, T_Steps = 10623, E_Steps = 217, R =  1.7222, succ =  0.6000, FPS = 10.74
12:48:56.629 [INFO] (trainer.py:175) Episode = 65, T_Steps = 10855, E_Steps = 232, R =  1.7139, succ =  0.6500, FPS = 10.81
12:49:17.832 [INFO] (trainer.py:175) Episode = 66, T_Steps = 11082, E_Steps = 227, R =  1.7477, succ =  0.7000, FPS = 10.71
12:49:27.177 [INFO] (trainer.py:175) Episode = 67, T_Steps = 11182, E_Steps = 100, R = -0.6928, succ =  0.6500, FPS = 10.71
12:49:46.920 [INFO] (trainer.py:175) Episode = 68, T_Steps = 11391, E_Steps = 209, R =  1.7356, succ =  0.6500, FPS = 10.59
12:49:55.484 [INFO] (trainer.py:175) Episode = 69, T_Steps = 11484, E_Steps = 93, R = -0.7167, succ =  0.6000, FPS = 10.86
12:50:16.370 [INFO] (trainer.py:175) Episode = 70, T_Steps = 11704, E_Steps = 220, R =  1.7499, succ =  0.6000, FPS = 10.53
12:50:35.502 [INFO] (trainer.py:175) Episode = 71, T_Steps = 11908, E_Steps = 204, R =  1.7672, succ =  0.6500, FPS = 10.66
12:50:56.478 [INFO] (trainer.py:175) Episode = 72, T_Steps = 12133, E_Steps = 225, R = -0.2090, succ =  0.6500, FPS = 10.73
