01:36:52.416 [INFO] (trainer.py:174) Episode = 1, T_Steps = 209, E_Steps = 209, R =  1.9039, succ =  0.0500, FPS = 26.50
01:36:53.785 [INFO] (trainer.py:174) Episode = 2, T_Steps = 237, E_Steps = 28, R = -0.8106, succ =  0.0500, FPS = 20.46
01:36:58.407 [INFO] (trainer.py:174) Episode = 3, T_Steps = 448, E_Steps = 211, R =  1.9073, succ =  0.1000, FPS = 45.67
01:36:59.730 [INFO] (trainer.py:174) Episode = 4, T_Steps = 473, E_Steps = 25, R = -0.8503, succ =  0.1000, FPS = 18.91
01:37:04.258 [INFO] (trainer.py:174) Episode = 5, T_Steps = 682, E_Steps = 209, R =  1.9309, succ =  0.1500, FPS = 46.17
01:37:08.751 [INFO] (trainer.py:174) Episode = 6, T_Steps = 888, E_Steps = 206, R =  1.9514, succ =  0.2000, FPS = 45.86
01:37:13.476 [INFO] (trainer.py:174) Episode = 7, T_Steps = 1110, E_Steps = 222, R = -0.0178, succ =  0.2000, FPS = 47.00
01:37:15.194 [INFO] (trainer.py:174) Episode = 8, T_Steps = 1159, E_Steps = 49, R = -0.7746, succ =  0.2000, FPS = 28.53
01:37:19.380 [INFO] (trainer.py:174) Episode = 9, T_Steps = 1346, E_Steps = 187, R =  0.0693, succ =  0.2000, FPS = 44.69
01:37:24.389 [INFO] (trainer.py:174) Episode = 10, T_Steps = 1575, E_Steps = 229, R =  0.0559, succ =  0.2000, FPS = 45.73
01:37:28.329 [INFO] (trainer.py:174) Episode = 11, T_Steps = 1751, E_Steps = 176, R =  0.0403, succ =  0.2000, FPS = 44.68
01:37:34.077 [INFO] (trainer.py:174) Episode = 12, T_Steps = 2033, E_Steps = 282, R =  2.4124, succ =  0.2500, FPS = 49.07
01:37:38.554 [INFO] (trainer.py:174) Episode = 13, T_Steps = 2241, E_Steps = 208, R =  1.9468, succ =  0.3000, FPS = 46.47
01:37:43.436 [INFO] (trainer.py:174) Episode = 14, T_Steps = 2473, E_Steps = 232, R =  1.9301, succ =  0.3500, FPS = 47.53
01:37:48.176 [INFO] (trainer.py:174) Episode = 15, T_Steps = 2692, E_Steps = 219, R =  1.9265, succ =  0.4000, FPS = 46.22
01:37:52.653 [INFO] (trainer.py:174) Episode = 16, T_Steps = 2900, E_Steps = 208, R =  0.0490, succ =  0.4000, FPS = 46.47
01:37:56.657 [INFO] (trainer.py:174) Episode = 17, T_Steps = 3087, E_Steps = 187, R =  0.0257, succ =  0.4000, FPS = 46.71
01:38:00.893 [INFO] (trainer.py:174) Episode = 18, T_Steps = 3282, E_Steps = 195, R =  0.0495, succ =  0.4000, FPS = 46.06
01:38:04.824 [INFO] (trainer.py:174) Episode = 19, T_Steps = 3464, E_Steps = 182, R =  1.9686, succ =  0.4500, FPS = 46.31
01:38:08.927 [INFO] (trainer.py:174) Episode = 20, T_Steps = 3656, E_Steps = 192, R =  0.0386, succ =  0.4500, FPS = 46.81
01:38:13.306 [INFO] (trainer.py:174) Episode = 21, T_Steps = 3861, E_Steps = 205, R =  0.0264, succ =  0.4000, FPS = 46.83
01:38:17.599 [INFO] (trainer.py:174) Episode = 22, T_Steps = 4061, E_Steps = 200, R =  1.9304, succ =  0.4500, FPS = 46.60
01:38:22.029 [INFO] (trainer.py:174) Episode = 23, T_Steps = 4255, E_Steps = 194, R =  0.0668, succ =  0.4000, FPS = 43.80
01:38:26.395 [INFO] (trainer.py:174) Episode = 24, T_Steps = 4457, E_Steps = 202, R =  1.9196, succ =  0.4500, FPS = 46.28
01:38:31.184 [INFO] (trainer.py:174) Episode = 25, T_Steps = 4682, E_Steps = 225, R =  0.0462, succ =  0.4000, FPS = 47.00
01:38:32.503 [INFO] (trainer.py:174) Episode = 26, T_Steps = 4704, E_Steps = 22, R = -0.8449, succ =  0.3500, FPS = 16.69
01:38:36.841 [INFO] (trainer.py:174) Episode = 27, T_Steps = 4906, E_Steps = 202, R =  0.0264, succ =  0.3500, FPS = 46.58
01:38:41.483 [INFO] (trainer.py:174) Episode = 28, T_Steps = 5127, E_Steps = 221, R =  0.0073, succ =  0.3500, FPS = 47.63
01:38:45.732 [INFO] (trainer.py:174) Episode = 29, T_Steps = 5320, E_Steps = 193, R =  1.9653, succ =  0.4000, FPS = 45.43
01:38:49.633 [INFO] (trainer.py:174) Episode = 30, T_Steps = 5491, E_Steps = 171, R =  2.0204, succ =  0.4500, FPS = 43.85
01:38:54.366 [INFO] (trainer.py:174) Episode = 31, T_Steps = 5713, E_Steps = 222, R = -0.0064, succ =  0.4500, FPS = 46.92
01:38:58.529 [INFO] (trainer.py:174) Episode = 32, T_Steps = 5898, E_Steps = 185, R =  1.9450, succ =  0.4500, FPS = 44.45
01:39:10.579 [INFO] (trainer.py:174) Episode = 33, T_Steps = 6098, E_Steps = 200, R =  0.0197, succ =  0.4000, FPS = 16.60
01:39:24.227 [INFO] (trainer.py:174) Episode = 34, T_Steps = 6290, E_Steps = 192, R =  0.0918, succ =  0.3500, FPS = 14.07
01:39:27.004 [INFO] (trainer.py:174) Episode = 35, T_Steps = 6318, E_Steps = 28, R = -0.8400, succ =  0.3000, FPS = 10.09
01:39:41.033 [INFO] (trainer.py:174) Episode = 36, T_Steps = 6516, E_Steps = 198, R =  1.9005, succ =  0.3500, FPS = 14.12
01:39:50.216 [INFO] (trainer.py:174) Episode = 37, T_Steps = 6639, E_Steps = 123, R = -0.4233, succ =  0.3500, FPS = 13.40
01:40:05.297 [INFO] (trainer.py:174) Episode = 38, T_Steps = 6853, E_Steps = 214, R =  1.8919, succ =  0.4000, FPS = 14.19
01:40:17.087 [INFO] (trainer.py:174) Episode = 39, T_Steps = 7017, E_Steps = 164, R =  1.9010, succ =  0.4000, FPS = 13.91
01:40:29.897 [INFO] (trainer.py:174) Episode = 40, T_Steps = 7198, E_Steps = 181, R =  1.9073, succ =  0.4500, FPS = 14.13
01:40:43.954 [INFO] (trainer.py:174) Episode = 41, T_Steps = 7399, E_Steps = 201, R = -0.0015, succ =  0.4500, FPS = 14.30
01:40:57.813 [INFO] (trainer.py:174) Episode = 42, T_Steps = 7594, E_Steps = 195, R =  1.9584, succ =  0.4500, FPS = 14.07
01:41:11.554 [INFO] (trainer.py:174) Episode = 43, T_Steps = 7788, E_Steps = 194, R =  0.0219, succ =  0.4500, FPS = 14.12
