episode,step,episodic_reward,success_rate,episodic_length
0,5,-1,0.0,5
0,10,-1,0.0,10
0,15,-1,0.0,15
0,20,-1,0.0,20
0,25,-1,0.0,25
0,30,-1,0.0,30
0,35,-1,0.0,35
0,40,-1,0.0,40
0,45,-1,0.0,45
0,50,-1,0.0,50
0,55,-1,0.0,55
0,60,-1,0.0,60
0,65,-1,0.0,65
0,70,-1,0.0,70
0,75,-1,0.0,75
0,80,-1,0.0,80
0,85,-1,0.0,85
0,90,-1,0.0,90
0,95,-1,0.0,95
0,100,-1,0.0,100
0,105,-1,0.0,105
0,110,-1,0.0,110
0,115,-1,0.0,115
0,120,-1,0.0,120
0,125,-1,0.0,125
0,130,-1,0.0,130
0,135,-1,0.0,135
0,140,-1,0.0,140
0,145,-1,0.0,145
0,150,-1,0.0,150
0,155,-1,0.0,155
0,160,-1,0.0,160
0,165,-1,0.0,165
0,170,-1,0.0,170
0,175,-1,0.0,175
0,180,-1,0.0,180
0,185,-1,0.0,185
0,190,-1,0.0,190
0,195,-1,0.0,195
0,200,-1,0.0,200
0,205,-1,0.0,205
1,210,1.9038854,0.05,1
1,215,1.9038854,0.05,6
1,220,1.9038854,0.05,11
1,225,1.9038854,0.05,16
1,230,1.9038854,0.05,21
1,235,1.9038854,0.05,26
2,240,-0.8106222,0.05,3
2,245,-0.8106222,0.05,8
2,250,-0.8106222,0.05,13
2,255,-0.8106222,0.05,18
2,260,-0.8106222,0.05,23
2,265,-0.8106222,0.05,28
2,270,-0.8106222,0.05,33
2,275,-0.8106222,0.05,38
2,280,-0.8106222,0.05,43
2,285,-0.8106222,0.05,48
2,290,-0.8106222,0.05,53
2,295,-0.8106222,0.05,58
2,300,-0.8106222,0.05,63
2,305,-0.8106222,0.05,68
2,310,-0.8106222,0.05,73
2,315,-0.8106222,0.05,78
2,320,-0.8106222,0.05,83
2,325,-0.8106222,0.05,88
2,330,-0.8106222,0.05,93
2,335,-0.8106222,0.05,98
2,340,-0.8106222,0.05,103
2,345,-0.8106222,0.05,108
2,350,-0.8106222,0.05,113
2,355,-0.8106222,0.05,118
2,360,-0.8106222,0.05,123
