17:59:16.935 [INFO] (trainer.py:174) Episode = 1, T_Steps = 208, E_Steps = 208, R =  0.0870, succ =  0.0000, FPS = 27.45
17:59:21.497 [INFO] (trainer.py:174) Episode = 2, T_Steps = 433, E_Steps = 225, R =  0.0325, succ =  0.0000, FPS = 49.35
17:59:25.758 [INFO] (trainer.py:174) Episode = 3, T_Steps = 642, E_Steps = 209, R =  0.0613, succ =  0.0000, FPS = 49.06
17:59:30.318 [INFO] (trainer.py:174) Episode = 4, T_Steps = 867, E_Steps = 225, R = -0.0369, succ =  0.0000, FPS = 49.35
17:59:34.375 [INFO] (trainer.py:174) Episode = 5, T_Steps = 1058, E_Steps = 191, R =  0.0498, succ =  0.0000, FPS = 47.10
17:59:38.213 [INFO] (trainer.py:174) Episode = 6, T_Steps = 1238, E_Steps = 180, R =  2.0078, succ =  0.0500, FPS = 46.91
17:59:42.696 [INFO] (trainer.py:174) Episode = 7, T_Steps = 1458, E_Steps = 220, R =  0.0004, succ =  0.0500, FPS = 49.08
17:59:47.152 [INFO] (trainer.py:174) Episode = 8, T_Steps = 1662, E_Steps = 204, R =  1.9339, succ =  0.1000, FPS = 45.80
17:59:49.096 [INFO] (trainer.py:174) Episode = 9, T_Steps = 1731, E_Steps = 69, R = -0.6898, succ =  0.1000, FPS = 35.50
17:59:53.662 [INFO] (trainer.py:174) Episode = 10, T_Steps = 1954, E_Steps = 223, R = -0.0139, succ =  0.1000, FPS = 48.86
17:59:58.047 [INFO] (trainer.py:174) Episode = 11, T_Steps = 2167, E_Steps = 213, R =  1.9628, succ =  0.1500, FPS = 48.59
18:00:02.016 [INFO] (trainer.py:174) Episode = 12, T_Steps = 2359, E_Steps = 192, R =  0.0109, succ =  0.1500, FPS = 48.38
18:00:06.134 [INFO] (trainer.py:174) Episode = 13, T_Steps = 2553, E_Steps = 194, R =  1.9471, succ =  0.2000, FPS = 47.13
18:00:10.294 [INFO] (trainer.py:174) Episode = 14, T_Steps = 2751, E_Steps = 198, R = -0.0028, succ =  0.2000, FPS = 47.60
18:00:14.758 [INFO] (trainer.py:174) Episode = 15, T_Steps = 2967, E_Steps = 216, R = -0.0047, succ =  0.2000, FPS = 48.41
18:00:16.354 [INFO] (trainer.py:174) Episode = 16, T_Steps = 3013, E_Steps = 46, R = -0.8141, succ =  0.2000, FPS = 28.84
18:00:20.718 [INFO] (trainer.py:174) Episode = 17, T_Steps = 3217, E_Steps = 204, R =  1.9360, succ =  0.2500, FPS = 46.76
18:00:24.899 [INFO] (trainer.py:174) Episode = 18, T_Steps = 3416, E_Steps = 199, R = -0.0313, succ =  0.2500, FPS = 47.60
18:00:29.188 [INFO] (trainer.py:174) Episode = 19, T_Steps = 3622, E_Steps = 206, R = -0.0160, succ =  0.2500, FPS = 48.05
18:00:33.710 [INFO] (trainer.py:174) Episode = 20, T_Steps = 3829, E_Steps = 207, R = -0.0007, succ =  0.2500, FPS = 45.79
18:00:34.945 [INFO] (trainer.py:174) Episode = 21, T_Steps = 3856, E_Steps = 27, R = -0.8263, succ =  0.2500, FPS = 21.87
18:00:36.236 [INFO] (trainer.py:174) Episode = 22, T_Steps = 3881, E_Steps = 25, R = -0.8309, succ =  0.2500, FPS = 19.39
18:00:40.480 [INFO] (trainer.py:174) Episode = 23, T_Steps = 4085, E_Steps = 204, R =  1.9427, succ =  0.3000, FPS = 48.08
18:00:41.729 [INFO] (trainer.py:174) Episode = 24, T_Steps = 4111, E_Steps = 26, R = -0.8226, succ =  0.3000, FPS = 20.84
18:00:42.893 [INFO] (trainer.py:174) Episode = 25, T_Steps = 4132, E_Steps = 21, R = -0.8496, succ =  0.3000, FPS = 18.05
18:00:46.939 [INFO] (trainer.py:174) Episode = 26, T_Steps = 4325, E_Steps = 193, R =  0.0672, succ =  0.2500, FPS = 47.71
18:00:51.211 [INFO] (trainer.py:174) Episode = 27, T_Steps = 4528, E_Steps = 203, R =  0.0272, succ =  0.2500, FPS = 47.53
18:00:55.193 [INFO] (trainer.py:174) Episode = 28, T_Steps = 4712, E_Steps = 184, R =  1.9962, succ =  0.2500, FPS = 46.22
18:00:59.591 [INFO] (trainer.py:174) Episode = 29, T_Steps = 4924, E_Steps = 212, R =  0.0601, succ =  0.2500, FPS = 48.21
18:01:00.878 [INFO] (trainer.py:174) Episode = 30, T_Steps = 4950, E_Steps = 26, R = -0.8234, succ =  0.2500, FPS = 20.22
18:01:05.199 [INFO] (trainer.py:174) Episode = 31, T_Steps = 5158, E_Steps = 208, R =  0.0561, succ =  0.2000, FPS = 48.16
18:01:09.287 [INFO] (trainer.py:174) Episode = 32, T_Steps = 5353, E_Steps = 195, R =  1.9705, succ =  0.2500, FPS = 47.70
18:01:13.529 [INFO] (trainer.py:174) Episode = 33, T_Steps = 5530, E_Steps = 177, R =  0.0880, succ =  0.2000, FPS = 41.74
18:01:18.021 [INFO] (trainer.py:174) Episode = 34, T_Steps = 5746, E_Steps = 216, R =  0.0426, succ =  0.2000, FPS = 48.10
18:01:22.580 [INFO] (trainer.py:174) Episode = 35, T_Steps = 5957, E_Steps = 211, R =  2.0012, succ =  0.2500, FPS = 46.30
