09:19:31.618 [INFO] (trainer.py:174) Episode = 1, T_Steps = 187, E_Steps = 187, R =  0.0194, succ =  0.0000, FPS = 24.82
09:19:35.832 [INFO] (trainer.py:174) Episode = 2, T_Steps = 373, E_Steps = 186, R =  1.9688, succ =  0.0500, FPS = 44.16
09:19:40.316 [INFO] (trainer.py:174) Episode = 3, T_Steps = 572, E_Steps = 199, R =  1.9715, succ =  0.1000, FPS = 44.39
09:19:41.708 [INFO] (trainer.py:174) Episode = 4, T_Steps = 598, E_Steps = 26, R = -0.8561, succ =  0.1000, FPS = 18.70
09:19:46.104 [INFO] (trainer.py:174) Episode = 5, T_Steps = 781, E_Steps = 183, R =  0.1133, succ =  0.1000, FPS = 41.64
09:19:47.683 [INFO] (trainer.py:174) Episode = 6, T_Steps = 818, E_Steps = 37, R = -0.8319, succ =  0.1000, FPS = 23.44
09:19:52.089 [INFO] (trainer.py:174) Episode = 7, T_Steps = 1018, E_Steps = 200, R =  1.9184, succ =  0.1500, FPS = 45.41
09:19:56.582 [INFO] (trainer.py:174) Episode = 8, T_Steps = 1220, E_Steps = 202, R =  1.9500, succ =  0.2000, FPS = 44.97
09:20:00.696 [INFO] (trainer.py:174) Episode = 9, T_Steps = 1402, E_Steps = 182, R =  1.9700, succ =  0.2500, FPS = 44.26
09:20:05.718 [INFO] (trainer.py:174) Episode = 10, T_Steps = 1636, E_Steps = 234, R = -0.0454, succ =  0.2500, FPS = 46.60
09:20:10.155 [INFO] (trainer.py:174) Episode = 11, T_Steps = 1839, E_Steps = 203, R =  0.0546, succ =  0.2500, FPS = 45.77
09:20:14.686 [INFO] (trainer.py:174) Episode = 12, T_Steps = 2044, E_Steps = 205, R =  1.9118, succ =  0.3000, FPS = 45.26
09:20:18.975 [INFO] (trainer.py:174) Episode = 13, T_Steps = 2235, E_Steps = 191, R = -0.0076, succ =  0.3000, FPS = 44.54
09:20:23.690 [INFO] (trainer.py:174) Episode = 14, T_Steps = 2449, E_Steps = 214, R =  0.0457, succ =  0.3000, FPS = 45.40
09:20:28.344 [INFO] (trainer.py:174) Episode = 15, T_Steps = 2662, E_Steps = 213, R =  0.0165, succ =  0.3000, FPS = 45.77
09:20:32.999 [INFO] (trainer.py:174) Episode = 16, T_Steps = 2873, E_Steps = 211, R =  0.0060, succ =  0.3000, FPS = 45.34
09:20:37.333 [INFO] (trainer.py:174) Episode = 17, T_Steps = 3069, E_Steps = 196, R =  1.9791, succ =  0.3500, FPS = 45.24
09:20:41.504 [INFO] (trainer.py:174) Episode = 18, T_Steps = 3253, E_Steps = 184, R =  1.9585, succ =  0.4000, FPS = 44.13
09:20:45.780 [INFO] (trainer.py:174) Episode = 19, T_Steps = 3447, E_Steps = 194, R =  0.0991, succ =  0.4000, FPS = 45.38
09:20:50.575 [INFO] (trainer.py:174) Episode = 20, T_Steps = 3655, E_Steps = 208, R = -0.0086, succ =  0.4000, FPS = 43.39
09:20:52.066 [INFO] (trainer.py:174) Episode = 21, T_Steps = 3682, E_Steps = 27, R = -0.8103, succ =  0.4000, FPS = 18.13
09:20:53.557 [INFO] (trainer.py:174) Episode = 22, T_Steps = 3709, E_Steps = 27, R = -0.8328, succ =  0.3500, FPS = 18.13
09:20:57.345 [INFO] (trainer.py:174) Episode = 23, T_Steps = 3878, E_Steps = 169, R =  1.9933, succ =  0.3500, FPS = 44.63
09:21:01.264 [INFO] (trainer.py:174) Episode = 24, T_Steps = 4050, E_Steps = 172, R =  1.9880, succ =  0.4000, FPS = 43.90
09:21:05.857 [INFO] (trainer.py:174) Episode = 25, T_Steps = 4261, E_Steps = 211, R =  0.0674, succ =  0.4000, FPS = 45.96
09:21:07.259 [INFO] (trainer.py:174) Episode = 26, T_Steps = 4285, E_Steps = 24, R = -0.8356, succ =  0.4000, FPS = 17.13
09:21:09.309 [INFO] (trainer.py:174) Episode = 27, T_Steps = 4348, E_Steps = 63, R = -0.6112, succ =  0.3500, FPS = 30.75
