episode,step,episodic_reward,success_rate,episodic_length
0,5,-1,0.0,5
0,10,-1,0.0,10
0,15,-1,0.0,15
0,20,-1,0.0,20
0,25,-1,0.0,25
0,30,-1,0.0,30
0,35,-1,0.0,35
0,40,-1,0.0,40
0,45,-1,0.0,45
0,50,-1,0.0,50
0,55,-1,0.0,55
0,60,-1,0.0,60
0,65,-1,0.0,65
0,70,-1,0.0,70
0,75,-1,0.0,75
0,80,-1,0.0,80
0,85,-1,0.0,85
0,90,-1,0.0,90
0,95,-1,0.0,95
0,100,-1,0.0,100
0,105,-1,0.0,105
0,110,-1,0.0,110
0,115,-1,0.0,115
0,120,-1,0.0,120
0,125,-1,0.0,125
0,130,-1,0.0,130
0,135,-1,0.0,135
0,140,-1,0.0,140
0,145,-1,0.0,145
0,150,-1,0.0,150
0,155,-1,0.0,155
0,160,-1,0.0,160
0,165,-1,0.0,165
0,170,-1,0.0,170
0,175,-1,0.0,175
0,180,-1,0.0,180
0,185,-1,0.0,185
1,190,0.019394994,0.0,3
1,195,0.019394994,0.0,8
1,200,0.019394994,0.0,13
1,205,0.019394994,0.0,18
1,210,0.019394994,0.0,23
1,215,0.019394994,0.0,28
1,220,0.019394994,0.0,33
1,225,0.019394994,0.0,38
1,230,0.019394994,0.0,43
1,235,0.019394994,0.0,48
1,240,0.019394994,0.0,53
1,245,0.019394994,0.0,58
1,250,0.019394994,0.0,63
1,255,0.019394994,0.0,68
1,260,0.019394994,0.0,73
1,265,0.019394994,0.0,78
1,270,0.019394994,0.0,83
1,275,0.019394994,0.0,88
1,280,0.019394994,0.0,93
1,285,0.019394994,0.0,98
1,290,0.019394994,0.0,103
1,295,0.019394994,0.0,108
1,300,0.019394994,0.0,113
1,305,0.019394994,0.0,118
1,310,0.019394994,0.0,123
1,315,0.019394994,0.0,128
1,320,0.019394994,0.0,133
1,325,0.019394994,0.0,138
1,330,0.019394994,0.0,143
1,335,0.019394994,0.0,148
1,340,0.019394994,0.0,153
1,345,0.019394994,0.0,158
1,350,0.019394994,0.0,163
1,355,0.019394994,0.0,168
1,360,0.019394994,0.0,173
1,365,0.019394994,0.0,178
